District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age,Indicator,Value
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Business,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Service,44
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Study,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Dependent,26
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Others,36
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Agriculture,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Business,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Service,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Study,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Marriage,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Dependent,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Conflict,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Others,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Business,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Service,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Study,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Dependent,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Others,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Agriculture,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Business,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Service,29
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Study,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Marriage,56
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Dependent,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Others,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Agriculture,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Business,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Service,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Study,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Marriage,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Dependent,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Conflict,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Others,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Female,60+ Years,Reasons not stated,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Service,3
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Service,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Service,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Business,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Service,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Study,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Marriage,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Others,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Study,11
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,71
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Others,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,54
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Business,40
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Service,20
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Study,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,3
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Others,14
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Business,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Service,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Study,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Others,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Study,16
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,37
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Others,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,27
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,2
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Business,19
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Service,4
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Study,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,80
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,29
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Others,2
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,8
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Business,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Service,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Study,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Marriage,9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Others,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Service,2
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Study,24
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,39
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Others,6
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,37
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,10
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Business,58
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Service,71
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Study,10
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,64
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Others,16
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,31
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Agriculture,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Business,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Service,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Study,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Others,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Study,18
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,36
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Others,3
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,51
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,9
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Business,25
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Service,9
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Study,3
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,143
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,39
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Others,20
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,22
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Business,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Service,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Study,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Marriage,32
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Dependent,8
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Conflict,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Others,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Study,58
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,17
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,213
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Others,24
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,65
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Business,25
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Service,58
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Study,24
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,163
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Others,68
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,25
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Business,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Service,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Study,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Dependent,25
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Others,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Study,90
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,253
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Others,57
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,40
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,24
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Business,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Service,16
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Study,32
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,320
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,296
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Others,16
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,65
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Business,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Service,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Study,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Marriage,17
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Others,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Others,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Business,5
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Service,1
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,1
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Others,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,2
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Business,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Service,1
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Study,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Conflict,1
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Others,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Study,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
