District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Population who are,Number
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Never Married,46
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Single married,1930
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Mutiple married,200
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Re-married,287
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Widow- Widower,68
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Divorced,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Separated,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Never Married,35
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Single married,1525
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Mutiple married,165
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Re-married,322
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Widow- Widower,105
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Divorced,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Separated,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Never Married,27
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Single married,1323
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Mutiple married,146
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Re-married,287
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Widow- Widower,125
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Divorced,2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Separated,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Never Married,35
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Single married,1074
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Mutiple married,148
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Re-married,292
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Widow- Widower,193
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Divorced,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Separated,1
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Never Married,17
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Single married,761
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Mutiple married,101
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Re-married,205
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Widow- Widower,211
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Divorced,9
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Separated,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Never Married,14
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Single married,484
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Mutiple married,78
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Re-married,154
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Widow- Widower,156
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Divorced,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Separated,2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Never Married,9747
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Single married,66
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Mutiple married,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Re-married,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Widow- Widower,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Divorced,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Separated,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Never Married,5281
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Single married,1640
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Mutiple married,6
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Re-married,14
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Widow- Widower,7
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Divorced,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Separated,2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Never Married,721
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Single married,4273
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Mutiple married,32
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Re-married,124
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Widow- Widower,22
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Divorced,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Separated,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Never Married,120
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Single married,4388
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Mutiple married,45
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Re-married,200
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Widow- Widower,43
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Divorced,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Separated,12
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Never Married,36
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Single married,3711
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Mutiple married,49
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Re-married,232
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Widow- Widower,48
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Divorced,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Separated,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Never Married,32
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Single married,3243
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Mutiple married,54
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Re-married,300
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Widow- Widower,95
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Divorced,10
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Separated,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Never Married,21
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Single married,2514
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Mutiple married,61
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Re-married,250
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Widow- Widower,126
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Divorced,9
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Separated,16
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Never Married,6
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Single married,2112
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Mutiple married,63
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Re-married,240
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Widow- Widower,173
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Divorced,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Separated,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Never Married,7
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Single married,1630
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Mutiple married,40
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Re-married,218
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Widow- Widower,211
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Divorced,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Separated,11
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Never Married,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Single married,1272
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Mutiple married,38
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Re-married,160
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Widow- Widower,229
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Divorced,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Separated,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Never Married,17
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Single married,1192
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Mutiple married,46
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Re-married,202
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Widow- Widower,517
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Divorced,2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Separated,11
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Never Married,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Single married,775
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Mutiple married,23
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Re-married,117
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Widow- Widower,525
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Divorced,5
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Separated,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Never Married,11
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Single married,564
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Mutiple married,14
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Re-married,68
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Widow- Widower,430
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Divorced,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Separated,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Never Married,33821
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Single married,214
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Mutiple married,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Re-married,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Widow- Widower,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Divorced,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Male,Separated,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Never Married,24790
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Single married,3271
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Mutiple married,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Re-married,14
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Widow- Widower,4
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Divorced,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Male,Separated,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Never Married,10732
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Single married,10653
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Mutiple married,60
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Re-married,89
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Widow- Widower,28
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Divorced,25
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Male,Separated,31
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Never Married,3276
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Single married,15180
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Mutiple married,153
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Re-married,241
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Widow- Widower,54
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Divorced,35
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Male,Separated,38
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Never Married,911
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Single married,13899
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Mutiple married,259
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Re-married,408
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Widow- Widower,70
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Divorced,29
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Male,Separated,48
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Never Married,459
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Single married,13284
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Mutiple married,356
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Re-married,511
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Widow- Widower,98
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Divorced,35
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Male,Separated,32
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Never Married,220
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Single married,11003
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Mutiple married,404
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Re-married,539
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Widow- Widower,129
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Divorced,23
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Male,Separated,30
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Never Married,189
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Single married,9147
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Mutiple married,390
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Re-married,556
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Widow- Widower,174
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Divorced,23
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Male,Separated,16
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Never Married,104
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Single married,6875
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Mutiple married,372
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Re-married,559
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Widow- Widower,267
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Divorced,18
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Male,Separated,17
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Never Married,91
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Single married,5221
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Mutiple married,303
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Re-married,489
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Widow- Widower,256
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Divorced,13
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,55 - 59 Years,Male,Separated,20
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Never Married,75
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Single married,4864
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Mutiple married,261
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Re-married,458
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Widow- Widower,448
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Divorced,12
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,60 - 64 Years,Male,Separated,11
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Never Married,49
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Single married,3304
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Mutiple married,204
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Re-married,339
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Widow- Widower,430
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Divorced,5
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,65 - 69 Years,Male,Separated,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Never Married,36
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Single married,2332
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Mutiple married,156
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Re-married,246
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Widow- Widower,477
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Divorced,11
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,70 - 74 Years,Male,Separated,7
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Never Married,31172
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Single married,693
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Mutiple married,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Re-married,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Widow- Widower,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Divorced,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,10 - 14 Years,Female,Separated,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Never Married,19511
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Single married,8826
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Mutiple married,24
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Re-married,23
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Widow- Widower,17
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Divorced,18
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,15 - 19 Years,Female,Separated,17
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Never Married,5732
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Single married,18958
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Mutiple married,58
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Re-married,133
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Widow- Widower,75
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Divorced,50
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,20 - 24 Years,Female,Separated,54
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Never Married,1240
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Single married,20352
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Mutiple married,96
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Re-married,282
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Widow- Widower,124
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Divorced,51
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,25 - 29 Years,Female,Separated,66
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Never Married,340
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Single married,17016
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Mutiple married,83
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Re-married,340
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Widow- Widower,203
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Divorced,33
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,30 - 34 Years,Female,Separated,52
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Never Married,177
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Single married,14548
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Mutiple married,107
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Re-married,410
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Widow- Widower,382
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Divorced,40
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,35 - 39 Years,Female,Separated,56
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Never Married,124
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Single married,11329
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Mutiple married,87
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Re-married,368
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Widow- Widower,507
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Divorced,31
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,40 - 44 Years,Female,Separated,53
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Never Married,55
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Single married,8570
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Mutiple married,54
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Re-married,307
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Widow- Widower,583
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Divorced,14
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,45 - 49 Years,Female,Separated,34
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,50 - 54 Years,Female,Never Married,38
