District,Gender,Age-Group,Usual Activity performed,Value
Sankhuwasabha,Male,10 - 14 Years,Total Person,10405
Sankhuwasabha,Male,10 - 14 Years,Own agriculture,4179
Sankhuwasabha,Male,10 - 14 Years,Wage/salary earning,285
Sankhuwasabha,Male,10 - 14 Years,Own non- agricultural,375
Sankhuwasabha,Male,10 - 14 Years,Extended economic,734
Sankhuwasabha,Male,10 - 14 Years,Seeking job,128
Sankhuwasabha,Male,10 - 14 Years,Household chores,2745
Sankhuwasabha,Male,10 - 14 Years,Study,9671
Sankhuwasabha,Male,10 - 14 Years,Non of activity,1878
Sankhuwasabha,Male,10 - 14 Years,Activity not stated,116
Sankhuwasabha,Male,15 - 19 Years,Total Person,8810
Sankhuwasabha,Male,15 - 19 Years,Own agriculture,5320
Sankhuwasabha,Male,15 - 19 Years,Wage/salary earning,1106
Sankhuwasabha,Male,15 - 19 Years,Own non- agricultural,857
Sankhuwasabha,Male,15 - 19 Years,Extended economic,1410
Sankhuwasabha,Male,15 - 19 Years,Seeking job,589
Sankhuwasabha,Male,15 - 19 Years,Household chores,2020
Sankhuwasabha,Male,15 - 19 Years,Study,6310
Sankhuwasabha,Male,15 - 19 Years,Non of activity,1416
Sankhuwasabha,Male,15 - 19 Years,Activity not stated,27
Sankhuwasabha,Male,20 - 24 Years,Total Person,5008
Sankhuwasabha,Male,20 - 24 Years,Own agriculture,3461
Sankhuwasabha,Male,20 - 24 Years,Wage/salary earning,1401
Sankhuwasabha,Male,20 - 24 Years,Own non- agricultural,1075
Sankhuwasabha,Male,20 - 24 Years,Extended economic,1371
Sankhuwasabha,Male,20 - 24 Years,Seeking job,872
Sankhuwasabha,Male,20 - 24 Years,Household chores,1453
Sankhuwasabha,Male,20 - 24 Years,Study,1614
Sankhuwasabha,Male,20 - 24 Years,Non of activity,960
Sankhuwasabha,Male,20 - 24 Years,Activity not stated,28
Sankhuwasabha,Male,25 - 29 Years,Total Person,4174
Sankhuwasabha,Male,25 - 29 Years,Own agriculture,3166
Sankhuwasabha,Male,25 - 29 Years,Wage/salary earning,1478
Sankhuwasabha,Male,25 - 29 Years,Own non- agricultural,1065
Sankhuwasabha,Male,25 - 29 Years,Extended economic,1443
Sankhuwasabha,Male,25 - 29 Years,Seeking job,669
Sankhuwasabha,Male,25 - 29 Years,Household chores,1209
Sankhuwasabha,Male,25 - 29 Years,Study,342
Sankhuwasabha,Male,25 - 29 Years,Non of activity,827
Sankhuwasabha,Male,25 - 29 Years,Activity not stated,9
Sankhuwasabha,Male,30 - 34 Years,Total Person,3803
Sankhuwasabha,Male,30 - 34 Years,Own agriculture,2899
Sankhuwasabha,Male,30 - 34 Years,Wage/salary earning,1388
Sankhuwasabha,Male,30 - 34 Years,Own non- agricultural,1059
Sankhuwasabha,Male,30 - 34 Years,Extended economic,1292
Sankhuwasabha,Male,30 - 34 Years,Seeking job,480
Sankhuwasabha,Male,30 - 34 Years,Household chores,1182
Sankhuwasabha,Male,30 - 34 Years,Study,118
Sankhuwasabha,Male,30 - 34 Years,Non of activity,757
Sankhuwasabha,Male,30 - 34 Years,Activity not stated,12
Sankhuwasabha,Male,35 - 39 Years,Total Person,3688
Sankhuwasabha,Male,35 - 39 Years,Own agriculture,2805
Sankhuwasabha,Male,35 - 39 Years,Wage/salary earning,1385
Sankhuwasabha,Male,35 - 39 Years,Own non- agricultural,1158
Sankhuwasabha,Male,35 - 39 Years,Extended economic,1302
Sankhuwasabha,Male,35 - 39 Years,Seeking job,455
Sankhuwasabha,Male,35 - 39 Years,Household chores,1145
Sankhuwasabha,Male,35 - 39 Years,Study,63
Sankhuwasabha,Male,35 - 39 Years,Non of activity,687
Sankhuwasabha,Male,35 - 39 Years,Activity not stated,5
Sankhuwasabha,Male,40 - 44 Years,Total Person,3634
Sankhuwasabha,Male,40 - 44 Years,Own agriculture,2948
Sankhuwasabha,Male,40 - 44 Years,Wage/salary earning,1282
Sankhuwasabha,Male,40 - 44 Years,Own non- agricultural,1036
Sankhuwasabha,Male,40 - 44 Years,Extended economic,1537
Sankhuwasabha,Male,40 - 44 Years,Seeking job,349
Sankhuwasabha,Male,40 - 44 Years,Household chores,1126
Sankhuwasabha,Male,40 - 44 Years,Study,68
Sankhuwasabha,Male,40 - 44 Years,Non of activity,705
Sankhuwasabha,Male,40 - 44 Years,Activity not stated,6
Sankhuwasabha,Male,45 - 49 Years,Total Person,3463
Sankhuwasabha,Male,45 - 49 Years,Own agriculture,2894
Sankhuwasabha,Male,45 - 49 Years,Wage/salary earning,1190
Sankhuwasabha,Male,45 - 49 Years,Own non- agricultural,1016
Sankhuwasabha,Male,45 - 49 Years,Extended economic,1398
Sankhuwasabha,Male,45 - 49 Years,Seeking job,331
Sankhuwasabha,Male,45 - 49 Years,Household chores,1206
Sankhuwasabha,Male,45 - 49 Years,Study,33
Sankhuwasabha,Male,45 - 49 Years,Non of activity,680
Sankhuwasabha,Male,45 - 49 Years,Activity not stated,4
Sankhuwasabha,Male,50 - 54 Years,Total Person,3565
Sankhuwasabha,Male,50 - 54 Years,Own agriculture,2944
Sankhuwasabha,Male,50 - 54 Years,Wage/salary earning,1061
Sankhuwasabha,Male,50 - 54 Years,Own non- agricultural,934
Sankhuwasabha,Male,50 - 54 Years,Extended economic,1446
Sankhuwasabha,Male,50 - 54 Years,Seeking job,272
Sankhuwasabha,Male,50 - 54 Years,Household chores,1259
Sankhuwasabha,Male,50 - 54 Years,Study,13
Sankhuwasabha,Male,50 - 54 Years,Non of activity,816
Sankhuwasabha,Male,50 - 54 Years,Activity not stated,10
Sankhuwasabha,Male,55 - 59 Years,Total Person,2860
Sankhuwasabha,Male,55 - 59 Years,Own agriculture,2431
Sankhuwasabha,Male,55 - 59 Years,Wage/salary earning,664
Sankhuwasabha,Male,55 - 59 Years,Own non- agricultural,811
Sankhuwasabha,Male,55 - 59 Years,Extended economic,1233
Sankhuwasabha,Male,55 - 59 Years,Seeking job,244
Sankhuwasabha,Male,55 - 59 Years,Household chores,981
Sankhuwasabha,Male,55 - 59 Years,Study,51
Sankhuwasabha,Male,55 - 59 Years,Non of activity,748
Sankhuwasabha,Male,55 - 59 Years,Activity not stated,1
Sankhuwasabha,Male,60 - 64 Years,Total Person,2439
Sankhuwasabha,Male,60 - 64 Years,Own agriculture,2160
Sankhuwasabha,Male,60 - 64 Years,Wage/salary earning,415
Sankhuwasabha,Male,60 - 64 Years,Own non- agricultural,628
Sankhuwasabha,Male,60 - 64 Years,Extended economic,1064
Sankhuwasabha,Male,60 - 64 Years,Seeking job,86
Sankhuwasabha,Male,60 - 64 Years,Household chores,1056
Sankhuwasabha,Male,60 - 64 Years,Study,28
Sankhuwasabha,Male,60 - 64 Years,Non of activity,819
Sankhuwasabha,Male,60 - 64 Years,Activity not stated,1
Sankhuwasabha,Male,65 - 69 Years,Total Person,1724
Sankhuwasabha,Male,65 - 69 Years,Own agriculture,1373
Sankhuwasabha,Male,65 - 69 Years,Wage/salary earning,227
Sankhuwasabha,Male,65 - 69 Years,Own non- agricultural,478
Sankhuwasabha,Male,65 - 69 Years,Extended economic,690
Sankhuwasabha,Male,65 - 69 Years,Seeking job,83
Sankhuwasabha,Male,65 - 69 Years,Household chores,741
Sankhuwasabha,Male,65 - 69 Years,Study,18
Sankhuwasabha,Male,65 - 69 Years,Non of activity,689
Sankhuwasabha,Male,65 - 69 Years,Activity not stated,10
Sankhuwasabha,Male,70 - 74 Years,Total Person,1327
Sankhuwasabha,Male,70 - 74 Years,Own agriculture,825
Sankhuwasabha,Male,70 - 74 Years,Wage/salary earning,88
Sankhuwasabha,Male,70 - 74 Years,Own non- agricultural,314
Sankhuwasabha,Male,70 - 74 Years,Extended economic,466
Sankhuwasabha,Male,70 - 74 Years,Seeking job,42
Sankhuwasabha,Male,70 - 74 Years,Household chores,564
Sankhuwasabha,Male,70 - 74 Years,Study,33
Sankhuwasabha,Male,70 - 74 Years,Non of activity,734
Sankhuwasabha,Male,70 - 74 Years,Activity not stated,9
Sankhuwasabha,Male,75+ Years,Total Person,1772
Sankhuwasabha,Male,75+ Years,Own agriculture,605
Sankhuwasabha,Male,75+ Years,Wage/salary earning,76
Sankhuwasabha,Male,75+ Years,Own non- agricultural,158
Sankhuwasabha,Male,75+ Years,Extended economic,302
Sankhuwasabha,Male,75+ Years,Seeking job,20
Sankhuwasabha,Male,75+ Years,Household chores,480
Sankhuwasabha,Male,75+ Years,Study,30
Sankhuwasabha,Male,75+ Years,Non of activity,1440
Sankhuwasabha,Male,75+ Years,Activity not stated,1
Sankhuwasabha,Female,10 - 14 Years,Total Person,10559
Sankhuwasabha,Female,10 - 14 Years,Own agriculture,3880
Sankhuwasabha,Female,10 - 14 Years,Wage/salary earning,185
Sankhuwasabha,Female,10 - 14 Years,Own non- agricultural,442
Sankhuwasabha,Female,10 - 14 Years,Extended economic,487
Sankhuwasabha,Female,10 - 14 Years,Seeking job,117
Sankhuwasabha,Female,10 - 14 Years,Household chores,4315
Sankhuwasabha,Female,10 - 14 Years,Study,9779
Sankhuwasabha,Female,10 - 14 Years,Non of activity,1531
Sankhuwasabha,Female,10 - 14 Years,Activity not stated,95
Sankhuwasabha,Female,15 - 19 Years,Total Person,9344
Sankhuwasabha,Female,15 - 19 Years,Own agriculture,5359
Sankhuwasabha,Female,15 - 19 Years,Wage/salary earning,482
Sankhuwasabha,Female,15 - 19 Years,Own non- agricultural,855
Sankhuwasabha,Female,15 - 19 Years,Extended economic,1266
Sankhuwasabha,Female,15 - 19 Years,Seeking job,213
Sankhuwasabha,Female,15 - 19 Years,Household chores,4593
Sankhuwasabha,Female,15 - 19 Years,Study,6505
Sankhuwasabha,Female,15 - 19 Years,Non of activity,1105
Sankhuwasabha,Female,15 - 19 Years,Activity not stated,66
Sankhuwasabha,Female,20 - 24 Years,Total Person,7659
Sankhuwasabha,Female,20 - 24 Years,Own agriculture,5716
Sankhuwasabha,Female,20 - 24 Years,Wage/salary earning,800
Sankhuwasabha,Female,20 - 24 Years,Own non- agricultural,1352
Sankhuwasabha,Female,20 - 24 Years,Extended economic,2230
Sankhuwasabha,Female,20 - 24 Years,Seeking job,265
Sankhuwasabha,Female,20 - 24 Years,Household chores,5690
Sankhuwasabha,Female,20 - 24 Years,Study,1622
Sankhuwasabha,Female,20 - 24 Years,Non of activity,1239
Sankhuwasabha,Female,20 - 24 Years,Activity not stated,31
Sankhuwasabha,Female,25 - 29 Years,Total Person,6493
Sankhuwasabha,Female,25 - 29 Years,Own agriculture,5068
Sankhuwasabha,Female,25 - 29 Years,Wage/salary earning,818
Sankhuwasabha,Female,25 - 29 Years,Own non- agricultural,1484
Sankhuwasabha,Female,25 - 29 Years,Extended economic,2153
Sankhuwasabha,Female,25 - 29 Years,Seeking job,222
Sankhuwasabha,Female,25 - 29 Years,Household chores,4972
Sankhuwasabha,Female,25 - 29 Years,Study,413
Sankhuwasabha,Female,25 - 29 Years,Non of activity,802
Sankhuwasabha,Female,25 - 29 Years,Activity not stated,24
Sankhuwasabha,Female,30 - 34 Years,Total Person,5010
Sankhuwasabha,Female,30 - 34 Years,Own agriculture,4060
Sankhuwasabha,Female,30 - 34 Years,Wage/salary earning,770
Sankhuwasabha,Female,30 - 34 Years,Own non- agricultural,1243
Sankhuwasabha,Female,30 - 34 Years,Extended economic,1795
Sankhuwasabha,Female,30 - 34 Years,Seeking job,203
Sankhuwasabha,Female,30 - 34 Years,Household chores,3959
Sankhuwasabha,Female,30 - 34 Years,Study,116
Sankhuwasabha,Female,30 - 34 Years,Non of activity,639
Sankhuwasabha,Female,30 - 34 Years,Activity not stated,15
Sankhuwasabha,Female,35 - 39 Years,Total Person,4580
Sankhuwasabha,Female,35 - 39 Years,Own agriculture,3830
Sankhuwasabha,Female,35 - 39 Years,Wage/salary earning,622
Sankhuwasabha,Female,35 - 39 Years,Own non- agricultural,1181
Sankhuwasabha,Female,35 - 39 Years,Extended economic,1748
Sankhuwasabha,Female,35 - 39 Years,Seeking job,223
Sankhuwasabha,Female,35 - 39 Years,Household chores,3745
Sankhuwasabha,Female,35 - 39 Years,Study,79
Sankhuwasabha,Female,35 - 39 Years,Non of activity,592
Sankhuwasabha,Female,35 - 39 Years,Activity not stated,14
Sankhuwasabha,Female,40 - 44 Years,Total Person,4154
Sankhuwasabha,Female,40 - 44 Years,Own agriculture,3631
Sankhuwasabha,Female,40 - 44 Years,Wage/salary earning,426
Sankhuwasabha,Female,40 - 44 Years,Own non- agricultural,1055
Sankhuwasabha,Female,40 - 44 Years,Extended economic,1502
Sankhuwasabha,Female,40 - 44 Years,Seeking job,104
Sankhuwasabha,Female,40 - 44 Years,Household chores,3390
Sankhuwasabha,Female,40 - 44 Years,Study,61
Sankhuwasabha,Female,40 - 44 Years,Non of activity,510
Sankhuwasabha,Female,40 - 44 Years,Activity not stated,13
Sankhuwasabha,Female,45 - 49 Years,Total Person,3876
Sankhuwasabha,Female,45 - 49 Years,Own agriculture,3373
Sankhuwasabha,Female,45 - 49 Years,Wage/salary earning,363
Sankhuwasabha,Female,45 - 49 Years,Own non- agricultural,952
Sankhuwasabha,Female,45 - 49 Years,Extended economic,1442
Sankhuwasabha,Female,45 - 49 Years,Seeking job,105
Sankhuwasabha,Female,45 - 49 Years,Household chores,3151
Sankhuwasabha,Female,45 - 49 Years,Study,71
Sankhuwasabha,Female,45 - 49 Years,Non of activity,494
Sankhuwasabha,Female,45 - 49 Years,Activity not stated,2
Sankhuwasabha,Female,50 - 54 Years,Total Person,3734
Sankhuwasabha,Female,50 - 54 Years,Own agriculture,3202
Sankhuwasabha,Female,50 - 54 Years,Wage/salary earning,346
Sankhuwasabha,Female,50 - 54 Years,Own non- agricultural,849
Sankhuwasabha,Female,50 - 54 Years,Extended economic,1391
Sankhuwasabha,Female,50 - 54 Years,Seeking job,86
Sankhuwasabha,Female,50 - 54 Years,Household chores,3139
Sankhuwasabha,Female,50 - 54 Years,Study,72
Sankhuwasabha,Female,50 - 54 Years,Non of activity,648
Sankhuwasabha,Female,50 - 54 Years,Activity not stated,9
Sankhuwasabha,Female,55 - 59 Years,Total Person,2822
Sankhuwasabha,Female,55 - 59 Years,Own agriculture,2255
Sankhuwasabha,Female,55 - 59 Years,Wage/salary earning,201
Sankhuwasabha,Female,55 - 59 Years,Own non- agricultural,621
Sankhuwasabha,Female,55 - 59 Years,Extended economic,1031
Sankhuwasabha,Female,55 - 59 Years,Seeking job,100
Sankhuwasabha,Female,55 - 59 Years,Household chores,2374
Sankhuwasabha,Female,55 - 59 Years,Study,35
Sankhuwasabha,Female,55 - 59 Years,Non of activity,581
Sankhuwasabha,Female,55 - 59 Years,Activity not stated,1
Sankhuwasabha,Female,60 - 64 Years,Total Person,2556
Sankhuwasabha,Female,60 - 64 Years,Own agriculture,1905
Sankhuwasabha,Female,60 - 64 Years,Wage/salary earning,121
Sankhuwasabha,Female,60 - 64 Years,Own non- agricultural,472
Sankhuwasabha,Female,60 - 64 Years,Extended economic,808
Sankhuwasabha,Female,60 - 64 Years,Seeking job,51
Sankhuwasabha,Female,60 - 64 Years,Household chores,2098
Sankhuwasabha,Female,60 - 64 Years,Study,72
Sankhuwasabha,Female,60 - 64 Years,Non of activity,774
Sankhuwasabha,Female,60 - 64 Years,Activity not stated,25
Sankhuwasabha,Female,65 - 69 Years,Total Person,1804
Sankhuwasabha,Female,65 - 69 Years,Own agriculture,1187
Sankhuwasabha,Female,65 - 69 Years,Wage/salary earning,66
Sankhuwasabha,Female,65 - 69 Years,Own non- agricultural,363
Sankhuwasabha,Female,65 - 69 Years,Extended economic,475
Sankhuwasabha,Female,65 - 69 Years,Seeking job,73
Sankhuwasabha,Female,65 - 69 Years,Household chores,1300
Sankhuwasabha,Female,65 - 69 Years,Study,41
Sankhuwasabha,Female,65 - 69 Years,Non of activity,704
Sankhuwasabha,Female,65 - 69 Years,Activity not stated,9
Sankhuwasabha,Female,70 - 74 Years,Total Person,1356
Sankhuwasabha,Female,70 - 74 Years,Own agriculture,530
Sankhuwasabha,Female,70 - 74 Years,Wage/salary earning,36
Sankhuwasabha,Female,70 - 74 Years,Own non- agricultural,157
Sankhuwasabha,Female,70 - 74 Years,Extended economic,294
Sankhuwasabha,Female,70 - 74 Years,Seeking job,33
Sankhuwasabha,Female,70 - 74 Years,Household chores,840
Sankhuwasabha,Female,70 - 74 Years,Study,18
Sankhuwasabha,Female,70 - 74 Years,Non of activity,839
Sankhuwasabha,Female,70 - 74 Years,Activity not stated,0
Sankhuwasabha,Female,75+ Years,Total Person,1920
Sankhuwasabha,Female,75+ Years,Own agriculture,426
Sankhuwasabha,Female,75+ Years,Wage/salary earning,17
Sankhuwasabha,Female,75+ Years,Own non- agricultural,65
Sankhuwasabha,Female,75+ Years,Extended economic,197
Sankhuwasabha,Female,75+ Years,Seeking job,27
Sankhuwasabha,Female,75+ Years,Household chores,787
Sankhuwasabha,Female,75+ Years,Study,41
Sankhuwasabha,Female,75+ Years,Non of activity,1514
Sankhuwasabha,Female,75+ Years,Activity not stated,37
Bhojpur,Male,10 - 14 Years,Total Person,11928
Bhojpur,Male,10 - 14 Years,Own agriculture,2079
Bhojpur,Male,10 - 14 Years,Wage/salary earning,105
Bhojpur,Male,10 - 14 Years,Own non- agricultural,347
Bhojpur,Male,10 - 14 Years,Extended economic,709
Bhojpur,Male,10 - 14 Years,Seeking job,48
Bhojpur,Male,10 - 14 Years,Household chores,1846
Bhojpur,Male,10 - 14 Years,Study,11138
Bhojpur,Male,10 - 14 Years,Non of activity,1185
Bhojpur,Male,10 - 14 Years,Activity not stated,24
Bhojpur,Male,15 - 19 Years,Total Person,10502
Bhojpur,Male,15 - 19 Years,Own agriculture,4217
Bhojpur,Male,15 - 19 Years,Wage/salary earning,684
Bhojpur,Male,15 - 19 Years,Own non- agricultural,757
Bhojpur,Male,15 - 19 Years,Extended economic,1254
Bhojpur,Male,15 - 19 Years,Seeking job,594
Bhojpur,Male,15 - 19 Years,Household chores,1677
Bhojpur,Male,15 - 19 Years,Study,7872
Bhojpur,Male,15 - 19 Years,Non of activity,741
Bhojpur,Male,15 - 19 Years,Activity not stated,16
Bhojpur,Male,20 - 24 Years,Total Person,5331
Bhojpur,Male,20 - 24 Years,Own agriculture,3387
Bhojpur,Male,20 - 24 Years,Wage/salary earning,1040
Bhojpur,Male,20 - 24 Years,Own non- agricultural,798
Bhojpur,Male,20 - 24 Years,Extended economic,992
Bhojpur,Male,20 - 24 Years,Seeking job,823
Bhojpur,Male,20 - 24 Years,Household chores,847
Bhojpur,Male,20 - 24 Years,Study,1678
Bhojpur,Male,20 - 24 Years,Non of activity,444
Bhojpur,Male,20 - 24 Years,Activity not stated,8
Bhojpur,Male,25 - 29 Years,Total Person,4212
Bhojpur,Male,25 - 29 Years,Own agriculture,3046
Bhojpur,Male,25 - 29 Years,Wage/salary earning,1205
Bhojpur,Male,25 - 29 Years,Own non- agricultural,990
Bhojpur,Male,25 - 29 Years,Extended economic,1013
Bhojpur,Male,25 - 29 Years,Seeking job,614
Bhojpur,Male,25 - 29 Years,Household chores,598
Bhojpur,Male,25 - 29 Years,Study,330
Bhojpur,Male,25 - 29 Years,Non of activity,315
Bhojpur,Male,25 - 29 Years,Activity not stated,8
Bhojpur,Male,30 - 34 Years,Total Person,3853
Bhojpur,Male,30 - 34 Years,Own agriculture,3026
Bhojpur,Male,30 - 34 Years,Wage/salary earning,1145
Bhojpur,Male,30 - 34 Years,Own non- agricultural,963
Bhojpur,Male,30 - 34 Years,Extended economic,910
Bhojpur,Male,30 - 34 Years,Seeking job,470
Bhojpur,Male,30 - 34 Years,Household chores,561
Bhojpur,Male,30 - 34 Years,Study,68
Bhojpur,Male,30 - 34 Years,Non of activity,341
Bhojpur,Male,30 - 34 Years,Activity not stated,0
Bhojpur,Male,35 - 39 Years,Total Person,3929
Bhojpur,Male,35 - 39 Years,Own agriculture,3130
Bhojpur,Male,35 - 39 Years,Wage/salary earning,1178
Bhojpur,Male,35 - 39 Years,Own non- agricultural,1085
Bhojpur,Male,35 - 39 Years,Extended economic,900
Bhojpur,Male,35 - 39 Years,Seeking job,412
Bhojpur,Male,35 - 39 Years,Household chores,547
Bhojpur,Male,35 - 39 Years,Study,25
Bhojpur,Male,35 - 39 Years,Non of activity,345
Bhojpur,Male,35 - 39 Years,Activity not stated,17
Bhojpur,Male,40 - 44 Years,Total Person,4209
Bhojpur,Male,40 - 44 Years,Own agriculture,3412
Bhojpur,Male,40 - 44 Years,Wage/salary earning,1217
Bhojpur,Male,40 - 44 Years,Own non- agricultural,994
Bhojpur,Male,40 - 44 Years,Extended economic,1166
Bhojpur,Male,40 - 44 Years,Seeking job,266
Bhojpur,Male,40 - 44 Years,Household chores,531
Bhojpur,Male,40 - 44 Years,Study,26
Bhojpur,Male,40 - 44 Years,Non of activity,317
Bhojpur,Male,40 - 44 Years,Activity not stated,9
Bhojpur,Male,45 - 49 Years,Total Person,4256
Bhojpur,Male,45 - 49 Years,Own agriculture,3541
Bhojpur,Male,45 - 49 Years,Wage/salary earning,1288
Bhojpur,Male,45 - 49 Years,Own non- agricultural,1052
Bhojpur,Male,45 - 49 Years,Extended economic,1209
Bhojpur,Male,45 - 49 Years,Seeking job,267
Bhojpur,Male,45 - 49 Years,Household chores,699
Bhojpur,Male,45 - 49 Years,Study,16
Bhojpur,Male,45 - 49 Years,Non of activity,346
Bhojpur,Male,45 - 49 Years,Activity not stated,0
Bhojpur,Male,50 - 54 Years,Total Person,4167
Bhojpur,Male,50 - 54 Years,Own agriculture,3445
Bhojpur,Male,50 - 54 Years,Wage/salary earning,1086
Bhojpur,Male,50 - 54 Years,Own non- agricultural,1024
Bhojpur,Male,50 - 54 Years,Extended economic,1032
Bhojpur,Male,50 - 54 Years,Seeking job,186
Bhojpur,Male,50 - 54 Years,Household chores,582
Bhojpur,Male,50 - 54 Years,Study,8
Bhojpur,Male,50 - 54 Years,Non of activity,497
Bhojpur,Male,50 - 54 Years,Activity not stated,0
Bhojpur,Male,55 - 59 Years,Total Person,3260
Bhojpur,Male,55 - 59 Years,Own agriculture,2814
Bhojpur,Male,55 - 59 Years,Wage/salary earning,558
Bhojpur,Male,55 - 59 Years,Own non- agricultural,741
Bhojpur,Male,55 - 59 Years,Extended economic,1036
Bhojpur,Male,55 - 59 Years,Seeking job,199
Bhojpur,Male,55 - 59 Years,Household chores,590
Bhojpur,Male,55 - 59 Years,Study,16
Bhojpur,Male,55 - 59 Years,Non of activity,486
Bhojpur,Male,55 - 59 Years,Activity not stated,0
Bhojpur,Male,60 - 64 Years,Total Person,2873
Bhojpur,Male,60 - 64 Years,Own agriculture,2465
Bhojpur,Male,60 - 64 Years,Wage/salary earning,431
Bhojpur,Male,60 - 64 Years,Own non- agricultural,742
Bhojpur,Male,60 - 64 Years,Extended economic,891
Bhojpur,Male,60 - 64 Years,Seeking job,104
Bhojpur,Male,60 - 64 Years,Household chores,542
Bhojpur,Male,60 - 64 Years,Study,30
Bhojpur,Male,60 - 64 Years,Non of activity,646
Bhojpur,Male,60 - 64 Years,Activity not stated,7
Bhojpur,Male,65 - 69 Years,Total Person,2265
Bhojpur,Male,65 - 69 Years,Own agriculture,1796
Bhojpur,Male,65 - 69 Years,Wage/salary earning,165
Bhojpur,Male,65 - 69 Years,Own non- agricultural,519
Bhojpur,Male,65 - 69 Years,Extended economic,552
Bhojpur,Male,65 - 69 Years,Seeking job,58
Bhojpur,Male,65 - 69 Years,Household chores,478
Bhojpur,Male,65 - 69 Years,Study,8
Bhojpur,Male,65 - 69 Years,Non of activity,585
Bhojpur,Male,65 - 69 Years,Activity not stated,0
Bhojpur,Male,70 - 74 Years,Total Person,1765
Bhojpur,Male,70 - 74 Years,Own agriculture,1198
Bhojpur,Male,70 - 74 Years,Wage/salary earning,118
Bhojpur,Male,70 - 74 Years,Own non- agricultural,370
Bhojpur,Male,70 - 74 Years,Extended economic,402
Bhojpur,Male,70 - 74 Years,Seeking job,16
Bhojpur,Male,70 - 74 Years,Household chores,292
Bhojpur,Male,70 - 74 Years,Study,16
Bhojpur,Male,70 - 74 Years,Non of activity,827
Bhojpur,Male,70 - 74 Years,Activity not stated,0
Bhojpur,Male,75+ Years,Total Person,2336
Bhojpur,Male,75+ Years,Own agriculture,907
Bhojpur,Male,75+ Years,Wage/salary earning,77
Bhojpur,Male,75+ Years,Own non- agricultural,231
Bhojpur,Male,75+ Years,Extended economic,351
Bhojpur,Male,75+ Years,Seeking job,34
Bhojpur,Male,75+ Years,Household chores,385
Bhojpur,Male,75+ Years,Study,43
Bhojpur,Male,75+ Years,Non of activity,1626
Bhojpur,Male,75+ Years,Activity not stated,0
Bhojpur,Female,10 - 14 Years,Total Person,11943
Bhojpur,Female,10 - 14 Years,Own agriculture,1833
Bhojpur,Female,10 - 14 Years,Wage/salary earning,63
Bhojpur,Female,10 - 14 Years,Own non- agricultural,197
Bhojpur,Female,10 - 14 Years,Extended economic,735
Bhojpur,Female,10 - 14 Years,Seeking job,63
Bhojpur,Female,10 - 14 Years,Household chores,3073
Bhojpur,Female,10 - 14 Years,Study,11153
Bhojpur,Female,10 - 14 Years,Non of activity,821
Bhojpur,Female,10 - 14 Years,Activity not stated,32
Bhojpur,Female,15 - 19 Years,Total Person,11669
Bhojpur,Female,15 - 19 Years,Own agriculture,4329
Bhojpur,Female,15 - 19 Years,Wage/salary earning,315
Bhojpur,Female,15 - 19 Years,Own non- agricultural,647
Bhojpur,Female,15 - 19 Years,Extended economic,1493
Bhojpur,Female,15 - 19 Years,Seeking job,241
Bhojpur,Female,15 - 19 Years,Household chores,4387
Bhojpur,Female,15 - 19 Years,Study,8468
Bhojpur,Female,15 - 19 Years,Non of activity,581
Bhojpur,Female,15 - 19 Years,Activity not stated,25
Bhojpur,Female,20 - 24 Years,Total Person,8781
Bhojpur,Female,20 - 24 Years,Own agriculture,6007
Bhojpur,Female,20 - 24 Years,Wage/salary earning,802
Bhojpur,Female,20 - 24 Years,Own non- agricultural,1162
Bhojpur,Female,20 - 24 Years,Extended economic,2185
Bhojpur,Female,20 - 24 Years,Seeking job,286
Bhojpur,Female,20 - 24 Years,Household chores,5049
Bhojpur,Female,20 - 24 Years,Study,1989
Bhojpur,Female,20 - 24 Years,Non of activity,532
Bhojpur,Female,20 - 24 Years,Activity not stated,16
Bhojpur,Female,25 - 29 Years,Total Person,6908
Bhojpur,Female,25 - 29 Years,Own agriculture,5435
Bhojpur,Female,25 - 29 Years,Wage/salary earning,838
Bhojpur,Female,25 - 29 Years,Own non- agricultural,1204
Bhojpur,Female,25 - 29 Years,Extended economic,1961
Bhojpur,Female,25 - 29 Years,Seeking job,171
Bhojpur,Female,25 - 29 Years,Household chores,4321
Bhojpur,Female,25 - 29 Years,Study,374
Bhojpur,Female,25 - 29 Years,Non of activity,399
Bhojpur,Female,25 - 29 Years,Activity not stated,33
Bhojpur,Female,30 - 34 Years,Total Person,5254
Bhojpur,Female,30 - 34 Years,Own agriculture,4413
Bhojpur,Female,30 - 34 Years,Wage/salary earning,468
Bhojpur,Female,30 - 34 Years,Own non- agricultural,1111
Bhojpur,Female,30 - 34 Years,Extended economic,1524
Bhojpur,Female,30 - 34 Years,Seeking job,135
Bhojpur,Female,30 - 34 Years,Household chores,3524
Bhojpur,Female,30 - 34 Years,Study,63
Bhojpur,Female,30 - 34 Years,Non of activity,262
Bhojpur,Female,30 - 34 Years,Activity not stated,16
Bhojpur,Female,35 - 39 Years,Total Person,5196
Bhojpur,Female,35 - 39 Years,Own agriculture,4562
Bhojpur,Female,35 - 39 Years,Wage/salary earning,519
Bhojpur,Female,35 - 39 Years,Own non- agricultural,980
Bhojpur,Female,35 - 39 Years,Extended economic,1655
Bhojpur,Female,35 - 39 Years,Seeking job,124
