District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Indicator,Value
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Male,European country,15
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Male,Country not stated,59
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,Total foreign born population,432
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,India,391
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,Middle East country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,European country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,Other countries,8
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Male,Country not stated,33
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,121
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,India,121
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,European country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,00 - 14 Years,Female,Country not stated,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,10578
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,India,10186
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),9
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,Middle East country,8
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,16
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,European country,16
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,Other countries,24
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,15 - 59 Years,Female,Country not stated,318
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,Total foreign born population,1721
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,India,1654
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,Middle East country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,European country,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,Other countries,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,60+ Years,Female,Country not stated,67
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,India,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,European country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,145
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,India,112
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,European country,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,Other countries,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Male,Country not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,Total foreign born population,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,India,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,Middle East country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,European country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,Other countries,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Male,Country not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,India,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,European country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 14 Years,Female,Country not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,117
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,India,104
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,Middle East country,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,European country,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 59 Years,Female,Country not stated,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,Total foreign born population,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,India,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,Middle East country,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,European country,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,Other countries,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60+ Years,Female,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,India,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,4
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,India,4
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,India,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,India,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,3
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,India,2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,India,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,European country,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,60+ Years,Female,Country not stated,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,136
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,India,136
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,105
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,India,100
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,4
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,2
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,India,2
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,80
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,India,72
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,8
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,145
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,India,144
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,India,9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,European country,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Country not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,108
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,India,100
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,8
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,261
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,India,241
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,2
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,European country,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,16
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,3
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,India,3
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,European country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,108
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,India,105
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,3
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,272
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,India,226
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),2
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,16
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,25
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,2
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,43
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,India,34
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,ASEAN country,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
