District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Siraha,Male,Seeking job,5,  248
 Siraha,Male,Seeking job,6, 1655
 Siraha,Male,Seeking job,7, 123
 Siraha,Male,Seeking job,8, 342
 Siraha,Male,Seeking job,9, 82
 Siraha,Male,Seeking job,10,202
 Siraha,Male,Seeking job,11, 8
 Siraha,Male,Seeking job,12,  2538
 Siraha,Male,Non-Economic,0, 119612
 Siraha,Male,Non-Economic,1, 922
 Siraha,Male,Non-Economic,2, 4781
 Siraha,Male,Non-Economic,3,  2327
 Siraha,Male,Non-Economic,4, 3309
 Siraha,Male,Non-Economic,5,1227
 Siraha,Male,Non-Economic,6, 4699
 Siraha,Male,Non-Economic,7, 508
 Siraha,Male,Non-Economic,8, 607
 Siraha,Male,Non-Economic,9,497
 Siraha,Male,Non-Economic,10,818
 Siraha,Male,Non-Economic,11,59
 Siraha,Male,Non-Economic,12, 85787
 Siraha,Female,Economic,0, 162551
 Siraha,Female,Economic,1, 205
 Siraha,Female,Economic,2, 2503
 Siraha,Female,Economic,3,  2509
 Siraha,Female,Economic,4, 4126
 Siraha,Female,Economic,5,1925
 Siraha,Female,Economic,6,16596
 Siraha,Female,Economic,7,  2995
 Siraha,Female,Economic,8,  5548
 Siraha,Female,Economic,9, 3039
 Siraha,Female,Economic,10, 3802
 Siraha,Female,Economic,11,  426
 Siraha,Female,Economic,12, 40138
 Siraha,Female,Extended Economic,0, 233682
 Siraha,Female,Extended Economic,1,  1514
 Siraha,Female,Extended Economic,2, 3610
 Siraha,Female,Extended Economic,3,  2061
 Siraha,Female,Extended Economic,4, 1462
 Siraha,Female,Extended Economic,5,  183
 Siraha,Female,Extended Economic,6, 2129
 Siraha,Female,Extended Economic,7, 121
 Siraha,Female,Extended Economic,8, 293
 Siraha,Female,Extended Economic,9,182
 Siraha,Female,Extended Economic,10,139
 Siraha,Female,Extended Economic,11, 0
 Siraha,Female,Extended Economic,12, 989
 Siraha,Female,Seeking job,0, 242977
 Siraha,Female,Seeking job,1, 512
 Siraha,Female,Seeking job,2,450
 Siraha,Female,Seeking job,3, 406
 Siraha,Female,Seeking job,4,251
 Siraha,Female,Seeking job,5,  146
 Siraha,Female,Seeking job,6,571
 Siraha,Female,Seeking job,7,  41
 Siraha,Female,Seeking job,8, 108
 Siraha,Female,Seeking job,9, 13
 Siraha,Female,Seeking job,10, 72
 Siraha,Female,Seeking job,11, 0
 Siraha,Female,Seeking job,12, 817
 Siraha,Female,Non-Economic,0, 45300
 Siraha,Female,Non-Economic,1, 505
 Siraha,Female,Non-Economic,2, 4830
 Siraha,Female,Non-Economic,3,  3328
 Siraha,Female,Non-Economic,4, 5777
 Siraha,Female,Non-Economic,5,2970
 Siraha,Female,Non-Economic,6,16013
 Siraha,Female,Non-Economic,7,  1939
 Siraha,Female,Non-Economic,8,  3956
 Siraha,Female,Non-Economic,9, 2098
 Siraha,Female,Non-Economic,10, 2547
 Siraha,Female,Non-Economic,11,  225
 Siraha,Female,Non-Economic,12,156875
 Dhanusa,Male,Economic,0,  119224
 Dhanusa,Male,Economic,1, 337
 Dhanusa,Male,Economic,2, 2085
 Dhanusa,Male,Economic,3,  1448
 Dhanusa,Male,Economic,4, 2322
 Dhanusa,Male,Economic,5,  843
 Dhanusa,Male,Economic,6,12971
 Dhanusa,Male,Economic,7,  1988
 Dhanusa,Male,Economic,8,  6575
 Dhanusa,Male,Economic,9,4451
 Dhanusa,Male,Economic,10, 7497
 Dhanusa,Male,Economic,11,2109
 Dhanusa,Male,Economic,12,113483
 Dhanusa,Male,Extended Economic,0,  262872
 Dhanusa,Male,Extended Economic,1,  1879
 Dhanusa,Male,Extended Economic,2, 2071
 Dhanusa,Male,Extended Economic,3,  1528
 Dhanusa,Male,Extended Economic,4, 1160
 Dhanusa,Male,Extended Economic,5,  222
 Dhanusa,Male,Extended Economic,6, 1816
 Dhanusa,Male,Extended Economic,7, 152
 Dhanusa,Male,Extended Economic,8, 440
 Dhanusa,Male,Extended Economic,9,  158
 Dhanusa,Male,Extended Economic,10,184
 Dhanusa,Male,Extended Economic,11,17
 Dhanusa,Male,Extended Economic,12,  2836
 Dhanusa,Male,Seeking job,0,  256881
 Dhanusa,Male,Seeking job,1,  1962
 Dhanusa,Male,Seeking job,2, 3304
 Dhanusa,Male,Seeking job,3,  2076
 Dhanusa,Male,Seeking job,4, 1398
 Dhanusa,Male,Seeking job,5,  408
 Dhanusa,Male,Seeking job,6, 2926
 Dhanusa,Male,Seeking job,7, 150
 Dhanusa,Male,Seeking job,8, 418
 Dhanusa,Male,Seeking job,9,  242
 Dhanusa,Male,Seeking job,10,324
 Dhanusa,Male,Seeking job,11, 8
 Dhanusa,Male,Seeking job,12,  5235
 Dhanusa,Male,Non-Economic,0, 131326
 Dhanusa,Male,Non-Economic,1,  2354
 Dhanusa,Male,Non-Economic,2, 8362
 Dhanusa,Male,Non-Economic,3,  5141
 Dhanusa,Male,Non-Economic,4, 5650
 Dhanusa,Male,Non-Economic,5,1294
 Dhanusa,Male,Non-Economic,6, 8042
 Dhanusa,Male,Non-Economic,7, 528
 Dhanusa,Male,Non-Economic,8,  1336
 Dhanusa,Male,Non-Economic,9,  884
 Dhanusa,Male,Non-Economic,10, 1778
 Dhanusa,Male,Non-Economic,11,  328
 Dhanusa,Male,Non-Economic,12,108309
 Dhanusa,Female,Economic,0, 210492
 Dhanusa,Female,Economic,1,  693
 Dhanusa,Female,Economic,2,3460
 Dhanusa,Female,Economic,3,  2963
 Dhanusa,Female,Economic,4, 4246
 Dhanusa,Female,Economic,5,1074
 Dhanusa,Female,Economic,6,14718
 Dhanusa,Female,Economic,7,  1638
 Dhanusa,Female,Economic,8,  4357
 Dhanusa,Female,Economic,9,1837
 Dhanusa,Female,Economic,10, 3657
 Dhanusa,Female,Economic,11,  463
 Dhanusa,Female,Economic,12, 27738
 Dhanusa,Female,Extended Economic,0, 269721
 Dhanusa,Female,Extended Economic,1,  695
 Dhanusa,Female,Extended Economic,2,2009
 Dhanusa,Female,Extended Economic,3,  1457
 Dhanusa,Female,Extended Economic,4,858
 Dhanusa,Female,Extended Economic,5,  106
 Dhanusa,Female,Extended Economic,6, 1146
 Dhanusa,Female,Extended Economic,7, 167
 Dhanusa,Female,Extended Economic,8, 283
 Dhanusa,Female,Extended Economic,9,40
 Dhanusa,Female,Extended Economic,10, 82
 Dhanusa,Female,Extended Economic,11, 0
 Dhanusa,Female,Extended Economic,12, 775
 Dhanusa,Female,Seeking job,0, 270684
 Dhanusa,Female,Seeking job,1,  821
 Dhanusa,Female,Seeking job,2,1025
 Dhanusa,Female,Seeking job,3, 713
 Dhanusa,Female,Seeking job,4,521
 Dhanusa,Female,Seeking job,5,98
 Dhanusa,Female,Seeking job,6, 1480
 Dhanusa,Female,Seeking job,7,8
 Dhanusa,Female,Seeking job,8, 107
 Dhanusa,Female,Seeking job,9,58
 Dhanusa,Female,Seeking job,10,100
 Dhanusa,Female,Seeking job,11, 0
 Dhanusa,Female,Seeking job,12,  1723
 Dhanusa,Female,Non-Economic,0, 32685
 Dhanusa,Female,Non-Economic,1,  564
 Dhanusa,Female,Non-Economic,2,3787
 Dhanusa,Female,Non-Economic,3,  2524
 Dhanusa,Female,Non-Economic,4, 4518
 Dhanusa,Female,Non-Economic,5,1613
 Dhanusa,Female,Non-Economic,6,15453
 Dhanusa,Female,Non-Economic,7,  1044
 Dhanusa,Female,Non-Economic,8,  4301
 Dhanusa,Female,Non-Economic,9,2764
 Dhanusa,Female,Non-Economic,10, 3709
 Dhanusa,Female,Non-Economic,11,  644
 Dhanusa,Female,Non-Economic,12,203732
 Mahottari,Male,Economic,0,87442
 Mahottari,Male,Economic,1, 137
 Mahottari,Male,Economic,2, 1142
 Mahottari,Male,Economic,3, 780
 Mahottari,Male,Economic,4,940
 Mahottari,Male,Economic,5, 616
 Mahottari,Male,Economic,6,  6823
 Mahottari,Male,Economic,7,  1746
 Mahottari,Male,Economic,8,  4050
 Mahottari,Male,Economic,9,4613
 Mahottari,Male,Economic,10, 6877
 Mahottari,Male,Economic,11,1862
 Mahottari,Male,Economic,12,106135
 Mahottari,Male,Extended Economic,0,  212646
 Mahottari,Male,Extended Economic,1,  1510
 Mahottari,Male,Extended Economic,2, 2487
 Mahottari,Male,Extended Economic,3,  1937
 Mahottari,Male,Extended Economic,4, 1131
 Mahottari,Male,Extended Economic,5, 260
 Mahottari,Male,Extended Economic,6,  1244
 Mahottari,Male,Extended Economic,7, 103
 Mahottari,Male,Extended Economic,8, 254
 Mahottari,Male,Extended Economic,9,  105
 Mahottari,Male,Extended Economic,10,256
 Mahottari,Male,Extended Economic,11, 8
 Mahottari,Male,Extended Economic,12,  1221
 Mahottari,Male,Seeking job,0,  210192
 Mahottari,Male,Seeking job,1,  1565
 Mahottari,Male,Seeking job,2, 2976
 Mahottari,Male,Seeking job,3,  1881
 Mahottari,Male,Seeking job,4, 1109
 Mahottari,Male,Seeking job,5, 307
 Mahottari,Male,Seeking job,6,  1891
 Mahottari,Male,Seeking job,7,  84
 Mahottari,Male,Seeking job,8, 322
 Mahottari,Male,Seeking job,9,88
 Mahottari,Male,Seeking job,10,195
 Mahottari,Male,Seeking job,11, 8
 Mahottari,Male,Seeking job,12,  2543
 Mahottari,Male,Non-Economic,0, 120651
 Mahottari,Male,Non-Economic,1,  1812
 Mahottari,Male,Non-Economic,2, 6156
 Mahottari,Male,Non-Economic,3,  3656
 Mahottari,Male,Non-Economic,4, 2721
 Mahottari,Male,Non-Economic,5, 883
 Mahottari,Male,Non-Economic,6,  2896
 Mahottari,Male,Non-Economic,7, 375
 Mahottari,Male,Non-Economic,8, 466
 Mahottari,Male,Non-Economic,9,  578
 Mahottari,Male,Non-Economic,10,987
 Mahottari,Male,Non-Economic,11,  129
 Mahottari,Male,Non-Economic,12, 81850
 Mahottari,Female,Economic,0, 182986
 Mahottari,Female,Economic,1, 435
 Mahottari,Female,Economic,2, 3853
 Mahottari,Female,Economic,3,  2816
 Mahottari,Female,Economic,4, 3477
 Mahottari,Female,Economic,5,1553
 Mahottari,Female,Economic,6,10410
 Mahottari,Female,Economic,7,  2606
 Mahottari,Female,Economic,8,  3241
 Mahottari,Female,Economic,9,2593
 Mahottari,Female,Economic,10, 2314
 Mahottari,Female,Economic,11,  309
 Mahottari,Female,Economic,12, 16428
 Mahottari,Female,Extended Economic,0, 211130
 Mahottari,Female,Extended Economic,1,  1165
 Mahottari,Female,Extended Economic,2, 4824
 Mahottari,Female,Extended Economic,3,  4275
 Mahottari,Female,Extended Economic,4, 3396
 Mahottari,Female,Extended Economic,5,  865
 Mahottari,Female,Extended Economic,6, 3944
 Mahottari,Female,Extended Economic,7, 558
 Mahottari,Female,Extended Economic,8, 892
 Mahottari,Female,Extended Economic,9,  302
 Mahottari,Female,Extended Economic,10,437
 Mahottari,Female,Extended Economic,11, 8
 Mahottari,Female,Extended Economic,12,  1225
 Mahottari,Female,Seeking job,0, 229286
 Mahottari,Female,Seeking job,1, 469
 Mahottari,Female,Seeking job,2,806
 Mahottari,Female,Seeking job,3, 448
 Mahottari,Female,Seeking job,4,402
 Mahottari,Female,Seeking job,5,78
 Mahottari,Female,Seeking job,6,647
 Mahottari,Female,Seeking job,7,  50
 Mahottari,Female,Seeking job,8,  66
 Mahottari,Female,Seeking job,9,89
 Mahottari,Female,Seeking job,10, 64
 Mahottari,Female,Seeking job,11, 8
 Mahottari,Female,Seeking job,12, 608
 Mahottari,Female,Non-Economic,0, 22323
 Mahottari,Female,Non-Economic,1, 563
 Mahottari,Female,Non-Economic,2, 3870
 Mahottari,Female,Non-Economic,3,  3972
 Mahottari,Female,Non-Economic,4, 4387
 Mahottari,Female,Non-Economic,5,2537
 Mahottari,Female,Non-Economic,6,10944
 Mahottari,Female,Non-Economic,7,  1464
 Mahottari,Female,Non-Economic,8,  4036
 Mahottari,Female,Non-Economic,9,2956
 Mahottari,Female,Non-Economic,10, 4676
 Mahottari,Female,Non-Economic,11,  343
 Mahottari,Female,Non-Economic,12,170951
 Sarlahi,Male,Economic,0,  105125
 Sarlahi,Male,Economic,1,  81
 Sarlahi,Male,Economic,2,718
 Sarlahi,Male,Economic,3, 919
 Sarlahi,Male,Economic,4, 1105
 Sarlahi,Male,Economic,5,  458
 Sarlahi,Male,Economic,6, 5282
 Sarlahi,Male,Economic,7,  2526
 Sarlahi,Male,Economic,8,  5240
 Sarlahi,Male,Economic,9,4126
 Sarlahi,Male,Economic,10, 7912
 Sarlahi,Male,Economic,11,1857
 Sarlahi,Male,Economic,12,148465
 Sarlahi,Male,Extended Economic,0,  273708
 Sarlahi,Male,Extended Economic,1,  2034
 Sarlahi,Male,Extended Economic,2, 2221
 Sarlahi,Male,Extended Economic,3,  1117
 Sarlahi,Male,Extended Economic,4, 1048
 Sarlahi,Male,Extended Economic,5,  257
 Sarlahi,Male,Extended Economic,6, 1007
 Sarlahi,Male,Extended Economic,7,  63
 Sarlahi,Male,Extended Economic,8, 220
 Sarlahi,Male,Extended Economic,9,  123
 Sarlahi,Male,Extended Economic,10,148
 Sarlahi,Male,Extended Economic,11,24
 Sarlahi,Male,Extended Economic,12,  1845
 Sarlahi,Male,Seeking job,0,  268248
 Sarlahi,Male,Seeking job,1,  1918
 Sarlahi,Male,Seeking job,2, 3094
 Sarlahi,Male,Seeking job,3,  1636
 Sarlahi,Male,Seeking job,4, 1315
 Sarlahi,Male,Seeking job,5,  540
 Sarlahi,Male,Seeking job,6, 1545
 Sarlahi,Male,Seeking job,7, 449
 Sarlahi,Male,Seeking job,8, 335
 Sarlahi,Male,Seeking job,9,99
 Sarlahi,Male,Seeking job,10,260
 Sarlahi,Male,Seeking job,11,49
 Sarlahi,Male,Seeking job,12,  4325
 Sarlahi,Male,Non-Economic,0, 163968
 Sarlahi,Male,Non-Economic,1,  2064
 Sarlahi,Male,Non-Economic,2, 7349
 Sarlahi,Male,Non-Economic,3,  3711
 Sarlahi,Male,Non-Economic,4, 3562
 Sarlahi,Male,Non-Economic,5,1637
 Sarlahi,Male,Non-Economic,6, 2903
 Sarlahi,Male,Non-Economic,7, 232
 Sarlahi,Male,Non-Economic,8, 679
 Sarlahi,Male,Non-Economic,9,  489
 Sarlahi,Male,Non-Economic,10,523
 Sarlahi,Male,Non-Economic,11,91
 Sarlahi,Male,Non-Economic,12, 96607
 Sarlahi,Female,Economic,0, 224713
 Sarlahi,Female,Economic,1, 323
 Sarlahi,Female,Economic,2, 2226
 Sarlahi,Female,Economic,3,  1883
 Sarlahi,Female,Economic,4, 3047
 Sarlahi,Female,Economic,5,1164
 Sarlahi,Female,Economic,6, 6821
 Sarlahi,Female,Economic,7,  2403
 Sarlahi,Female,Economic,8,  4217
 Sarlahi,Female,Economic,9,1469
 Sarlahi,Female,Economic,10, 2137
 Sarlahi,Female,Economic,11,  352
 Sarlahi,Female,Economic,12, 27272
 Sarlahi,Female,Extended Economic,0, 265962
 Sarlahi,Female,Extended Economic,1,  1078
 Sarlahi,Female,Extended Economic,2, 2306
 Sarlahi,Female,Extended Economic,3,  1698
 Sarlahi,Female,Extended Economic,4, 1597
 Sarlahi,Female,Extended Economic,5,  407
 Sarlahi,Female,Extended Economic,6, 1865
 Sarlahi,Female,Extended Economic,7, 231
 Sarlahi,Female,Extended Economic,8, 381
 Sarlahi,Female,Extended Economic,9,  115
 Sarlahi,Female,Extended Economic,10,251
 Sarlahi,Female,Extended Economic,11,  146
 Sarlahi,Female,Extended Economic,12,  1990
 Sarlahi,Female,Seeking job,0, 273187
 Sarlahi,Female,Seeking job,1, 737
 Sarlahi,Female,Seeking job,2,789
 Sarlahi,Female,Seeking job,3, 635
 Sarlahi,Female,Seeking job,4,349
 Sarlahi,Female,Seeking job,5,  200
 Sarlahi,Female,Seeking job,6,441
 Sarlahi,Female,Seeking job,7, 323
 Sarlahi,Female,Seeking job,8, 145
 Sarlahi,Female,Seeking job,9,40
 Sarlahi,Female,Seeking job,10,115
 Sarlahi,Female,Seeking job,11, 8
 Sarlahi,Female,Seeking job,12,  1059
 Sarlahi,Female,Non-Economic,0, 32757
 Sarlahi,Female,Non-Economic,1, 458
 Sarlahi,Female,Non-Economic,2, 3012
 Sarlahi,Female,Non-Economic,3,  1925
 Sarlahi,Female,Non-Economic,4, 4754
 Sarlahi,Female,Non-Economic,5,2397
 Sarlahi,Female,Non-Economic,6, 7356
 Sarlahi,Female,Non-Economic,7,  1339
 Sarlahi,Female,Non-Economic,8,  3659
 Sarlahi,Female,Non-Economic,9,1952
 Sarlahi,Female,Non-Economic,10, 2311
 Sarlahi,Female,Non-Economic,11,  426
 Sarlahi,Female,Non-Economic,12,215684
 Sindhuli,Male,Economic,0,35942
 Sindhuli,Male,Economic,1, 534
 Sindhuli,Male,Economic,2, 4102
 Sindhuli,Male,Economic,3, 940
 Sindhuli,Male,Economic,4, 1223
 Sindhuli,Male,Economic,5, 408
 Sindhuli,Male,Economic,6,  3472
 Sindhuli,Male,Economic,7,  1293
 Sindhuli,Male,Economic,8,  4277
 Sindhuli,Male,Economic,9,2462
 Sindhuli,Male,Economic,10, 7024
 Sindhuli,Male,Economic,11,1303
 Sindhuli,Male,Economic,12, 39700
 Sindhuli,Male,Extended Economic,0,91568
 Sindhuli,Male,Extended Economic,1,  1712
 Sindhuli,Male,Extended Economic,2, 5013
 Sindhuli,Male,Extended Economic,3,  1631
 Sindhuli,Male,Extended Economic,4, 1564
 Sindhuli,Male,Extended Economic,5, 238
 Sindhuli,Male,Extended Economic,6, 606
 Sindhuli,Male,Extended Economic,7,  40
 Sindhuli,Male,Extended Economic,8, 128
 Sindhuli,Male,Extended Economic,9,16
 Sindhuli,Male,Extended Economic,10, 57
 Sindhuli,Male,Extended Economic,11, 8
 Sindhuli,Male,Extended Economic,12,  98
 Sindhuli,Male,Seeking job,0,96285
 Sindhuli,Male,Seeking job,1, 943
 Sindhuli,Male,Seeking job,2, 2231
 Sindhuli,Male,Seeking job,3, 671
 Sindhuli,Male,Seeking job,4, 1014
 Sindhuli,Male,Seeking job,5, 209
 Sindhuli,Male,Seeking job,6, 475
 Sindhuli,Male,Seeking job,7,  41
 Sindhuli,Male,Seeking job,8, 138
 Sindhuli,Male,Seeking job,9,33
 Sindhuli,Male,Seeking job,10,114
 Sindhuli,Male,Seeking job,11, 0
 Sindhuli,Male,Seeking job,12, 527
 Sindhuli,Male,Non-Economic,0,  49251
 Sindhuli,Male,Non-Economic,1,  1542
 Sindhuli,Male,Non-Economic,2, 5485
 Sindhuli,Male,Non-Economic,3,  1493
 Sindhuli,Male,Non-Economic,4, 1698
 Sindhuli,Male,Non-Economic,5, 589
 Sindhuli,Male,Non-Economic,6,  1547
 Sindhuli,Male,Non-Economic,7, 247
 Sindhuli,Male,Non-Economic,8,  1025
 Sindhuli,Male,Non-Economic,9,  913
 Sindhuli,Male,Non-Economic,10, 4707
 Sindhuli,Male,Non-Economic,11,  479
 Sindhuli,Male,Non-Economic,12, 33703
 Sindhuli,Female,Economic,0,  53171
 Sindhuli,Female,Economic,1, 904
 Sindhuli,Female,Economic,2, 4432
 Sindhuli,Female,Economic,3,  2156
 Sindhuli,Female,Economic,4, 3481
 Sindhuli,Female,Economic,5,1199
 Sindhuli,Female,Economic,6,10875
 Sindhuli,Female,Economic,7,  3005
 Sindhuli,Female,Economic,8,  8930
 Sindhuli,Female,Economic,9,3087
 Sindhuli,Female,Economic,10, 8735
 Sindhuli,Female,Economic,11,  420
 Sindhuli,Female,Economic,12, 17449
 Sindhuli,Female,Extended Economic,0,  95806
 Sindhuli,Female,Extended Economic,1,  2619
 Sindhuli,Female,Extended Economic,2, 8807
 Sindhuli,Female,Extended Economic,3,  4078
 Sindhuli,Female,Extended Economic,4, 3193
 Sindhuli,Female,Extended Economic,5,  407
 Sindhuli,Female,Extended Economic,6, 1591
 Sindhuli,Female,Extended Economic,7, 191
 Sindhuli,Female,Extended Economic,8, 473
 Sindhuli,Female,Extended Economic,9,95
 Sindhuli,Female,Extended Economic,10,348
 Sindhuli,Female,Extended Economic,11, 8
 Sindhuli,Female,Extended Economic,12, 230
 Sindhuli,Female,Seeking job,0, 115971
 Sindhuli,Female,Seeking job,1, 260
 Sindhuli,Female,Seeking job,2,552
 Sindhuli,Female,Seeking job,3, 261
 Sindhuli,Female,Seeking job,4,332
 Sindhuli,Female,Seeking job,5,56
 Sindhuli,Female,Seeking job,6, 88
 Sindhuli,Female,Seeking job,7,8
 Sindhuli,Female,Seeking job,8,  38
 Sindhuli,Female,Seeking job,9,24
 Sindhuli,Female,Seeking job,10, 74
 Sindhuli,Female,Seeking job,11, 0
 Sindhuli,Female,Seeking job,12, 182
 Sindhuli,Female,Non-Economic,0, 22062
 Sindhuli,Female,Non-Economic,1,  1019
 Sindhuli,Female,Non-Economic,2,11594
 Sindhuli,Female,Non-Economic,3,  5885
 Sindhuli,Female,Non-Economic,4, 8372
 Sindhuli,Female,Non-Economic,5,2377
 Sindhuli,Female,Non-Economic,6, 6885
 Sindhuli,Female,Non-Economic,7, 989
 Sindhuli,Female,Non-Economic,8,  2842
 Sindhuli,Female,Non-Economic,9,1406
 Sindhuli,Female,Non-Economic,10, 4448
 Sindhuli,Female,Non-Economic,11,  712
 Sindhuli,Female,Non-Economic,12, 49254
 Ramechhap,Male,Economic,0, 26454
 Ramechhap,Male,Economic,1,861
 Ramechhap,Male,Economic,2, 1918
 Ramechhap,Male,Economic,3, 604
 Ramechhap,Male,Economic,4,674
 Ramechhap,Male,Economic,5, 273
 Ramechhap,Male,Economic,6,  4355
 Ramechhap,Male,Economic,7,885
 Ramechhap,Male,Economic,8, 3639
 Ramechhap,Male,Economic,9,2276
 Ramechhap,Male,Economic,10, 4233
 Ramechhap,Male,Economic,11,1042
 Ramechhap,Male,Economic,12,24350
 Ramechhap,Male,Extended Economic,0, 63890
 Ramechhap,Male,Extended Economic,1, 1288
 Ramechhap,Male,Extended Economic,2, 2796
 Ramechhap,Male,Extended Economic,3,  1211
 Ramechhap,Male,Extended Economic,4,875
 Ramechhap,Male,Extended Economic,5, 161
 Ramechhap,Male,Extended Economic,6, 985
 Ramechhap,Male,Extended Economic,7, 40
 Ramechhap,Male,Extended Economic,8, 98
 Ramechhap,Male,Extended Economic,9,48
 Ramechhap,Male,Extended Economic,10, 81
 Ramechhap,Male,Extended Economic,11, 0
 Ramechhap,Male,Extended Economic,12, 91
 Ramechhap,Male,Seeking job,0, 66969
 Ramechhap,Male,Seeking job,1,980
 Ramechhap,Male,Seeking job,2, 1548
 Ramechhap,Male,Seeking job,3, 568
 Ramechhap,Male,Seeking job,4,534
 Ramechhap,Male,Seeking job,5,  97
 Ramechhap,Male,Seeking job,6, 519
 Ramechhap,Male,Seeking job,7, 41
 Ramechhap,Male,Seeking job,8, 40
 Ramechhap,Male,Seeking job,9, 8
 Ramechhap,Male,Seeking job,10, 56
 Ramechhap,Male,Seeking job,11, 8
 Ramechhap,Male,Seeking job,12,194
 Ramechhap,Male,Non-Economic,0,30972
 Ramechhap,Male,Non-Economic,1, 1491
 Ramechhap,Male,Non-Economic,2, 3317
 Ramechhap,Male,Non-Economic,3,  1582
 Ramechhap,Male,Non-Economic,4, 2140
 Ramechhap,Male,Non-Economic,5, 461
 Ramechhap,Male,Non-Economic,6,  2161
 Ramechhap,Male,Non-Economic,7,121
 Ramechhap,Male,Non-Economic,8,439
 Ramechhap,Male,Non-Economic,9,  540
 Ramechhap,Male,Non-Economic,10, 2131
 Ramechhap,Male,Non-Economic,11,  764
 Ramechhap,Male,Non-Economic,12,25446
 Ramechhap,Female,Economic,0,  34784
 Ramechhap,Female,Economic,1,  1037
 Ramechhap,Female,Economic,2, 2373
 Ramechhap,Female,Economic,3,  1369
 Ramechhap,Female,Economic,4, 1743
 Ramechhap,Female,Economic,5,  563
 Ramechhap,Female,Economic,6,12191
 Ramechhap,Female,Economic,7,  2533
 Ramechhap,Female,Economic,8,6892
 Ramechhap,Female,Economic,9,3519
 Ramechhap,Female,Economic,10, 4539
 Ramechhap,Female,Economic,11,  459
 Ramechhap,Female,Economic,12,16321
 Ramechhap,Female,Extended Economic,0,  78059
 Ramechhap,Female,Extended Economic,1,  1651
 Ramechhap,Female,Extended Economic,2, 3622
 Ramechhap,Female,Extended Economic,3,  2403
 Ramechhap,Female,Extended Economic,4, 1078
 Ramechhap,Female,Extended Economic,5,79
 Ramechhap,Female,Extended Economic,6, 1056
 Ramechhap,Female,Extended Economic,7,  64
 Ramechhap,Female,Extended Economic,8,64
 Ramechhap,Female,Extended Economic,9,48
 Ramechhap,Female,Extended Economic,10, 40
 Ramechhap,Female,Extended Economic,11, 0
 Ramechhap,Female,Extended Economic,12,159
 Ramechhap,Female,Seeking job,0,  86928
 Ramechhap,Female,Seeking job,1, 301
 Ramechhap,Female,Seeking job,2,396
 Ramechhap,Female,Seeking job,3, 277
 Ramechhap,Female,Seeking job,4,200
 Ramechhap,Female,Seeking job,5, 8
 Ramechhap,Female,Seeking job,6,118
 Ramechhap,Female,Seeking job,7,  16
 Ramechhap,Female,Seeking job,8,16
 Ramechhap,Female,Seeking job,9, 0
 Ramechhap,Female,Seeking job,10, 16
 Ramechhap,Female,Seeking job,11, 0
 Ramechhap,Female,Seeking job,12, 47
 Ramechhap,Female,Non-Economic,0, 19934
 Ramechhap,Female,Non-Economic,1, 896
 Ramechhap,Female,Non-Economic,2, 5573
 Ramechhap,Female,Non-Economic,3,  4094
 Ramechhap,Female,Non-Economic,4, 6137
 Ramechhap,Female,Non-Economic,5,2048
 Ramechhap,Female,Non-Economic,6, 9374
 Ramechhap,Female,Non-Economic,7, 388
 Ramechhap,Female,Non-Economic,8,1433
 Ramechhap,Female,Non-Economic,9,1289
 Ramechhap,Female,Non-Economic,10, 2561
 Ramechhap,Female,Non-Economic,11,  943
 Ramechhap,Female,Non-Economic,12,33652
 Dolakha,Male,Economic,0,23708
 Dolakha,Male,Economic,1, 359
 Dolakha,Male,Economic,2, 2733
 Dolakha,Male,Economic,3, 372
 Dolakha,Male,Economic,4,690
 Dolakha,Male,Economic,5, 251
 Dolakha,Male,Economic,6,  3120
 Dolakha,Male,Economic,7,800
 Dolakha,Male,Economic,8, 2613
 Dolakha,Male,Economic,9,1962
 Dolakha,Male,Economic,10, 4544
 Dolakha,Male,Economic,11,1215
 Dolakha,Male,Economic,12,24777
 Dolakha,Male,Extended Economic,0,57828
 Dolakha,Male,Extended Economic,1,  1889
 Dolakha,Male,Extended Economic,2, 4014
 Dolakha,Male,Extended Economic,3,  1442
 Dolakha,Male,Extended Economic,4, 1092
 Dolakha,Male,Extended Economic,5, 132
 Dolakha,Male,Extended Economic,6, 436
 Dolakha,Male,Extended Economic,7, 25
 Dolakha,Male,Extended Economic,8,111
 Dolakha,Male,Extended Economic,9,35
 Dolakha,Male,Extended Economic,10, 74
 Dolakha,Male,Extended Economic,11, 0
 Dolakha,Male,Extended Economic,12, 67
 Dolakha,Male,Seeking job,0,62959
 Dolakha,Male,Seeking job,1,  1166
 Dolakha,Male,Seeking job,2, 1261
 Dolakha,Male,Seeking job,3, 390
 Dolakha,Male,Seeking job,4,484
 Dolakha,Male,Seeking job,5,  93
 Dolakha,Male,Seeking job,6, 508
 Dolakha,Male,Seeking job,7, 18
 Dolakha,Male,Seeking job,8, 48
 Dolakha,Male,Seeking job,9,24
 Dolakha,Male,Seeking job,10, 61
 Dolakha,Male,Seeking job,11, 1
 Dolakha,Male,Seeking job,12,131
 Dolakha,Male,Non-Economic,0,  32250
 Dolakha,Male,Non-Economic,1,  1402
 Dolakha,Male,Non-Economic,2, 2768
 Dolakha,Male,Non-Economic,3, 967
 Dolakha,Male,Non-Economic,4, 1213
 Dolakha,Male,Non-Economic,5, 308
