District,Gender,Age-Group,Type of activity,Value
Dolakha,Male,35 - 39 Years,Economic only,2614
Dolakha,Male,35 - 39 Years,Extended economic only,4
Dolakha,Male,35 - 39 Years,Seeking job only,3
Dolakha,Male,35 - 39 Years,Non economic only,  88
Dolakha,Male,35 - 39 Years,Activity not stated,  11
Dolakha,Male,40 - 44 Years,Economic only,2788
Dolakha,Male,40 - 44 Years,Extended economic only,3
Dolakha,Male,40 - 44 Years,Seeking job only,4
Dolakha,Male,40 - 44 Years,Non economic only,  45
Dolakha,Male,40 - 44 Years,Activity not stated,  11
Dolakha,Male,45 - 49 Years,Economic only,2691
Dolakha,Male,45 - 49 Years,Extended economic only,0
Dolakha,Male,45 - 49 Years,Seeking job only,0
Dolakha,Male,45 - 49 Years,Non economic only,  89
Dolakha,Male,45 - 49 Years,Activity not stated,  24
Dolakha,Male,50 - 54 Years,Economic only,2460
Dolakha,Male,50 - 54 Years,Extended economic only,0
Dolakha,Male,50 - 54 Years,Seeking job only,0
Dolakha,Male,50 - 54 Years,Non economic only, 170
Dolakha,Male,50 - 54 Years,Activity not stated,9
Dolakha,Male,55 - 59 Years,Economic only,1981
Dolakha,Male,55 - 59 Years,Extended economic only,3
Dolakha,Male,55 - 59 Years,Seeking job only,1
Dolakha,Male,55 - 59 Years,Non economic only, 170
Dolakha,Male,55 - 59 Years,Activity not stated,8
Dolakha,Male,60 - 64 Years,Economic only,1524
Dolakha,Male,60 - 64 Years,Extended economic only,0
Dolakha,Male,60 - 64 Years,Seeking job only,8
Dolakha,Male,60 - 64 Years,Non economic only, 249
Dolakha,Male,60 - 64 Years,Activity not stated,8
Dolakha,Male,65 - 69 Years,Economic only,1105
Dolakha,Male,65 - 69 Years,Extended economic only,1
Dolakha,Male,65 - 69 Years,Seeking job only,0
Dolakha,Male,65 - 69 Years,Non economic only, 359
Dolakha,Male,65 - 69 Years,Activity not stated,1
Dolakha,Male,70 - 74 Years,Economic only,  636
Dolakha,Male,70 - 74 Years,Extended economic only,9
Dolakha,Male,70 - 74 Years,Seeking job only,0
Dolakha,Male,70 - 74 Years,Non economic only, 572
Dolakha,Male,70 - 74 Years,Activity not stated,2
Dolakha,Male,75+ Years,Economic only,432
Dolakha,Male,75+ Years,Extended economic only,  18
Dolakha,Male,75+ Years,Seeking job only,0
Dolakha,Male,75+ Years,Non economic only,  1483
Dolakha,Male,75+ Years,Activity not stated,  10
Dolakha,Female,10 - 14 Years,Economic only,  177
Dolakha,Female,10 - 14 Years,Extended economic only,0
Dolakha,Female,10 - 14 Years,Seeking job only,0
Dolakha,Female,10 - 14 Years,Non economic only, 11104
Dolakha,Female,10 - 14 Years,Activity not stated,  79
Dolakha,Female,15 - 19 Years,Economic only,  921
Dolakha,Female,15 - 19 Years,Extended economic only,1
Dolakha,Female,15 - 19 Years,Seeking job only,  26
Dolakha,Female,15 - 19 Years,Non economic only,  7693
Dolakha,Female,15 - 19 Years,Activity not stated,  38
Dolakha,Female,20 - 24 Years,Economic only,2050
Dolakha,Female,20 - 24 Years,Extended economic only,  24
Dolakha,Female,20 - 24 Years,Seeking job only,  10
Dolakha,Female,20 - 24 Years,Non economic only,  2079
Dolakha,Female,20 - 24 Years,Activity not stated,  27
Dolakha,Female,25 - 29 Years,Economic only,2167
Dolakha,Female,25 - 29 Years,Extended economic only,0
Dolakha,Female,25 - 29 Years,Seeking job only,8
Dolakha,Female,25 - 29 Years,Non economic only, 644
Dolakha,Female,25 - 29 Years,Activity not stated,  14
Dolakha,Female,30 - 34 Years,Economic only,1572
Dolakha,Female,30 - 34 Years,Extended economic only,3
Dolakha,Female,30 - 34 Years,Seeking job only,1
Dolakha,Female,30 - 34 Years,Non economic only, 327
Dolakha,Female,30 - 34 Years,Activity not stated,  14
Dolakha,Female,35 - 39 Years,Economic only,1511
Dolakha,Female,35 - 39 Years,Extended economic only,  19
Dolakha,Female,35 - 39 Years,Seeking job only,0
Dolakha,Female,35 - 39 Years,Non economic only, 231
Dolakha,Female,35 - 39 Years,Activity not stated,  10
Dolakha,Female,40 - 44 Years,Economic only,1584
Dolakha,Female,40 - 44 Years,Extended economic only,0
Dolakha,Female,40 - 44 Years,Seeking job only,0
Dolakha,Female,40 - 44 Years,Non economic only, 230
Dolakha,Female,40 - 44 Years,Activity not stated,  17
Dolakha,Female,45 - 49 Years,Economic only,1405
Dolakha,Female,45 - 49 Years,Extended economic only,  15
Dolakha,Female,45 - 49 Years,Seeking job only,0
Dolakha,Female,45 - 49 Years,Non economic only, 284
Dolakha,Female,45 - 49 Years,Activity not stated,9
Dolakha,Female,50 - 54 Years,Economic only,1202
Dolakha,Female,50 - 54 Years,Extended economic only,  10
Dolakha,Female,50 - 54 Years,Seeking job only,0
Dolakha,Female,50 - 54 Years,Non economic only, 318
Dolakha,Female,50 - 54 Years,Activity not stated,  17
Dolakha,Female,55 - 59 Years,Economic only,  886
Dolakha,Female,55 - 59 Years,Extended economic only,0
Dolakha,Female,55 - 59 Years,Seeking job only,0
Dolakha,Female,55 - 59 Years,Non economic only, 297
Dolakha,Female,55 - 59 Years,Activity not stated,2
Dolakha,Female,60 - 64 Years,Economic only,  702
Dolakha,Female,60 - 64 Years,Extended economic only,0
Dolakha,Female,60 - 64 Years,Seeking job only,0
Dolakha,Female,60 - 64 Years,Non economic only, 669
Dolakha,Female,60 - 64 Years,Activity not stated,9
Dolakha,Female,65 - 69 Years,Economic only,  507
Dolakha,Female,65 - 69 Years,Extended economic only,0
Dolakha,Female,65 - 69 Years,Seeking job only,0
Dolakha,Female,65 - 69 Years,Non economic only, 647
Dolakha,Female,65 - 69 Years,Activity not stated,9
Dolakha,Female,70 - 74 Years,Economic only,  247
Dolakha,Female,70 - 74 Years,Extended economic only,0
Dolakha,Female,70 - 74 Years,Seeking job only,0
Dolakha,Female,70 - 74 Years,Non economic only,  1145
Dolakha,Female,70 - 74 Years,Activity not stated,8
Dolakha,Female,75+ Years,Economic only,160
Dolakha,Female,75+ Years,Extended economic only,0
Dolakha,Female,75+ Years,Seeking job only,0
Dolakha,Female,75+ Years,Non economic only,  2288
Dolakha,Female,75+ Years,Activity not stated,9
Sindhupalchok,Both Sexes,10 - 14 Years,Economic only,1029
Sindhupalchok,Both Sexes,10 - 14 Years,Extended economic only,8
Sindhupalchok,Both Sexes,10 - 14 Years,Seeking job only,8
Sindhupalchok,Both Sexes,10 - 14 Years,Non economic only, 32382
Sindhupalchok,Both Sexes,10 - 14 Years,Activity not stated, 538
Sindhupalchok,Both Sexes,15 - 19 Years,Economic only,4142
Sindhupalchok,Both Sexes,15 - 19 Years,Extended economic only,  58
Sindhupalchok,Both Sexes,15 - 19 Years,Seeking job only, 107
Sindhupalchok,Both Sexes,15 - 19 Years,Non economic only, 19761
Sindhupalchok,Both Sexes,15 - 19 Years,Activity not stated, 172
Sindhupalchok,Both Sexes,20 - 24 Years,Economic only,7937
Sindhupalchok,Both Sexes,20 - 24 Years,Extended economic only,  56
Sindhupalchok,Both Sexes,20 - 24 Years,Seeking job only, 105
Sindhupalchok,Both Sexes,20 - 24 Years,Non economic only,  4377
Sindhupalchok,Both Sexes,20 - 24 Years,Activity not stated, 177
Sindhupalchok,Both Sexes,25 - 29 Years,Economic only,8636
Sindhupalchok,Both Sexes,25 - 29 Years,Extended economic only,  33
Sindhupalchok,Both Sexes,25 - 29 Years,Seeking job only,  17
Sindhupalchok,Both Sexes,25 - 29 Years,Non economic only,  1379
Sindhupalchok,Both Sexes,25 - 29 Years,Activity not stated, 174
Sindhupalchok,Both Sexes,30 - 34 Years,Economic only,7672
Sindhupalchok,Both Sexes,30 - 34 Years,Extended economic only,  57
Sindhupalchok,Both Sexes,30 - 34 Years,Seeking job only,8
Sindhupalchok,Both Sexes,30 - 34 Years,Non economic only, 874
Sindhupalchok,Both Sexes,30 - 34 Years,Activity not stated,  57
Sindhupalchok,Both Sexes,35 - 39 Years,Economic only,7821
Sindhupalchok,Both Sexes,35 - 39 Years,Extended economic only,  41
Sindhupalchok,Both Sexes,35 - 39 Years,Seeking job only,0
Sindhupalchok,Both Sexes,35 - 39 Years,Non economic only, 781
Sindhupalchok,Both Sexes,35 - 39 Years,Activity not stated,  41
Sindhupalchok,Both Sexes,40 - 44 Years,Economic only,7291
Sindhupalchok,Both Sexes,40 - 44 Years,Extended economic only,  39
Sindhupalchok,Both Sexes,40 - 44 Years,Seeking job only,  24
Sindhupalchok,Both Sexes,40 - 44 Years,Non economic only, 930
Sindhupalchok,Both Sexes,40 - 44 Years,Activity not stated,  47
Sindhupalchok,Both Sexes,45 - 49 Years,Economic only,6456
Sindhupalchok,Both Sexes,45 - 49 Years,Extended economic only,  16
Sindhupalchok,Both Sexes,45 - 49 Years,Seeking job only,8
Sindhupalchok,Both Sexes,45 - 49 Years,Non economic only, 805
Sindhupalchok,Both Sexes,45 - 49 Years,Activity not stated,8
Sindhupalchok,Both Sexes,50 - 54 Years,Economic only,5861
Sindhupalchok,Both Sexes,50 - 54 Years,Extended economic only,0
Sindhupalchok,Both Sexes,50 - 54 Years,Seeking job only,8
Sindhupalchok,Both Sexes,50 - 54 Years,Non economic only, 891
Sindhupalchok,Both Sexes,50 - 54 Years,Activity not stated,  64
Sindhupalchok,Both Sexes,55 - 59 Years,Economic only,4541
Sindhupalchok,Both Sexes,55 - 59 Years,Extended economic only,  16
Sindhupalchok,Both Sexes,55 - 59 Years,Seeking job only,8
Sindhupalchok,Both Sexes,55 - 59 Years,Non economic only, 843
Sindhupalchok,Both Sexes,55 - 59 Years,Activity not stated,  33
Sindhupalchok,Both Sexes,60 - 64 Years,Economic only,3987
Sindhupalchok,Both Sexes,60 - 64 Years,Extended economic only,8
Sindhupalchok,Both Sexes,60 - 64 Years,Seeking job only,0
Sindhupalchok,Both Sexes,60 - 64 Years,Non economic only,  1457
Sindhupalchok,Both Sexes,60 - 64 Years,Activity not stated,  24
Sindhupalchok,Both Sexes,65 - 69 Years,Economic only,2851
Sindhupalchok,Both Sexes,65 - 69 Years,Extended economic only,  16
Sindhupalchok,Both Sexes,65 - 69 Years,Seeking job only,0
Sindhupalchok,Both Sexes,65 - 69 Years,Non economic only,  1757
Sindhupalchok,Both Sexes,65 - 69 Years,Activity not stated,  16
Sindhupalchok,Both Sexes,70 - 74 Years,Economic only,1640
Sindhupalchok,Both Sexes,70 - 74 Years,Extended economic only,  32
Sindhupalchok,Both Sexes,70 - 74 Years,Seeking job only,0
Sindhupalchok,Both Sexes,70 - 74 Years,Non economic only,  2688
Sindhupalchok,Both Sexes,70 - 74 Years,Activity not stated,  16
Sindhupalchok,Both Sexes,75+ Years,Economic only, 1148
Sindhupalchok,Both Sexes,75+ Years,Extended economic only,  41
Sindhupalchok,Both Sexes,75+ Years,Seeking job only,0
Sindhupalchok,Both Sexes,75+ Years,Non economic only,  4830
Sindhupalchok,Both Sexes,75+ Years,Activity not stated,  58
Sindhupalchok,Male,10 - 14 Years,Economic only,  468
Sindhupalchok,Male,10 - 14 Years,Extended economic only,0
Sindhupalchok,Male,10 - 14 Years,Seeking job only,8
Sindhupalchok,Male,10 - 14 Years,Non economic only, 16056
Sindhupalchok,Male,10 - 14 Years,Activity not stated, 270
Sindhupalchok,Male,15 - 19 Years,Economic only,2311
Sindhupalchok,Male,15 - 19 Years,Extended economic only,  33
Sindhupalchok,Male,15 - 19 Years,Seeking job only,  83
Sindhupalchok,Male,15 - 19 Years,Non economic only,  9253
Sindhupalchok,Male,15 - 19 Years,Activity not stated,  91
Sindhupalchok,Male,20 - 24 Years,Economic only,4530
Sindhupalchok,Male,20 - 24 Years,Extended economic only,  32
Sindhupalchok,Male,20 - 24 Years,Seeking job only,  65
Sindhupalchok,Male,20 - 24 Years,Non economic only,  1726
Sindhupalchok,Male,20 - 24 Years,Activity not stated,  81
Sindhupalchok,Male,25 - 29 Years,Economic only,4864
Sindhupalchok,Male,25 - 29 Years,Extended economic only,  17
Sindhupalchok,Male,25 - 29 Years,Seeking job only,  17
Sindhupalchok,Male,25 - 29 Years,Non economic only, 310
Sindhupalchok,Male,25 - 29 Years,Activity not stated, 100
Sindhupalchok,Male,30 - 34 Years,Economic only,4516
Sindhupalchok,Male,30 - 34 Years,Extended economic only,  49
Sindhupalchok,Male,30 - 34 Years,Seeking job only,8
Sindhupalchok,Male,30 - 34 Years,Non economic only, 236
Sindhupalchok,Male,30 - 34 Years,Activity not stated,  16
Sindhupalchok,Male,35 - 39 Years,Economic only,4620
Sindhupalchok,Male,35 - 39 Years,Extended economic only,  25
Sindhupalchok,Male,35 - 39 Years,Seeking job only,0
Sindhupalchok,Male,35 - 39 Years,Non economic only, 139
Sindhupalchok,Male,35 - 39 Years,Activity not stated,  25
Sindhupalchok,Male,40 - 44 Years,Economic only,4631
Sindhupalchok,Male,40 - 44 Years,Extended economic only,  16
Sindhupalchok,Male,40 - 44 Years,Seeking job only,8
Sindhupalchok,Male,40 - 44 Years,Non economic only, 185
Sindhupalchok,Male,40 - 44 Years,Activity not stated,  24
Sindhupalchok,Male,45 - 49 Years,Economic only,4261
Sindhupalchok,Male,45 - 49 Years,Extended economic only,8
Sindhupalchok,Male,45 - 49 Years,Seeking job only,8
Sindhupalchok,Male,45 - 49 Years,Non economic only, 147
Sindhupalchok,Male,45 - 49 Years,Activity not stated,0
Sindhupalchok,Male,50 - 54 Years,Economic only,4027
Sindhupalchok,Male,50 - 54 Years,Extended economic only,0
Sindhupalchok,Male,50 - 54 Years,Seeking job only,8
Sindhupalchok,Male,50 - 54 Years,Non economic only, 178
Sindhupalchok,Male,50 - 54 Years,Activity not stated,  24
Sindhupalchok,Male,55 - 59 Years,Economic only,3172
Sindhupalchok,Male,55 - 59 Years,Extended economic only,  16
Sindhupalchok,Male,55 - 59 Years,Seeking job only,0
Sindhupalchok,Male,55 - 59 Years,Non economic only, 150
Sindhupalchok,Male,55 - 59 Years,Activity not stated,8
Sindhupalchok,Male,60 - 64 Years,Economic only,2645
Sindhupalchok,Male,60 - 64 Years,Extended economic only,8
Sindhupalchok,Male,60 - 64 Years,Seeking job only,0
Sindhupalchok,Male,60 - 64 Years,Non economic only, 324
Sindhupalchok,Male,60 - 64 Years,Activity not stated,8
Sindhupalchok,Male,65 - 69 Years,Economic only,1979
Sindhupalchok,Male,65 - 69 Years,Extended economic only,8
Sindhupalchok,Male,65 - 69 Years,Seeking job only,0
Sindhupalchok,Male,65 - 69 Years,Non economic only, 499
Sindhupalchok,Male,65 - 69 Years,Activity not stated,8
Sindhupalchok,Male,70 - 74 Years,Economic only,1102
Sindhupalchok,Male,70 - 74 Years,Extended economic only,  16
Sindhupalchok,Male,70 - 74 Years,Seeking job only,0
Sindhupalchok,Male,70 - 74 Years,Non economic only,  1008
Sindhupalchok,Male,70 - 74 Years,Activity not stated,8
Sindhupalchok,Male,75+ Years,Economic only,737
Sindhupalchok,Male,75+ Years,Extended economic only,  41
Sindhupalchok,Male,75+ Years,Seeking job only,0
Sindhupalchok,Male,75+ Years,Non economic only,  2137
Sindhupalchok,Male,75+ Years,Activity not stated,  50
Sindhupalchok,Female,10 - 14 Years,Economic only,  560
Sindhupalchok,Female,10 - 14 Years,Extended economic only,8
Sindhupalchok,Female,10 - 14 Years,Seeking job only,0
Sindhupalchok,Female,10 - 14 Years,Non economic only, 16326
Sindhupalchok,Female,10 - 14 Years,Activity not stated, 268
Sindhupalchok,Female,15 - 19 Years,Economic only,1831
Sindhupalchok,Female,15 - 19 Years,Extended economic only,  24
Sindhupalchok,Female,15 - 19 Years,Seeking job only,  24
Sindhupalchok,Female,15 - 19 Years,Non economic only, 10508
Sindhupalchok,Female,15 - 19 Years,Activity not stated,  81
Sindhupalchok,Female,20 - 24 Years,Economic only,3407
Sindhupalchok,Female,20 - 24 Years,Extended economic only,  24
Sindhupalchok,Female,20 - 24 Years,Seeking job only,  40
Sindhupalchok,Female,20 - 24 Years,Non economic only,  2651
Sindhupalchok,Female,20 - 24 Years,Activity not stated,  96
Sindhupalchok,Female,25 - 29 Years,Economic only,3772
Sindhupalchok,Female,25 - 29 Years,Extended economic only,  16
Sindhupalchok,Female,25 - 29 Years,Seeking job only,0
Sindhupalchok,Female,25 - 29 Years,Non economic only,  1070
Sindhupalchok,Female,25 - 29 Years,Activity not stated,  73
Sindhupalchok,Female,30 - 34 Years,Economic only,3156
Sindhupalchok,Female,30 - 34 Years,Extended economic only,8
Sindhupalchok,Female,30 - 34 Years,Seeking job only,0
Sindhupalchok,Female,30 - 34 Years,Non economic only, 638
Sindhupalchok,Female,30 - 34 Years,Activity not stated,  40
Sindhupalchok,Female,35 - 39 Years,Economic only,3201
Sindhupalchok,Female,35 - 39 Years,Extended economic only,  17
Sindhupalchok,Female,35 - 39 Years,Seeking job only,0
Sindhupalchok,Female,35 - 39 Years,Non economic only, 642
Sindhupalchok,Female,35 - 39 Years,Activity not stated,  17
Sindhupalchok,Female,40 - 44 Years,Economic only,2661
Sindhupalchok,Female,40 - 44 Years,Extended economic only,  23
Sindhupalchok,Female,40 - 44 Years,Seeking job only,  16
Sindhupalchok,Female,40 - 44 Years,Non economic only, 745
Sindhupalchok,Female,40 - 44 Years,Activity not stated,  23
Sindhupalchok,Female,45 - 49 Years,Economic only,2195
Sindhupalchok,Female,45 - 49 Years,Extended economic only,8
Sindhupalchok,Female,45 - 49 Years,Seeking job only,0
Sindhupalchok,Female,45 - 49 Years,Non economic only, 658
Sindhupalchok,Female,45 - 49 Years,Activity not stated,8
Sindhupalchok,Female,50 - 54 Years,Economic only,1834
Sindhupalchok,Female,50 - 54 Years,Extended economic only,0
Sindhupalchok,Female,50 - 54 Years,Seeking job only,0
Sindhupalchok,Female,50 - 54 Years,Non economic only, 713
Sindhupalchok,Female,50 - 54 Years,Activity not stated,  40
Sindhupalchok,Female,55 - 59 Years,Economic only,1369
Sindhupalchok,Female,55 - 59 Years,Extended economic only,0
Sindhupalchok,Female,55 - 59 Years,Seeking job only,8
Sindhupalchok,Female,55 - 59 Years,Non economic only, 693
Sindhupalchok,Female,55 - 59 Years,Activity not stated,  25
Sindhupalchok,Female,60 - 64 Years,Economic only,1343
Sindhupalchok,Female,60 - 64 Years,Extended economic only,0
Sindhupalchok,Female,60 - 64 Years,Seeking job only,0
Sindhupalchok,Female,60 - 64 Years,Non economic only,  1133
Sindhupalchok,Female,60 - 64 Years,Activity not stated,  16
Sindhupalchok,Female,65 - 69 Years,Economic only,  871
Sindhupalchok,Female,65 - 69 Years,Extended economic only,8
Sindhupalchok,Female,65 - 69 Years,Seeking job only,0
Sindhupalchok,Female,65 - 69 Years,Non economic only,  1258
Sindhupalchok,Female,65 - 69 Years,Activity not stated,8
Sindhupalchok,Female,70 - 74 Years,Economic only,  538
Sindhupalchok,Female,70 - 74 Years,Extended economic only,  17
Sindhupalchok,Female,70 - 74 Years,Seeking job only,0
Sindhupalchok,Female,70 - 74 Years,Non economic only,  1680
Sindhupalchok,Female,70 - 74 Years,Activity not stated,8
Sindhupalchok,Female,75+ Years,Economic only,411
Sindhupalchok,Female,75+ Years,Extended economic only,0
Sindhupalchok,Female,75+ Years,Seeking job only,0
Sindhupalchok,Female,75+ Years,Non economic only,  2693
Sindhupalchok,Female,75+ Years,Activity not stated,8
Kavrepalanchok,Both Sexes,10 - 14 Years,Economic only,  662
Kavrepalanchok,Both Sexes,10 - 14 Years,Extended economic only,  16
Kavrepalanchok,Both Sexes,10 - 14 Years,Seeking job only,5
Kavrepalanchok,Both Sexes,10 - 14 Years,Non economic only, 47064
Kavrepalanchok,Both Sexes,10 - 14 Years,Activity not stated, 780
Kavrepalanchok,Both Sexes,15 - 19 Years,Economic only,4742
Kavrepalanchok,Both Sexes,15 - 19 Years,Extended economic only,  15
Kavrepalanchok,Both Sexes,15 - 19 Years,Seeking job only, 148
Kavrepalanchok,Both Sexes,15 - 19 Years,Non economic only, 35762
Kavrepalanchok,Both Sexes,15 - 19 Years,Activity not stated, 516
Kavrepalanchok,Both Sexes,20 - 24 Years,Economic only,  11316
Kavrepalanchok,Both Sexes,20 - 24 Years,Extended economic only, 122
Kavrepalanchok,Both Sexes,20 - 24 Years,Seeking job only, 232
Kavrepalanchok,Both Sexes,20 - 24 Years,Non economic only, 12067
Kavrepalanchok,Both Sexes,20 - 24 Years,Activity not stated, 446
Kavrepalanchok,Both Sexes,25 - 29 Years,Economic only,  13173
Kavrepalanchok,Both Sexes,25 - 29 Years,Extended economic only, 109
Kavrepalanchok,Both Sexes,25 - 29 Years,Seeking job only, 128
Kavrepalanchok,Both Sexes,25 - 29 Years,Non economic only,  3774
Kavrepalanchok,Both Sexes,25 - 29 Years,Activity not stated, 178
Kavrepalanchok,Both Sexes,30 - 34 Years,Economic only,  11946
Kavrepalanchok,Both Sexes,30 - 34 Years,Extended economic only, 127
Kavrepalanchok,Both Sexes,30 - 34 Years,Seeking job only,  97
Kavrepalanchok,Both Sexes,30 - 34 Years,Non economic only,  2323
Kavrepalanchok,Both Sexes,30 - 34 Years,Activity not stated, 114
Kavrepalanchok,Both Sexes,35 - 39 Years,Economic only,  11970
Kavrepalanchok,Both Sexes,35 - 39 Years,Extended economic only, 107
Kavrepalanchok,Both Sexes,35 - 39 Years,Seeking job only,  46
Kavrepalanchok,Both Sexes,35 - 39 Years,Non economic only,  1732
Kavrepalanchok,Both Sexes,35 - 39 Years,Activity not stated,  87
Kavrepalanchok,Both Sexes,40 - 44 Years,Economic only,  10524
Kavrepalanchok,Both Sexes,40 - 44 Years,Extended economic only,  74
Kavrepalanchok,Both Sexes,40 - 44 Years,Seeking job only,  37
Kavrepalanchok,Both Sexes,40 - 44 Years,Non economic only,  1637
Kavrepalanchok,Both Sexes,40 - 44 Years,Activity not stated,  72
Kavrepalanchok,Both Sexes,45 - 49 Years,Economic only,9065
Kavrepalanchok,Both Sexes,45 - 49 Years,Extended economic only, 108
Kavrepalanchok,Both Sexes,45 - 49 Years,Seeking job only,8
Kavrepalanchok,Both Sexes,45 - 49 Years,Non economic only,  1565
Kavrepalanchok,Both Sexes,45 - 49 Years,Activity not stated,  91
Kavrepalanchok,Both Sexes,50 - 54 Years,Economic only,7703
Kavrepalanchok,Both Sexes,50 - 54 Years,Extended economic only,  49
Kavrepalanchok,Both Sexes,50 - 54 Years,Seeking job only,5
Kavrepalanchok,Both Sexes,50 - 54 Years,Non economic only,  1866
Kavrepalanchok,Both Sexes,50 - 54 Years,Activity not stated,  93
Kavrepalanchok,Both Sexes,55 - 59 Years,Economic only,5150
Kavrepalanchok,Both Sexes,55 - 59 Years,Extended economic only,  28
Kavrepalanchok,Both Sexes,55 - 59 Years,Seeking job only,4
Kavrepalanchok,Both Sexes,55 - 59 Years,Non economic only,  1659
Kavrepalanchok,Both Sexes,55 - 59 Years,Activity not stated,  54
Kavrepalanchok,Both Sexes,60 - 64 Years,Economic only,4112
Kavrepalanchok,Both Sexes,60 - 64 Years,Extended economic only,  59
Kavrepalanchok,Both Sexes,60 - 64 Years,Seeking job only,  16
Kavrepalanchok,Both Sexes,60 - 64 Years,Non economic only,  2573
Kavrepalanchok,Both Sexes,60 - 64 Years,Activity not stated,  93
Kavrepalanchok,Both Sexes,65 - 69 Years,Economic only,2847
Kavrepalanchok,Both Sexes,65 - 69 Years,Extended economic only,  11
Kavrepalanchok,Both Sexes,65 - 69 Years,Seeking job only,1
Kavrepalanchok,Both Sexes,65 - 69 Years,Non economic only,  2933
Kavrepalanchok,Both Sexes,65 - 69 Years,Activity not stated,  22
Kavrepalanchok,Both Sexes,70 - 74 Years,Economic only,1720
Kavrepalanchok,Both Sexes,70 - 74 Years,Extended economic only,  10
Kavrepalanchok,Both Sexes,70 - 74 Years,Seeking job only,0
Kavrepalanchok,Both Sexes,70 - 74 Years,Non economic only,  3265
Kavrepalanchok,Both Sexes,70 - 74 Years,Activity not stated,  78
Kavrepalanchok,Both Sexes,75+ Years,Economic only, 1030
Kavrepalanchok,Both Sexes,75+ Years,Extended economic only,  10
Kavrepalanchok,Both Sexes,75+ Years,Seeking job only,  16
Kavrepalanchok,Both Sexes,75+ Years,Non economic only,  6534
Kavrepalanchok,Both Sexes,75+ Years,Activity not stated, 195
Kavrepalanchok,Male,10 - 14 Years,Economic only,  345
Kavrepalanchok,Male,10 - 14 Years,Extended economic only,0
Kavrepalanchok,Male,10 - 14 Years,Seeking job only,4
Kavrepalanchok,Male,10 - 14 Years,Non economic only, 23303
Kavrepalanchok,Male,10 - 14 Years,Activity not stated,  407
Kavrepalanchok,Male,15 - 19 Years,Economic only,2651
Kavrepalanchok,Male,15 - 19 Years,Extended economic only,  14
Kavrepalanchok,Male,15 - 19 Years,Seeking job only, 130
Kavrepalanchok,Male,15 - 19 Years,Non economic only, 16464
Kavrepalanchok,Male,15 - 19 Years,Activity not stated,  289
Kavrepalanchok,Male,20 - 24 Years,Economic only,6243
Kavrepalanchok,Male,20 - 24 Years,Extended economic only, 102
Kavrepalanchok,Male,20 - 24 Years,Seeking job only, 152
Kavrepalanchok,Male,20 - 24 Years,Non economic only,  4908
Kavrepalanchok,Male,20 - 24 Years,Activity not stated,  244
Kavrepalanchok,Male,25 - 29 Years,Economic only,7617
Kavrepalanchok,Male,25 - 29 Years,Extended economic only,  60
Kavrepalanchok,Male,25 - 29 Years,Seeking job only,  83
Kavrepalanchok,Male,25 - 29 Years,Non economic only,  1030
Kavrepalanchok,Male,25 - 29 Years,Activity not stated,76
Kavrepalanchok,Male,30 - 34 Years,Economic only,7151
Kavrepalanchok,Male,30 - 34 Years,Extended economic only,  89
Kavrepalanchok,Male,30 - 34 Years,Seeking job only,  62
Kavrepalanchok,Male,30 - 34 Years,Non economic only, 389
Kavrepalanchok,Male,30 - 34 Years,Activity not stated,55
Kavrepalanchok,Male,35 - 39 Years,Economic only,7225
Kavrepalanchok,Male,35 - 39 Years,Extended economic only,  87
Kavrepalanchok,Male,35 - 39 Years,Seeking job only,  32
Kavrepalanchok,Male,35 - 39 Years,Non economic only, 267
Kavrepalanchok,Male,35 - 39 Years,Activity not stated,27
Kavrepalanchok,Male,40 - 44 Years,Economic only,6925
Kavrepalanchok,Male,40 - 44 Years,Extended economic only,  54
Kavrepalanchok,Male,40 - 44 Years,Seeking job only,  33
Kavrepalanchok,Male,40 - 44 Years,Non economic only, 162
Kavrepalanchok,Male,40 - 44 Years,Activity not stated,26
Kavrepalanchok,Male,45 - 49 Years,Economic only,5958
Kavrepalanchok,Male,45 - 49 Years,Extended economic only,  81
Kavrepalanchok,Male,45 - 49 Years,Seeking job only,5
Kavrepalanchok,Male,45 - 49 Years,Non economic only, 249
Kavrepalanchok,Male,45 - 49 Years,Activity not stated,42
Kavrepalanchok,Male,50 - 54 Years,Economic only,5218
Kavrepalanchok,Male,50 - 54 Years,Extended economic only,  40
Kavrepalanchok,Male,50 - 54 Years,Seeking job only,5
Kavrepalanchok,Male,50 - 54 Years,Non economic only, 363
Kavrepalanchok,Male,50 - 54 Years,Activity not stated,40
Kavrepalanchok,Male,55 - 59 Years,Economic only,3549
Kavrepalanchok,Male,55 - 59 Years,Extended economic only,9
Kavrepalanchok,Male,55 - 59 Years,Seeking job only,2
Kavrepalanchok,Male,55 - 59 Years,Non economic only, 355
Kavrepalanchok,Male,55 - 59 Years,Activity not stated,35
Kavrepalanchok,Male,60 - 64 Years,Economic only,2697
Kavrepalanchok,Male,60 - 64 Years,Extended economic only,  41
Kavrepalanchok,Male,60 - 64 Years,Seeking job only,  16
Kavrepalanchok,Male,60 - 64 Years,Non economic only, 700
Kavrepalanchok,Male,60 - 64 Years,Activity not stated,39
Kavrepalanchok,Male,65 - 69 Years,Economic only,2030
Kavrepalanchok,Male,65 - 69 Years,Extended economic only,  10
Kavrepalanchok,Male,65 - 69 Years,Seeking job only,1
Kavrepalanchok,Male,65 - 69 Years,Non economic only, 862
