District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Value
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Population aged 5 years & above,,4224
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Same district,,3962
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Other district,Total,238
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Other district,Rural,111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Other district,Urban,111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Other district,Not stated,16
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Foreign country,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Place not stated,,17
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Population aged 5 years & above,,3270
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Same district,,3070
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Other district,Total,161
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Other district,Rural,75
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Other district,Urban,39
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Other district,Not stated,47
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Place not stated,,39
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Population aged 5 years & above,,2733
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Same district,,2604
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Other district,Total,107
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Other district,Rural,80
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Other district,Urban,7
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Other district,Not stated,20
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Place not stated,,22
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Population aged 5 years & above,,1984
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Same district,,1871
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Other district,Total,79
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Other district,Rural,44
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Other district,Urban,18
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Other district,Not stated,18
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Place not stated,,34
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Population aged 5 years & above,,2635
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Same district,,2454
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Other district,Total,133
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Other district,Rural,74
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Other district,Urban,22
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Other district,Not stated,37
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Foreign country,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Place not stated,,41
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Population aged 5 years & above,,11247
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Same district,,9496
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Other district,Total,1483
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Other district,Rural,907
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Other district,Urban,318
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Other district,Not stated,259
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Foreign country,,17
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Place not stated,,251
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Population aged 5 years & above,,14499
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Same district,,12502
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Other district,Total,1671
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Other district,Rural,997
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Other district,Urban,356
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Other district,Not stated,318
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Foreign country,,25
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Place not stated,,301
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Population aged 5 years & above,,15883
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Same district,,12765
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Other district,Total,2848
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Other district,Rural,1691
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Other district,Urban,695
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Other district,Not stated,462
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Foreign country,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Place not stated,,261
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Population aged 5 years & above,,18092
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Same district,,12273
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Other district,Total,5312
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Other district,Rural,3439
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Other district,Urban,899
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Other district,Not stated,973
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Foreign country,,89
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Place not stated,,418
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Population aged 5 years & above,,16208
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Same district,,12068
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Other district,Total,3892
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Other district,Rural,1948
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Other district,Urban,1116
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Other district,Not stated,828
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Foreign country,,32
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Place not stated,,216
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Population aged 5 years & above,,13919
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Same district,,11753
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Other district,Total,1955
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Other district,Rural,1044
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Other district,Urban,676
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Other district,Not stated,234
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Foreign country,,40
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Place not stated,,171
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Population aged 5 years & above,,11727
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Same district,,10415
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Other district,Total,1130
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Other district,Rural,526
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Other district,Urban,426
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Other district,Not stated,178
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Place not stated,,182
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Population aged 5 years & above,,9283
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Same district,,8438
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Other district,Total,748
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Other district,Rural,338
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Other district,Urban,300
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Other district,Not stated,110
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Place not stated,,97
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Population aged 5 years & above,,7111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Same district,,6505
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Other district,Total,533
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Other district,Rural,198
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Other district,Urban,243
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Other district,Not stated,91
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Foreign country,,9
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Place not stated,,64
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Population aged 5 years & above,,5497
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Same district,,5009
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Other district,Total,419
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Other district,Rural,252
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Other district,Urban,111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Other district,Not stated,55
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Foreign country,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Place not stated,,62
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Population aged 5 years & above,,4195
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Same district,,3927
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Other district,Total,207
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Other district,Rural,75
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Other district,Urban,96
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Other district,Not stated,37
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Place not stated,,61
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Population aged 5 years & above,,3704
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Same district,,3436
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Other district,Total,235
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Other district,Rural,179
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Other district,Urban,24
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Other district,Not stated,32
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Foreign country,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Place not stated,,24
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Population aged 5 years & above,,3042
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Same district,,2724
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Other district,Total,235
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Other district,Rural,177
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Other district,Urban,33
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Other district,Not stated,25
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Place not stated,,83
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Population aged 5 years & above,,2261
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Same district,,2006
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Other district,Total,185
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Other district,Rural,92
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Other district,Urban,62
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Other district,Not stated,31
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Place not stated,,70
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Population aged 5 years & above,,3170
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Same district,,2914
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Other district,Total,162
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Other district,Rural,124
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Other district,Urban,15
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Other district,Not stated,23
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Foreign country,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Place not stated,,94
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Population aged 5 years & above,,10908
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Same district,,10683
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Other district,Total,125
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Other district,Rural,108
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Other district,Urban,17
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Foreign country,,17
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,05 - 09 Years,Place not stated,,83
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Population aged 5 years & above,,11928
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Same district,,11759
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Other district,Total,105
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Other district,Rural,89
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Other district,Urban,16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Foreign country,,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,10 - 14 Years,Place not stated,,56
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Population aged 5 years & above,,10502
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Same district,,10347
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Other district,Total,106
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Other district,Rural,98
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Other district,Urban,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Foreign country,,16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,15 - 19 Years,Place not stated,,33
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Population aged 5 years & above,,5331
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Same district,,5202
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Other district,Total,89
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Other district,Rural,73
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Other district,Urban,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Other district,Not stated,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Foreign country,,16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,20 - 24 Years,Place not stated,,24
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Population aged 5 years & above,,4212
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Same district,,4051
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Other district,Total,123
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Other district,Rural,69
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Other district,Urban,38
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Other district,Not stated,15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Foreign country,,31
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,25 - 29 Years,Place not stated,,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Population aged 5 years & above,,3853
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Same district,,3709
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Other district,Total,83
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Other district,Rural,46
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Other district,Urban,15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Other district,Not stated,23
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Foreign country,,46
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,30 - 34 Years,Place not stated,,15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Population aged 5 years & above,,3929
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Same district,,3803
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Other district,Total,93
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Other district,Rural,50
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Other district,Urban,34
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Other district,Not stated,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Foreign country,,25
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,35 - 39 Years,Place not stated,,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Population aged 5 years & above,,4209
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Same district,,4158
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Other district,Total,43
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Other district,Rural,26
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Other district,Urban,17
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Foreign country,,9
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,40 - 44 Years,Place not stated,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Population aged 5 years & above,,4256
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Same district,,4193
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Other district,Total,39
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Other district,Rural,39
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Other district,Urban,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Foreign country,,24
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,45 - 49 Years,Place not stated,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Population aged 5 years & above,,4167
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Same district,,4097
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Other district,Total,62
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Other district,Rural,31
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Other district,Urban,23
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Other district,Not stated,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Foreign country,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,50 - 54 Years,Place not stated,,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Population aged 5 years & above,,3260
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Same district,,3236
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Other district,Total,16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Other district,Rural,16
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Other district,Urban,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Foreign country,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,55 - 59 Years,Place not stated,,8
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Population aged 5 years & above,,2873
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Same district,,2851
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Other district,Total,15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Other district,Rural,15
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Other district,Urban,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Foreign country,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,60 - 64 Years,Place not stated,,7
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Population aged 5 years & above,,2265
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Same district,,2265
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Other district,Total,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Other district,Rural,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Other district,Urban,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Other district,Not stated,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male,65 - 69 Years,Foreign country,,0
