District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age group,Gender,Population having disability of,Value
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Total Population,5480
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Population without disability,5344
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Physical,61
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Blindness/ low vision,18
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Deaf / hard to hearing,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Speech problem,21
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Mental disable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Intellectual disable,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Male,Multiple Misable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Total Population,4819
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Population without disability,4699
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Physical,58
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Blindness/ low vision,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Deaf / hard to hearing,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Deaf–blind,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Speech problem,17
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Mental disable,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Intellectual disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Male,Multiple Misable,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Total Population,4052
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Population without disability,3927
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Physical,65
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Blindness/ low vision,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Deaf / hard to hearing,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Deaf–blind,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Speech problem,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Mental disable,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Intellectual disable,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Male,Multiple Misable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Total Population,4177
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Population without disability,4016
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Physical,69
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Blindness/ low vision,22
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Deaf / hard to hearing,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Deaf–blind,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Speech problem,28
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Mental disable,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Intellectual disable,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Male,Multiple Misable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Total Population,4339
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Population without disability,4163
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Physical,83
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Blindness/ low vision,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Deaf / hard to hearing,18
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Deaf–blind,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Speech problem,24
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Mental disable,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Intellectual disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Male,Multiple Misable,14
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Total Population,4240
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Population without disability,4032
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Physical,104
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Blindness/ low vision,30
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Deaf / hard to hearing,25
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Deaf–blind,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Speech problem,18
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Mental disable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Intellectual disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Male,Multiple Misable,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Total Population,4253
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Population without disability,4032
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Physical,105
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Blindness/ low vision,34
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Deaf / hard to hearing,33
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Deaf–blind,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Speech problem,23
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Mental disable,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Intellectual disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Male,Multiple Misable,14
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Total Population,3598
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Population without disability,3376
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Physical,130
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Blindness/ low vision,25
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Deaf / hard to hearing,25
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Speech problem,22
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Mental disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Intellectual disable,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Male,Multiple Misable,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Total Population,3035
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Population without disability,2798
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Physical,111
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Blindness/ low vision,41
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Deaf / hard to hearing,49
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Deaf–blind,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Speech problem,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Mental disable,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Intellectual disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Male,Multiple Misable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Total Population,2650
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Population without disability,2425
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Physical,100
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Blindness/ low vision,44
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Deaf / hard to hearing,47
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Deaf–blind,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Speech problem,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Mental disable,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Intellectual disable,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Male,Multiple Misable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Total Population,1977
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Population without disability,1793
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Physical,64
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Blindness/ low vision,44
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Deaf / hard to hearing,40
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Deaf–blind,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Speech problem,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Mental disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Intellectual disable,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Male,Multiple Misable,19
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Total Population,2603
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Population without disability,2294
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Physical,91
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Blindness/ low vision,86
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Deaf / hard to hearing,79
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Deaf–blind,22
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Speech problem,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Mental disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Intellectual disable,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Male,Multiple Misable,14
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Total Population,7798
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Population without disability,7731
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Physical,17
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Blindness/ low vision,36
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Deaf / hard to hearing,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Deaf–blind,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Speech problem,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Mental disable,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Intellectual disable,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,00 - 04 Years,Female,Multiple Misable,6
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Total Population,10481
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Population without disability,10372
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Physical,47
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Blindness/ low vision,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Deaf / hard to hearing,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Speech problem,19
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Mental disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Intellectual disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,05 - 09 Years,Female,Multiple Misable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Total Population,13034
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Population without disability,12851
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Physical,59
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Blindness/ low vision,34
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Deaf / hard to hearing,16
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Deaf–blind,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Speech problem,32
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Mental disable,21
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Intellectual disable,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,10 - 14 Years,Female,Multiple Misable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Total Population,11846
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Population without disability,11661
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Physical,77
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Blindness/ low vision,22
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Deaf / hard to hearing,19
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Deaf–blind,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Speech problem,19
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Mental disable,26
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Intellectual disable,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,15 - 19 Years,Female,Multiple Misable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Total Population,8091
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Population without disability,7982
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Physical,47
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Blindness/ low vision,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Deaf / hard to hearing,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Speech problem,6
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Mental disable,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Intellectual disable,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,20 - 24 Years,Female,Multiple Misable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Total Population,6776
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Population without disability,6653
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Physical,42
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Blindness/ low vision,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Deaf / hard to hearing,20
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Speech problem,17
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Mental disable,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Intellectual disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,25 - 29 Years,Female,Multiple Misable,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Total Population,5773
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Population without disability,5670
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Physical,46
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Blindness/ low vision,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Deaf / hard to hearing,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Deaf–blind,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Speech problem,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Mental disable,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Intellectual disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,30 - 34 Years,Female,Multiple Misable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Total Population,5537
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Population without disability,5375
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Physical,64
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Blindness/ low vision,15
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Deaf / hard to hearing,27
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Speech problem,26
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Mental disable,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Intellectual disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,35 - 39 Years,Female,Multiple Misable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Total Population,5651
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Population without disability,5498
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Physical,57
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Blindness/ low vision,21
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Deaf / hard to hearing,21
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Speech problem,31
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Mental disable,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Intellectual disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,40 - 44 Years,Female,Multiple Misable,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Total Population,4990
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Population without disability,4822
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Physical,65
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Blindness/ low vision,22
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Deaf / hard to hearing,36
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Deaf–blind,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Speech problem,24
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Mental disable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Intellectual disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,45 - 49 Years,Female,Multiple Misable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Total Population,4523
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Population without disability,4328
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Physical,82
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Blindness/ low vision,30
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Deaf / hard to hearing,20
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Deaf–blind,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Speech problem,26
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Mental disable,14
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Intellectual disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,50 - 54 Years,Female,Multiple Misable,14
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Total Population,3660
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Population without disability,3523
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Physical,60
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Blindness/ low vision,24
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Deaf / hard to hearing,21
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Deaf–blind,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Speech problem,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Mental disable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Intellectual disable,2
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,55 - 59 Years,Female,Multiple Misable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Total Population,3386
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Population without disability,3193
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Physical,80
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Blindness/ low vision,47
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Deaf / hard to hearing,27
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Deaf–blind,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Speech problem,11
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Mental disable,10
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Intellectual disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,60 - 64 Years,Female,Multiple Misable,5
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Total Population,2684
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Population without disability,2502
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Physical,72
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Blindness/ low vision,44
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Deaf / hard to hearing,40
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Deaf–blind,7
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Speech problem,6
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Mental disable,4
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Intellectual disable,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,65 - 69 Years,Female,Multiple Misable,9
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Total Population,2231
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Population without disability,2027
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Physical,65
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Blindness/ low vision,68
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Deaf / hard to hearing,41
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Deaf–blind,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Speech problem,6
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Mental disable,3
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Intellectual disable,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,70 - 74 Years,Female,Multiple Misable,18
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,75+ Years,Female,Total Population,3093
