District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Sub-Indicator.1,Value
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in same district,,3222
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Rural,2481
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Urban,84
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Not stated,214
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Foreign born,,,147
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,55 - 59 Years,Birth Place not stated,,,17
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Total Population,,,5901
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,All native born,,5730
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in same district,,3129
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Rural,2360
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Urban,39
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Not stated,203
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Foreign born,,,155
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,60 - 64 Years,Birth Place not stated,,,16
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Total Population,,,4125
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,All native born,,3999
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in same district,,2103
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Rural,1719
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Urban,8
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Not stated,169
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Foreign born,,,92
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,65 - 69 Years,Birth Place not stated,,,34
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Total Population,,,2545
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,All native born,,2477
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in same district,,1140
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Rural,1171
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Urban,24
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Not stated,142
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Foreign born,,,59
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,70 - 74 Years,Birth Place not stated,,,9
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Total Population,,,2193
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Native born,All native born,,2125
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in same district,,979
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Rural,960
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Urban,27
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Not stated,158
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Foreign born,,,60
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Female,75+ Years,Birth Place not stated,,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Total Population,,,10604
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Native born,All native born,,10428
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in same district,,9128
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Rural,663
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Urban,326
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Not stated,311
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Foreign born,,,16
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,00 - 04 Years,Birth Place not stated,,,160
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Total Population,,,12446
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Native born,All native born,,12245
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in same district,,9492
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Rural,1664
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Urban,664
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Not stated,425
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Foreign born,,,81
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,05 - 09 Years,Birth Place not stated,,,120
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Total Population,,,15416
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Native born,All native born,,15115
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in same district,,11324
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Rural,2385
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Urban,894
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Not stated,513
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Foreign born,,,50
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,10 - 14 Years,Birth Place not stated,,,251
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Total Population,,,17500
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Native born,All native born,,17109
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in same district,,11860
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Rural,3581
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Urban,864
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Not stated,804
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Foreign born,,,164
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,15 - 19 Years,Birth Place not stated,,,228
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Total Population,,,16927
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Native born,All native born,,16628
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in same district,,10657
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Rural,4471
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Urban,572
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Not stated,928
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Foreign born,,,150
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,20 - 24 Years,Birth Place not stated,,,148
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Total Population,,,14248
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Native born,All native born,,13986
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in same district,,8950
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Rural,3913
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Urban,398
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Not stated,725
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Foreign born,,,166
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,25 - 29 Years,Birth Place not stated,,,96
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Total Population,,,12816
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Native born,All native born,,12637
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in same district,,8485
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Rural,3435
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Urban,338
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Not stated,379
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Foreign born,,,65
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,30 - 34 Years,Birth Place not stated,,,114
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Total Population,,,11666
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Native born,All native born,,11521
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in same district,,7754
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Rural,3096
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Urban,311
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Not stated,361
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Foreign born,,,64
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,35 - 39 Years,Birth Place not stated,,,81
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Total Population,,,10077
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Native born,All native born,,9945
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in same district,,6814
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Rural,2514
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Urban,284
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Not stated,332
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Foreign born,,,59
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,40 - 44 Years,Birth Place not stated,,,73
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Total Population,,,7509
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Native born,All native born,,7438
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in same district,,5328
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Rural,1764
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Urban,169
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Not stated,176
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Foreign born,,,48
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,45 - 49 Years,Birth Place not stated,,,23
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Total Population,,,5640
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Native born,All native born,,5583
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in same district,,4035
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Rural,1280
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Urban,138
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Not stated,130
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Foreign born,,,25
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,50 - 54 Years,Birth Place not stated,,,31
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Total Population,,,4224
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Native born,All native born,,4153
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in same district,,3333
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Rural,621
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Urban,120
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Not stated,80
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Foreign born,,,16
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,55 - 59 Years,Birth Place not stated,,,55
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Total Population,,,3270
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Native born,All native born,,3217
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in same district,,2553
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Rural,477
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Urban,58
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Not stated,129
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Foreign born,,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,60 - 64 Years,Birth Place not stated,,,53
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Total Population,,,2733
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Native born,All native born,,2709
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in same district,,2296
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Rural,324
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Urban,67
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Not stated,22
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Foreign born,,,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,65 - 69 Years,Birth Place not stated,,,24
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Total Population,,,1984
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Native born,All native born,,1949
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in same district,,1713
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Rural,175
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Urban,35
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Not stated,26
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Foreign born,,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,70 - 74 Years,Birth Place not stated,,,26
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Total Population,,,2635
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Native born,All native born,,2620
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Native born,Born in same district,,2293
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Rural,206
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Urban,30
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Not stated,91
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Foreign born,,,7
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Male,75+ Years,Birth Place not stated,,,8
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Total Population,,,9171
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Native born,All native born,,9013
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in same district,,8052
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Rural,461
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Urban,287
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Not stated,213
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Foreign born,,,16
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Birth Place not stated,,,143
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Total Population,,,11247
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Native born,All native born,,11148
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in same district,,8854
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Rural,1409
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Urban,511
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Not stated,374
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Foreign born,,,17
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Birth Place not stated,,,82
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Total Population,,,14499
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Native born,All native born,,14247
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in same district,,10686
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Rural,2257
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Urban,689
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Not stated,614
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Foreign born,,,59
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Birth Place not stated,,,193
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Total Population,,,15883
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Native born,All native born,,15689
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in same district,,11063
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Rural,3222
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Urban,768
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Not stated,636
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Foreign born,,,59
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Birth Place not stated,,,135
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Total Population,,,18092
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Native born,All native born,,17863
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in same district,,10228
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Rural,5558
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Urban,887
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Not stated,1189
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Foreign born,,,81
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Birth Place not stated,,,148
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Total Population,,,16208
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Native born,All native born,,16023
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in same district,,7924
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Rural,5623
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Urban,1111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Not stated,1365
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Foreign born,,,89
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Birth Place not stated,,,96
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Total Population,,,13919
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Native born,All native born,,13673
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in same district,,6842
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Rural,5012
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Urban,867
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Not stated,952
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Foreign born,,,152
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Birth Place not stated,,,94
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Total Population,,,11727
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Native born,All native born,,11514
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in same district,,6125
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Rural,3686
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Urban,821
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Not stated,882
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Foreign born,,,132
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Birth Place not stated,,,82
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Total Population,,,9283
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Native born,All native born,,9209
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in same district,,5118
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Rural,2758
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Urban,719
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Not stated,614
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Foreign born,,,33
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Birth Place not stated,,,41
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Total Population,,,7111
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Native born,All native born,,7028
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in same district,,4024
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Rural,2155
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Urban,393
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Not stated,456
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Foreign born,,,59
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Birth Place not stated,,,24
