District,Age-Group,Economic Activity Performed,Active/Not Active,Employed/Unemployed,Gender,Value
 Khotang,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Female,17
 Khotang,  55 - 59 Years,Economically Active,Not Usually Active,,Male,113
 Khotang,  55 - 59 Years,Economically Active,Not Usually Active,,Female,389
 Khotang,  55 - 59 Years,Not Economically Active,,,Male,153
 Khotang,  55 - 59 Years,Not Economically Active,,,Female,464
 Khotang,  55 - 59 Years,Economic Activity Not Stated,,,Male,48
 Khotang,  55 - 59 Years,Economic Activity Not Stated,,,Female,17
 Khotang,  60 - 64 Years,Total Population 10 Yrs. and above,,,,6589
 Khotang,  60 - 64 Years,Economically Active,Usually Active,Employed,Male,2871
 Khotang,  60 - 64 Years,Economically Active,Usually Active,Employed,Female,2038
 Khotang,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Male,16
 Khotang,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Female,8
 Khotang,  60 - 64 Years,Economically Active,Not Usually Active,,Male,140
 Khotang,  60 - 64 Years,Economically Active,Not Usually Active,,Female,378
 Khotang,  60 - 64 Years,Not Economically Active,,,Male,179
 Khotang,  60 - 64 Years,Not Economically Active,,,Female,936
 Khotang,  60 - 64 Years,Economic Activity Not Stated,,,Male,8
 Khotang,  60 - 64 Years,Economic Activity Not Stated,,,Female,16
 Khotang,  65 - 69 Years,Total Population 10 Yrs. and above,,,,4996
 Khotang,  65 - 69 Years,Economically Active,Usually Active,Employed,Male,2065
 Khotang,  65 - 69 Years,Economically Active,Usually Active,Employed,Female,1272
 Khotang,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Male,24
 Khotang,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Female,8
 Khotang,  65 - 69 Years,Economically Active,Not Usually Active,,Male,127
 Khotang,  65 - 69 Years,Economically Active,Not Usually Active,,Female,363
 Khotang,  65 - 69 Years,Not Economically Active,,,Male,270
 Khotang,  65 - 69 Years,Not Economically Active,,,Female,851
 Khotang,  65 - 69 Years,Economic Activity Not Stated,,,Male,8
 Khotang,  65 - 69 Years,Economic Activity Not Stated,,,Female,8
 Khotang,  70 - 74 Years,Total Population 10 Yrs. and above,,,,3894
 Khotang,  70 - 74 Years,Economically Active,Usually Active,Employed,Male,1478
 Khotang,  70 - 74 Years,Economically Active,Usually Active,Employed,Female,690
 Khotang,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Male,8
 Khotang,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Female,8
 Khotang,  70 - 74 Years,Economically Active,Not Usually Active,,Male,172
 Khotang,  70 - 74 Years,Economically Active,Not Usually Active,,Female,209
 Khotang,  70 - 74 Years,Not Economically Active,,,Male,443
 Khotang,  70 - 74 Years,Not Economically Active,,,Female,884
 Khotang,  70 - 74 Years,Economic Activity Not Stated,,,Male,0
 Khotang,  70 - 74 Years,Economic Activity Not Stated,,,Female,0
 Khotang,  75+ Years,Total Population 10 Yrs. and above,,,,5118
 Khotang,  75+ Years,Economically Active,Usually Active,Employed,Male,1104
 Khotang,  75+ Years,Economically Active,Usually Active,Employed,Female,610
 Khotang,  75+ Years,Economically Active,Usually Active,Unemployed,Male,9
 Khotang,  75+ Years,Economically Active,Usually Active,Unemployed,Female,0
 Khotang,  75+ Years,Economically Active,Not Usually Active,,Male,197
 Khotang,  75+ Years,Economically Active,Not Usually Active,,Female,215
 Khotang,  75+ Years,Not Economically Active,,,Male,1275
 Khotang,  75+ Years,Not Economically Active,,,Female,1675
 Khotang,  75+ Years,Economic Activity Not Stated,,,Male,9
 Khotang,  75+ Years,Economic Activity Not Stated,,,Female,26
 Udayapur,  10 - 14 Years,Total Population 10 Yrs. and above,,,,45818
 Udayapur,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,554
 Udayapur,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,408
 Udayapur,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,16
 Udayapur,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,16
 Udayapur,  10 - 14 Years,Economically Active,Not Usually Active,,Male,497
 Udayapur,  10 - 14 Years,Economically Active,Not Usually Active,,Female,452
 Udayapur,  10 - 14 Years,Not Economically Active,,,Male,22124
 Udayapur,  10 - 14 Years,Not Economically Active,,,Female,21668
 Udayapur,  10 - 14 Years,Economic Activity Not Stated,,,Male,49
 Udayapur,  10 - 14 Years,Economic Activity Not Stated,,,Female,33
 Udayapur,  15 - 19 Years,Total Population 10 Yrs. and above,,,,37803
 Udayapur,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,3208
 Udayapur,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,3453
 Udayapur,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,212
 Udayapur,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,48
 Udayapur,  15 - 19 Years,Economically Active,Not Usually Active,,Male,806
 Udayapur,  15 - 19 Years,Economically Active,Not Usually Active,,Female,961
 Udayapur,  15 - 19 Years,Not Economically Active,,,Male,13233
 Udayapur,  15 - 19 Years,Not Economically Active,,,Female,15798
 Udayapur,  15 - 19 Years,Economic Activity Not Stated,,,Male,42
 Udayapur,  15 - 19 Years,Economic Activity Not Stated,,,Female,41
 Udayapur,  20 - 24 Years,Total Population 10 Yrs. and above,,,,25704
 Udayapur,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,6382
 Udayapur,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,8130
 Udayapur,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,213
 Udayapur,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Female,88
 Udayapur,  20 - 24 Years,Economically Active,Not Usually Active,,Male,203
 Udayapur,  20 - 24 Years,Economically Active,Not Usually Active,,Female,1496
 Udayapur,  20 - 24 Years,Not Economically Active,,,Male,2978
 Udayapur,  20 - 24 Years,Not Economically Active,,,Female,6114
 Udayapur,  20 - 24 Years,Economic Activity Not Stated,,,Male,34
 Udayapur,  20 - 24 Years,Economic Activity Not Stated,,,Female,65
 Udayapur,  25 - 29 Years,Total Population 10 Yrs. and above,,,,21475
 Udayapur,  25 - 29 Years,Economically Active,Usually Active,Employed,Male,7065
 Udayapur,  25 - 29 Years,Economically Active,Usually Active,Employed,Female,8928
 Udayapur,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Male,200
 Udayapur,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Female,48
 Udayapur,  25 - 29 Years,Economically Active,Not Usually Active,,Male,83
 Udayapur,  25 - 29 Years,Economically Active,Not Usually Active,,Female,1416
 Udayapur,  25 - 29 Years,Not Economically Active,,,Male,677
 Udayapur,  25 - 29 Years,Not Economically Active,,,Female,3001
 Udayapur,  25 - 29 Years,Economic Activity Not Stated,,,Male,25
 Udayapur,  25 - 29 Years,Economic Activity Not Stated,,,Female,32
 Udayapur,  30 - 34 Years,Total Population 10 Yrs. and above,,,,17543
 Udayapur,  30 - 34 Years,Economically Active,Usually Active,Employed,Male,6771
 Udayapur,  30 - 34 Years,Economically Active,Usually Active,Employed,Female,7726
 Udayapur,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Male,112
 Udayapur,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Female,40
 Udayapur,  30 - 34 Years,Economically Active,Not Usually Active,,Male,49
 Udayapur,  30 - 34 Years,Economically Active,Not Usually Active,,Female,863
 Udayapur,  30 - 34 Years,Not Economically Active,,,Male,210
 Udayapur,  30 - 34 Years,Not Economically Active,,,Female,1748
 Udayapur,  30 - 34 Years,Economic Activity Not Stated,,,Male,16
 Udayapur,  30 - 34 Years,Economic Activity Not Stated,,,Female,8
 Udayapur,  35 - 39 Years,Total Population 10 Yrs. and above,,,,17531
 Udayapur,  35 - 39 Years,Economically Active,Usually Active,Employed,Male,7357
 Udayapur,  35 - 39 Years,Economically Active,Usually Active,Employed,Female,7535
 Udayapur,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Male,48
 Udayapur,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Female,8
 Udayapur,  35 - 39 Years,Economically Active,Not Usually Active,,Male,48
 Udayapur,  35 - 39 Years,Economically Active,Not Usually Active,,Female,1009
 Udayapur,  35 - 39 Years,Not Economically Active,,,Male,159
 Udayapur,  35 - 39 Years,Not Economically Active,,,Female,1328
 Udayapur,  35 - 39 Years,Economic Activity Not Stated,,,Male,15
 Udayapur,  35 - 39 Years,Economic Activity Not Stated,,,Female,24
 Udayapur,  40 - 44 Years,Total Population 10 Yrs. and above,,,,16493
 Udayapur,  40 - 44 Years,Economically Active,Usually Active,Employed,Male,7310
 Udayapur,  40 - 44 Years,Economically Active,Usually Active,Employed,Female,6888
 Udayapur,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Male,24
 Udayapur,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Female,25
 Udayapur,  40 - 44 Years,Economically Active,Not Usually Active,,Male,102
 Udayapur,  40 - 44 Years,Economically Active,Not Usually Active,,Female,728
 Udayapur,  40 - 44 Years,Not Economically Active,,,Male,159
 Udayapur,  40 - 44 Years,Not Economically Active,,,Female,1250
 Udayapur,  40 - 44 Years,Economic Activity Not Stated,,,Male,8
 Udayapur,  40 - 44 Years,Economic Activity Not Stated,,,Female,0
 Udayapur,  45 - 49 Years,Total Population 10 Yrs. and above,,,,13794
 Udayapur,  45 - 49 Years,Economically Active,Usually Active,Employed,Male,6327
 Udayapur,  45 - 49 Years,Economically Active,Usually Active,Employed,Female,5370
 Udayapur,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Male,58
 Udayapur,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Female,26
 Udayapur,  45 - 49 Years,Economically Active,Not Usually Active,,Male,109
 Udayapur,  45 - 49 Years,Economically Active,Not Usually Active,,Female,533
 Udayapur,  45 - 49 Years,Not Economically Active,,,Male,168
 Udayapur,  45 - 49 Years,Not Economically Active,,,Female,1194
 Udayapur,  45 - 49 Years,Economic Activity Not Stated,,,Male,0
 Udayapur,  45 - 49 Years,Economic Activity Not Stated,,,Female,9
 Udayapur,  50 - 54 Years,Total Population 10 Yrs. and above,,,,12180
 Udayapur,  50 - 54 Years,Economically Active,Usually Active,Employed,Male,5818
 Udayapur,  50 - 54 Years,Economically Active,Usually Active,Employed,Female,4469
 Udayapur,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Male,9
 Udayapur,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Female,8
 Udayapur,  50 - 54 Years,Economically Active,Not Usually Active,,Male,42
 Udayapur,  50 - 54 Years,Economically Active,Not Usually Active,,Female,679
 Udayapur,  50 - 54 Years,Not Economically Active,,,Male,194
 Udayapur,  50 - 54 Years,Not Economically Active,,,Female,945
 Udayapur,  50 - 54 Years,Economic Activity Not Stated,,,Male,8
 Udayapur,  50 - 54 Years,Economic Activity Not Stated,,,Female,8
 Udayapur,  55 - 59 Years,Total Population 10 Yrs. and above,,,,9613
 Udayapur,  55 - 59 Years,Economically Active,Usually Active,Employed,Male,4565
 Udayapur,  55 - 59 Years,Economically Active,Usually Active,Employed,Female,3156
 Udayapur,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Male,8
 Udayapur,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Female,24
 Udayapur,  55 - 59 Years,Economically Active,Not Usually Active,,Male,87
 Udayapur,  55 - 59 Years,Economically Active,Not Usually Active,,Female,530
 Udayapur,  55 - 59 Years,Not Economically Active,,,Male,174
 Udayapur,  55 - 59 Years,Not Economically Active,,,Female,1053
 Udayapur,  55 - 59 Years,Economic Activity Not Stated,,,Male,0
 Udayapur,  55 - 59 Years,Economic Activity Not Stated,,,Female,15
 Udayapur,  60 - 64 Years,Total Population 10 Yrs. and above,,,,8847
 Udayapur,  60 - 64 Years,Economically Active,Usually Active,Employed,Male,3728
 Udayapur,  60 - 64 Years,Economically Active,Usually Active,Employed,Female,2563
 Udayapur,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Male,0
 Udayapur,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Female,8
 Udayapur,  60 - 64 Years,Economically Active,Not Usually Active,,Male,111
 Udayapur,  60 - 64 Years,Economically Active,Not Usually Active,,Female,469
 Udayapur,  60 - 64 Years,Not Economically Active,,,Male,476
 Udayapur,  60 - 64 Years,Not Economically Active,,,Female,1493
 Udayapur,  60 - 64 Years,Economic Activity Not Stated,,,Male,0
 Udayapur,  60 - 64 Years,Economic Activity Not Stated,,,Female,0
 Udayapur,  65 - 69 Years,Total Population 10 Yrs. and above,,,,6252
 Udayapur,  65 - 69 Years,Economically Active,Usually Active,Employed,Male,2566
 Udayapur,  65 - 69 Years,Economically Active,Usually Active,Employed,Female,1462
 Udayapur,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Male,8
 Udayapur,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Female,16
 Udayapur,  65 - 69 Years,Economically Active,Not Usually Active,,Male,184
 Udayapur,  65 - 69 Years,Economically Active,Not Usually Active,,Female,330
 Udayapur,  65 - 69 Years,Not Economically Active,,,Male,376
 Udayapur,  65 - 69 Years,Not Economically Active,,,Female,1296
 Udayapur,  65 - 69 Years,Economic Activity Not Stated,,,Male,0
 Udayapur,  65 - 69 Years,Economic Activity Not Stated,,,Female,16
 Udayapur,  70 - 74 Years,Total Population 10 Yrs. and above,,,,4336
 Udayapur,  70 - 74 Years,Economically Active,Usually Active,Employed,Male,1249
 Udayapur,  70 - 74 Years,Economically Active,Usually Active,Employed,Female,709
 Udayapur,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Male,0
 Udayapur,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Female,0
 Udayapur,  70 - 74 Years,Economically Active,Not Usually Active,,Male,88
 Udayapur,  70 - 74 Years,Economically Active,Not Usually Active,,Female,159
 Udayapur,  70 - 74 Years,Not Economically Active,,,Male,849
 Udayapur,  70 - 74 Years,Not Economically Active,,,Female,1281
 Udayapur,  70 - 74 Years,Economic Activity Not Stated,,,Male,0
 Udayapur,  70 - 74 Years,Economic Activity Not Stated,,,Female,0
 Udayapur,  75+ Years,Total Population 10 Yrs. and above,,,,5664
 Udayapur,  75+ Years,Economically Active,Usually Active,Employed,Male,704
 Udayapur,  75+ Years,Economically Active,Usually Active,Employed,Female,266
 Udayapur,  75+ Years,Economically Active,Usually Active,Unemployed,Male,8
 Udayapur,  75+ Years,Economically Active,Usually Active,Unemployed,Female,0
 Udayapur,  75+ Years,Economically Active,Not Usually Active,,Male,131
 Udayapur,  75+ Years,Economically Active,Not Usually Active,,Female,99
 Udayapur,  75+ Years,Not Economically Active,,,Male,1847
 Udayapur,  75+ Years,Not Economically Active,,,Female,2586
 Udayapur,  75+ Years,Economic Activity Not Stated,,,Male,8
 Udayapur,  75+ Years,Economic Activity Not Stated,,,Female,16
 Saptari,  10 - 14 Years,Total Population 10 Yrs. and above,,,,83174
 Saptari,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,2019
 Saptari,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,2508
 Saptari,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,129
 Saptari,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,91
 Saptari,  10 - 14 Years,Economically Active,Not Usually Active,,Male,1158
 Saptari,  10 - 14 Years,Economically Active,Not Usually Active,,Female,1436
 Saptari,  10 - 14 Years,Not Economically Active,,,Male,37343
 Saptari,  10 - 14 Years,Not Economically Active,,,Female,36051
 Saptari,  10 - 14 Years,Economic Activity Not Stated,,,Male,1015
 Saptari,  10 - 14 Years,Economic Activity Not Stated,,,Female,1425
 Saptari,  15 - 19 Years,Total Population 10 Yrs. and above,,,,61707
 Saptari,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,6825
 Saptari,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,5974
 Saptari,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,572
 Saptari,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,235
 Saptari,  15 - 19 Years,Economically Active,Not Usually Active,,Male,1228
 Saptari,  15 - 19 Years,Economically Active,Not Usually Active,,Female,1781
 Saptari,  15 - 19 Years,Not Economically Active,,,Male,21588
 Saptari,  15 - 19 Years,Not Economically Active,,,Female,22194
 Saptari,  15 - 19 Years,Economic Activity Not Stated,,,Male,658
 Saptari,  15 - 19 Years,Economic Activity Not Stated,,,Female,651
 Saptari,  20 - 24 Years,Total Population 10 Yrs. and above,,,,48263
 Saptari,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,11144
 Saptari,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,9730
 Saptari,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,796
 Saptari,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Female,250
 Saptari,  20 - 24 Years,Economically Active,Not Usually Active,,Male,562
 Saptari,  20 - 24 Years,Economically Active,Not Usually Active,,Female,2517
 Saptari,  20 - 24 Years,Not Economically Active,,,Male,8420
 Saptari,  20 - 24 Years,Not Economically Active,,,Female,13939
 Saptari,  20 - 24 Years,Economic Activity Not Stated,,,Male,358
 Saptari,  20 - 24 Years,Economic Activity Not Stated,,,Female,547
 Saptari,  25 - 29 Years,Total Population 10 Yrs. and above,,,,48331
 Saptari,  25 - 29 Years,Economically Active,Usually Active,Employed,Male,16500
 Saptari,  25 - 29 Years,Economically Active,Usually Active,Employed,Female,12432
 Saptari,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Male,771
 Saptari,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Female,336
 Saptari,  25 - 29 Years,Economically Active,Not Usually Active,,Male,485
 Saptari,  25 - 29 Years,Economically Active,Not Usually Active,,Female,2496
 Saptari,  25 - 29 Years,Not Economically Active,,,Male,3238
 Saptari,  25 - 29 Years,Not Economically Active,,,Female,11163
 Saptari,  25 - 29 Years,Economic Activity Not Stated,,,Male,400
 Saptari,  25 - 29 Years,Economic Activity Not Stated,,,Female,509
 Saptari,  30 - 34 Years,Total Population 10 Yrs. and above,,,,42218
 Saptari,  30 - 34 Years,Economically Active,Usually Active,Employed,Male,15666
 Saptari,  30 - 34 Years,Economically Active,Usually Active,Employed,Female,12747
 Saptari,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Male,439
 Saptari,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Female,84
 Saptari,  30 - 34 Years,Economically Active,Not Usually Active,,Male,250
 Saptari,  30 - 34 Years,Economically Active,Not Usually Active,,Female,2276
 Saptari,  30 - 34 Years,Not Economically Active,,,Male,1436
 Saptari,  30 - 34 Years,Not Economically Active,,,Female,8718
 Saptari,  30 - 34 Years,Economic Activity Not Stated,,,Male,329
 Saptari,  30 - 34 Years,Economic Activity Not Stated,,,Female,272
 Saptari,  35 - 39 Years,Total Population 10 Yrs. and above,,,,41875
 Saptari,  35 - 39 Years,Economically Active,Usually Active,Employed,Male,18381
 Saptari,  35 - 39 Years,Economically Active,Usually Active,Employed,Female,11809
 Saptari,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Male,353
 Saptari,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Female,209
 Saptari,  35 - 39 Years,Economically Active,Not Usually Active,,Male,161
 Saptari,  35 - 39 Years,Economically Active,Not Usually Active,,Female,1948
 Saptari,  35 - 39 Years,Not Economically Active,,,Male,943
 Saptari,  35 - 39 Years,Not Economically Active,,,Female,7641
 Saptari,  35 - 39 Years,Economic Activity Not Stated,,,Male,175
 Saptari,  35 - 39 Years,Economic Activity Not Stated,,,Female,254
 Saptari,  40 - 44 Years,Total Population 10 Yrs. and above,,,,34139
 Saptari,  40 - 44 Years,Economically Active,Usually Active,Employed,Male,15477
 Saptari,  40 - 44 Years,Economically Active,Usually Active,Employed,Female,9894
 Saptari,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Male,301
 Saptari,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Female,278
 Saptari,  40 - 44 Years,Economically Active,Not Usually Active,,Male,191
 Saptari,  40 - 44 Years,Economically Active,Not Usually Active,,Female,1552
 Saptari,  40 - 44 Years,Not Economically Active,,,Male,555
 Saptari,  40 - 44 Years,Not Economically Active,,,Female,5537
 Saptari,  40 - 44 Years,Economic Activity Not Stated,,,Male,138
 Saptari,  40 - 44 Years,Economic Activity Not Stated,,,Female,216
 Saptari,  45 - 49 Years,Total Population 10 Yrs. and above,,,,30344
 Saptari,  45 - 49 Years,Economically Active,Usually Active,Employed,Male,14228
 Saptari,  45 - 49 Years,Economically Active,Usually Active,Employed,Female,8490
 Saptari,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Male,292
 Saptari,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Female,137
 Saptari,  45 - 49 Years,Economically Active,Not Usually Active,,Male,188
 Saptari,  45 - 49 Years,Economically Active,Not Usually Active,,Female,1462
 Saptari,  45 - 49 Years,Not Economically Active,,,Male,555
 Saptari,  45 - 49 Years,Not Economically Active,,,Female,4556
 Saptari,  45 - 49 Years,Economic Activity Not Stated,,,Male,194
 Saptari,  45 - 49 Years,Economic Activity Not Stated,,,Female,242
 Saptari,  50 - 54 Years,Total Population 10 Yrs. and above,,,,24404
 Saptari,  50 - 54 Years,Economically Active,Usually Active,Employed,Male,11341
 Saptari,  50 - 54 Years,Economically Active,Usually Active,Employed,Female,6687
 Saptari,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Male,185
 Saptari,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Female,77
 Saptari,  50 - 54 Years,Economically Active,Not Usually Active,,Male,226
 Saptari,  50 - 54 Years,Economically Active,Not Usually Active,,Female,939
 Saptari,  50 - 54 Years,Not Economically Active,,,Male,538
 Saptari,  50 - 54 Years,Not Economically Active,,,Female,4114
 Saptari,  50 - 54 Years,Economic Activity Not Stated,,,Male,162
 Saptari,  50 - 54 Years,Economic Activity Not Stated,,,Female,136
 Saptari,  55 - 59 Years,Total Population 10 Yrs. and above,,,,22659
 Saptari,  55 - 59 Years,Economically Active,Usually Active,Employed,Male,10504
 Saptari,  55 - 59 Years,Economically Active,Usually Active,Employed,Female,5621
 Saptari,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Male,92
 Saptari,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Female,44
 Saptari,  55 - 59 Years,Economically Active,Not Usually Active,,Male,160
 Saptari,  55 - 59 Years,Economically Active,Not Usually Active,,Female,940
 Saptari,  55 - 59 Years,Not Economically Active,,,Male,1051
 Saptari,  55 - 59 Years,Not Economically Active,,,Female,4023
 Saptari,  55 - 59 Years,Economic Activity Not Stated,,,Male,110
 Saptari,  55 - 59 Years,Economic Activity Not Stated,,,Female,115
 Saptari,  60 - 64 Years,Total Population 10 Yrs. and above,,,,20115
 Saptari,  60 - 64 Years,Economically Active,Usually Active,Employed,Male,7815
 Saptari,  60 - 64 Years,Economically Active,Usually Active,Employed,Female,3934
 Saptari,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Male,75
 Saptari,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Female,51
 Saptari,  60 - 64 Years,Economically Active,Not Usually Active,,Male,349
 Saptari,  60 - 64 Years,Economically Active,Not Usually Active,,Female,707
 Saptari,  60 - 64 Years,Not Economically Active,,,Male,1697
 Saptari,  60 - 64 Years,Not Economically Active,,,Female,5192
 Saptari,  60 - 64 Years,Economic Activity Not Stated,,,Male,120
 Saptari,  60 - 64 Years,Economic Activity Not Stated,,,Female,175
 Saptari,  65 - 69 Years,Total Population 10 Yrs. and above,,,,13990
 Saptari,  65 - 69 Years,Economically Active,Usually Active,Employed,Male,5049
 Saptari,  65 - 69 Years,Economically Active,Usually Active,Employed,Female,2078
 Saptari,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Male,46
 Saptari,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Female,40
 Saptari,  65 - 69 Years,Economically Active,Not Usually Active,,Male,243
 Saptari,  65 - 69 Years,Economically Active,Not Usually Active,,Female,500
 Saptari,  65 - 69 Years,Not Economically Active,,,Male,1820
 Saptari,  65 - 69 Years,Not Economically Active,,,Female,4040
 Saptari,  65 - 69 Years,Economic Activity Not Stated,,,Male,74
 Saptari,  65 - 69 Years,Economic Activity Not Stated,,,Female,100
 Saptari,  70 - 74 Years,Total Population 10 Yrs. and above,,,,9444
 Saptari,  70 - 74 Years,Economically Active,Usually Active,Employed,Male,2498
 Saptari,  70 - 74 Years,Economically Active,Usually Active,Employed,Female,896
 Saptari,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Male,17
 Saptari,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Female,0
 Saptari,  70 - 74 Years,Economically Active,Not Usually Active,,Male,148
 Saptari,  70 - 74 Years,Economically Active,Not Usually Active,,Female,214
 Saptari,  70 - 74 Years,Not Economically Active,,,Male,2162
 Saptari,  70 - 74 Years,Not Economically Active,,,Female,3314
 Saptari,  70 - 74 Years,Economic Activity Not Stated,,,Male,89
 Saptari,  70 - 74 Years,Economic Activity Not Stated,,,Female,106
 Saptari,  75+ Years,Total Population 10 Yrs. and above,,,,7890
 Saptari,  75+ Years,Economically Active,Usually Active,Employed,Male,1400
 Saptari,  75+ Years,Economically Active,Usually Active,Employed,Female,448
 Saptari,  75+ Years,Economically Active,Usually Active,Unemployed,Male,1
 Saptari,  75+ Years,Economically Active,Usually Active,Unemployed,Female,10
 Saptari,  75+ Years,Economically Active,Not Usually Active,,Male,125
 Saptari,  75+ Years,Economically Active,Not Usually Active,,Female,120
 Saptari,  75+ Years,Not Economically Active,,,Male,2481
 Saptari,  75+ Years,Not Economically Active,,,Female,3162
 Saptari,  75+ Years,Economic Activity Not Stated,,,Male,67
 Saptari,  75+ Years,Economic Activity Not Stated,,,Female,75
 Siraha,  10 - 14 Years,Total Population 10 Yrs. and above,,,,87357
 Siraha,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,2655
 Siraha,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,2546
 Siraha,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,219
 Siraha,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,122
 Siraha,  10 - 14 Years,Economically Active,Not Usually Active,,Male,370
 Siraha,  10 - 14 Years,Economically Active,Not Usually Active,,Female,430
 Siraha,  10 - 14 Years,Not Economically Active,,,Male,40400
 Siraha,  10 - 14 Years,Not Economically Active,,,Female,38377
 Siraha,  10 - 14 Years,Economic Activity Not Stated,,,Male,1073
 Siraha,  10 - 14 Years,Economic Activity Not Stated,,,Female,1165
 Siraha,  15 - 19 Years,Total Population 10 Yrs. and above,,,,59966
 Siraha,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,6859
 Siraha,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,4503
 Siraha,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,584
 Siraha,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,105
 Siraha,  15 - 19 Years,Economically Active,Not Usually Active,,Male,558
 Siraha,  15 - 19 Years,Economically Active,Not Usually Active,,Female,887
 Siraha,  15 - 19 Years,Not Economically Active,,,Male,22514
 Siraha,  15 - 19 Years,Not Economically Active,,,Female,22979
 Siraha,  15 - 19 Years,Economic Activity Not Stated,,,Male,468
 Siraha,  15 - 19 Years,Economic Activity Not Stated,,,Female,510
 Siraha,  20 - 24 Years,Total Population 10 Yrs. and above,,,,47869
 Siraha,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,11248
 Siraha,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,7914
 Siraha,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,675
