District,Gender,Age-Group,Type of activity performed 1,Month,Value
Okhaldhunga,Female,50 - 54 Years,Extended economic,< 3 months, 213
Okhaldhunga,Female,50 - 54 Years,Extended economic,3 - 5 months,  103
Okhaldhunga,Female,50 - 54 Years,Extended economic,6 - 7 months, 16
Okhaldhunga,Female,50 - 54 Years,Extended economic,8+ months,8
Okhaldhunga,Female,50 - 54 Years,Seeking economic job,< 3 months,  16
Okhaldhunga,Female,50 - 54 Years,Seeking economic job,3-5 months,  40
Okhaldhunga,Female,50 - 54 Years,Seeking economic job,6-7 months, 0
Okhaldhunga,Female,50 - 54 Years,Seeking economic job,8+ months,  0
Okhaldhunga,Female,50 - 54 Years,Non-economic work,< 3 months,379
Okhaldhunga,Female,50 - 54 Years,Non-economic work,3 - 5 months, 806
Okhaldhunga,Female,50 - 54 Years,Non-economic work,6 - 7 months,458
Okhaldhunga,Female,50 - 54 Years,Non-economic work,8+ months,  529
Okhaldhunga,Female,50 - 54 Years,Activity not stated,,  24
Okhaldhunga,Female,55 - 59 Years,Any work total person,, 2676
Okhaldhunga,Female,55 - 59 Years,Economic,< 3 months,  15
Okhaldhunga,Female,55 - 59 Years,Economic,3 - 5 months, 177
Okhaldhunga,Female,55 - 59 Years,Economic,6 - 7 months, 446
Okhaldhunga,Female,55 - 59 Years,Economic,8+ months, 1638
Okhaldhunga,Female,55 - 59 Years,Extended economic,< 3 months, 177
Okhaldhunga,Female,55 - 59 Years,Extended economic,3 - 5 months,  100
Okhaldhunga,Female,55 - 59 Years,Extended economic,6 - 7 months, 15
Okhaldhunga,Female,55 - 59 Years,Extended economic,8+ months,  15
Okhaldhunga,Female,55 - 59 Years,Seeking economic job,< 3 months,0
Okhaldhunga,Female,55 - 59 Years,Seeking economic job,3-5 months,8
Okhaldhunga,Female,55 - 59 Years,Seeking economic job,6-7 months, 8
Okhaldhunga,Female,55 - 59 Years,Seeking economic job,8+ months,  8
Okhaldhunga,Female,55 - 59 Years,Non-economic work,< 3 months,346
Okhaldhunga,Female,55 - 59 Years,Non-economic work,3 - 5 months, 538
Okhaldhunga,Female,55 - 59 Years,Non-economic work,6 - 7 months,377
Okhaldhunga,Female,55 - 59 Years,Non-economic work,8+ months,  438
Okhaldhunga,Female,55 - 59 Years,Activity not stated,,8
Okhaldhunga,Female,60 - 64 Years,Any work total person,, 2613
Okhaldhunga,Female,60 - 64 Years,Economic,< 3 months,  87
Okhaldhunga,Female,60 - 64 Years,Economic,3 - 5 months,  40
Okhaldhunga,Female,60 - 64 Years,Economic,6 - 7 months, 437
Okhaldhunga,Female,60 - 64 Years,Economic,8+ months, 1430
Okhaldhunga,Female,60 - 64 Years,Extended economic,< 3 months, 151
Okhaldhunga,Female,60 - 64 Years,Extended economic,3 - 5 months,56
Okhaldhunga,Female,60 - 64 Years,Extended economic,6 - 7 months, 16
Okhaldhunga,Female,60 - 64 Years,Extended economic,8+ months,0
Okhaldhunga,Female,60 - 64 Years,Seeking economic job,< 3 months,  24
Okhaldhunga,Female,60 - 64 Years,Seeking economic job,3-5 months,  48
Okhaldhunga,Female,60 - 64 Years,Seeking economic job,6-7 months, 0
Okhaldhunga,Female,60 - 64 Years,Seeking economic job,8+ months,  0
Okhaldhunga,Female,60 - 64 Years,Non-economic work,< 3 months,246
Okhaldhunga,Female,60 - 64 Years,Non-economic work,3 - 5 months, 548
Okhaldhunga,Female,60 - 64 Years,Non-economic work,6 - 7 months,222
Okhaldhunga,Female,60 - 64 Years,Non-economic work,8+ months,  715
Okhaldhunga,Female,60 - 64 Years,Activity not stated,,  16
Okhaldhunga,Female,65 - 69 Years,Any work total person,, 1964
Okhaldhunga,Female,65 - 69 Years,Economic,< 3 months,  59
Okhaldhunga,Female,65 - 69 Years,Economic,3 - 5 months,  96
Okhaldhunga,Female,65 - 69 Years,Economic,6 - 7 months, 207
Okhaldhunga,Female,65 - 69 Years,Economic,8+ months,  945
Okhaldhunga,Female,65 - 69 Years,Extended economic,< 3 months,  81
Okhaldhunga,Female,65 - 69 Years,Extended economic,3 - 5 months,52
Okhaldhunga,Female,65 - 69 Years,Extended economic,6 - 7 months, 15
Okhaldhunga,Female,65 - 69 Years,Extended economic,8+ months,  22
Okhaldhunga,Female,65 - 69 Years,Seeking economic job,< 3 months,  15
Okhaldhunga,Female,65 - 69 Years,Seeking economic job,3-5 months,0
Okhaldhunga,Female,65 - 69 Years,Seeking economic job,6-7 months, 0
Okhaldhunga,Female,65 - 69 Years,Seeking economic job,8+ months,  0
Okhaldhunga,Female,65 - 69 Years,Non-economic work,< 3 months,199
Okhaldhunga,Female,65 - 69 Years,Non-economic work,3 - 5 months, 391
Okhaldhunga,Female,65 - 69 Years,Non-economic work,6 - 7 months,133
Okhaldhunga,Female,65 - 69 Years,Non-economic work,8+ months,  738
Okhaldhunga,Female,65 - 69 Years,Activity not stated,,7
Okhaldhunga,Female,70 - 74 Years,Any work total person,, 1604
Okhaldhunga,Female,70 - 74 Years,Economic,< 3 months,8
Okhaldhunga,Female,70 - 74 Years,Economic,3 - 5 months,  62
Okhaldhunga,Female,70 - 74 Years,Economic,6 - 7 months, 147
Okhaldhunga,Female,70 - 74 Years,Economic,8+ months,  550
Okhaldhunga,Female,70 - 74 Years,Extended economic,< 3 months,  15
Okhaldhunga,Female,70 - 74 Years,Extended economic,3 - 5 months,77
Okhaldhunga,Female,70 - 74 Years,Extended economic,6 - 7 months, 15
Okhaldhunga,Female,70 - 74 Years,Extended economic,8+ months,8
Okhaldhunga,Female,70 - 74 Years,Seeking economic job,< 3 months,0
Okhaldhunga,Female,70 - 74 Years,Seeking economic job,3-5 months,0
Okhaldhunga,Female,70 - 74 Years,Seeking economic job,6-7 months, 0
Okhaldhunga,Female,70 - 74 Years,Seeking economic job,8+ months,  0
Okhaldhunga,Female,70 - 74 Years,Non-economic work,< 3 months, 62
Okhaldhunga,Female,70 - 74 Years,Non-economic work,3 - 5 months, 155
Okhaldhunga,Female,70 - 74 Years,Non-economic work,6 - 7 months,132
Okhaldhunga,Female,70 - 74 Years,Non-economic work,8+ months,  860
Okhaldhunga,Female,70 - 74 Years,Activity not stated,,0
Okhaldhunga,Female,75+ Years,Any work total person,,  2145
Okhaldhunga,Female,75+ Years,Economic,< 3 months,  37
Okhaldhunga,Female,75+ Years,Economic,3 - 5 months,  28
Okhaldhunga,Female,75+ Years,Economic,6 - 7 months,  83
Okhaldhunga,Female,75+ Years,Economic,8+ months,  414
Okhaldhunga,Female,75+ Years,Extended economic,< 3 months,  83
Okhaldhunga,Female,75+ Years,Extended economic,3 - 5 months, 9
Okhaldhunga,Female,75+ Years,Extended economic,6 - 7 months,  0
Okhaldhunga,Female,75+ Years,Extended economic,8+ months,0
Okhaldhunga,Female,75+ Years,Seeking economic job,< 3 months,  28
Okhaldhunga,Female,75+ Years,Seeking economic job,3-5 months,0
Okhaldhunga,Female,75+ Years,Seeking economic job,6-7 months, 0
Okhaldhunga,Female,75+ Years,Seeking economic job,8+ months,  0
Okhaldhunga,Female,75+ Years,Non-economic work,< 3 months, 83
Okhaldhunga,Female,75+ Years,Non-economic work,3 - 5 months, 120
Okhaldhunga,Female,75+ Years,Non-economic work,6 - 7 months, 37
Okhaldhunga,Female,75+ Years,Non-economic work,8+ months, 1629
Okhaldhunga,Female,75+ Years,Activity not stated,,9
Khotang,Male,10 - 14 Years,Any work total person,,14830
Khotang,Male,10 - 14 Years,Economic,< 3 months,1279
Khotang,Male,10 - 14 Years,Economic,3 - 5 months, 410
Khotang,Male,10 - 14 Years,Economic,6 - 7 months,  64
Khotang,Male,10 - 14 Years,Economic,8+ months,  177
Khotang,Male,10 - 14 Years,Extended economic,< 3 months, 217
Khotang,Male,10 - 14 Years,Extended economic,3 - 5 months,32
Khotang,Male,10 - 14 Years,Extended economic,6 - 7 months,  0
Khotang,Male,10 - 14 Years,Extended economic,8+ months,8
Khotang,Male,10 - 14 Years,Seeking economic job,< 3 months, 64
Khotang,Male,10 - 14 Years,Seeking economic job,3-5 months, 24
Khotang,Male,10 - 14 Years,Seeking economic job,6-7 months,  24
Khotang,Male,10 - 14 Years,Seeking economic job,8+ months,  0
Khotang,Male,10 - 14 Years,Non-economic work,< 3 months, 40
Khotang,Male,10 - 14 Years,Non-economic work,3 - 5 months,  24
Khotang,Male,10 - 14 Years,Non-economic work,6 - 7 months,113
Khotang,Male,10 - 14 Years,Non-economic work,8+ months,14364
Khotang,Male,10 - 14 Years,Activity not stated,, 121
Khotang,Male,15 - 19 Years,Any work total person,,12266
Khotang,Male,15 - 19 Years,Economic,< 3 months,1025
Khotang,Male,15 - 19 Years,Economic,3 - 5 months, 681
Khotang,Male,15 - 19 Years,Economic,6 - 7 months, 336
Khotang,Male,15 - 19 Years,Economic,8+ months, 1377
Khotang,Male,15 - 19 Years,Extended economic,< 3 months, 320
Khotang,Male,15 - 19 Years,Extended economic,3 - 5 months,64
Khotang,Male,15 - 19 Years,Extended economic,6 - 7 months, 24
Khotang,Male,15 - 19 Years,Extended economic,8+ months,8
Khotang,Male,15 - 19 Years,Seeking economic job,< 3 months,320
Khotang,Male,15 - 19 Years,Seeking economic job,3-5 months,176
Khotang,Male,15 - 19 Years,Seeking economic job,6-7 months,  48
Khotang,Male,15 - 19 Years,Seeking economic job,8+ months, 96
Khotang,Male,15 - 19 Years,Non-economic work,< 3 months,240
Khotang,Male,15 - 19 Years,Non-economic work,3 - 5 months, 232
Khotang,Male,15 - 19 Years,Non-economic work,6 - 7 months,232
Khotang,Male,15 - 19 Years,Non-economic work,8+ months,10200
Khotang,Male,15 - 19 Years,Activity not stated,,  80
Khotang,Male,20 - 24 Years,Any work total person,, 5954
Khotang,Male,20 - 24 Years,Economic,< 3 months, 173
Khotang,Male,20 - 24 Years,Economic,3 - 5 months, 338
Khotang,Male,20 - 24 Years,Economic,6 - 7 months, 429
Khotang,Male,20 - 24 Years,Economic,8+ months, 2878
Khotang,Male,20 - 24 Years,Extended economic,< 3 months, 454
Khotang,Male,20 - 24 Years,Extended economic,3 - 5 months,  132
Khotang,Male,20 - 24 Years,Extended economic,6 - 7 months, 33
Khotang,Male,20 - 24 Years,Extended economic,8+ months,  16
Khotang,Male,20 - 24 Years,Seeking economic job,< 3 months,437
Khotang,Male,20 - 24 Years,Seeking economic job,3-5 months,289
Khotang,Male,20 - 24 Years,Seeking economic job,6-7 months, 124
Khotang,Male,20 - 24 Years,Seeking economic job,8+ months, 82
Khotang,Male,20 - 24 Years,Non-economic work,< 3 months,462
Khotang,Male,20 - 24 Years,Non-economic work,3 - 5 months, 396
Khotang,Male,20 - 24 Years,Non-economic work,6 - 7 months,173
Khotang,Male,20 - 24 Years,Non-economic work,8+ months, 2284
Khotang,Male,20 - 24 Years,Activity not stated,,  41
Khotang,Male,25 - 29 Years,Any work total person,, 4459
Khotang,Male,25 - 29 Years,Economic,< 3 months,  59
Khotang,Male,25 - 29 Years,Economic,3 - 5 months, 126
Khotang,Male,25 - 29 Years,Economic,6 - 7 months, 528
Khotang,Male,25 - 29 Years,Economic,8+ months, 3260
Khotang,Male,25 - 29 Years,Extended economic,< 3 months, 411
Khotang,Male,25 - 29 Years,Extended economic,3 - 5 months,  142
Khotang,Male,25 - 29 Years,Extended economic,6 - 7 months, 34
Khotang,Male,25 - 29 Years,Extended economic,8+ months,8
Khotang,Male,25 - 29 Years,Seeking economic job,< 3 months,360
Khotang,Male,25 - 29 Years,Seeking economic job,3-5 months,268
Khotang,Male,25 - 29 Years,Seeking economic job,6-7 months,  92
Khotang,Male,25 - 29 Years,Seeking economic job,8+ months, 50
Khotang,Male,25 - 29 Years,Non-economic work,< 3 months,553
Khotang,Male,25 - 29 Years,Non-economic work,3 - 5 months, 377
Khotang,Male,25 - 29 Years,Non-economic work,6 - 7 months, 84
Khotang,Male,25 - 29 Years,Non-economic work,8+ months,  478
Khotang,Male,25 - 29 Years,Activity not stated,,  50
Khotang,Male,30 - 34 Years,Any work total person,, 3865
Khotang,Male,30 - 34 Years,Economic,< 3 months,  16
Khotang,Male,30 - 34 Years,Economic,3 - 5 months, 121
Khotang,Male,30 - 34 Years,Economic,6 - 7 months, 378
Khotang,Male,30 - 34 Years,Economic,8+ months, 3150
Khotang,Male,30 - 34 Years,Extended economic,< 3 months, 305
Khotang,Male,30 - 34 Years,Extended economic,3 - 5 months,  217
Khotang,Male,30 - 34 Years,Extended economic,6 - 7 months,104
Khotang,Male,30 - 34 Years,Extended economic,8+ months,  24
Khotang,Male,30 - 34 Years,Seeking economic job,< 3 months,257
Khotang,Male,30 - 34 Years,Seeking economic job,3-5 months,145
Khotang,Male,30 - 34 Years,Seeking economic job,6-7 months,  24
Khotang,Male,30 - 34 Years,Seeking economic job,8+ months, 16
Khotang,Male,30 - 34 Years,Non-economic work,< 3 months,490
Khotang,Male,30 - 34 Years,Non-economic work,3 - 5 months, 370
Khotang,Male,30 - 34 Years,Non-economic work,6 - 7 months, 96
Khotang,Male,30 - 34 Years,Non-economic work,8+ months,  193
Khotang,Male,30 - 34 Years,Activity not stated,,  32
Khotang,Male,35 - 39 Years,Any work total person,, 3858
Khotang,Male,35 - 39 Years,Economic,< 3 months,8
Khotang,Male,35 - 39 Years,Economic,3 - 5 months,  85
Khotang,Male,35 - 39 Years,Economic,6 - 7 months, 442
Khotang,Male,35 - 39 Years,Economic,8+ months, 3153
Khotang,Male,35 - 39 Years,Extended economic,< 3 months, 357
Khotang,Male,35 - 39 Years,Extended economic,3 - 5 months,  204
Khotang,Male,35 - 39 Years,Extended economic,6 - 7 months, 34
Khotang,Male,35 - 39 Years,Extended economic,8+ months,  25
Khotang,Male,35 - 39 Years,Seeking economic job,< 3 months,246
Khotang,Male,35 - 39 Years,Seeking economic job,3-5 months,178
Khotang,Male,35 - 39 Years,Seeking economic job,6-7 months,  34
Khotang,Male,35 - 39 Years,Seeking economic job,8+ months, 34
Khotang,Male,35 - 39 Years,Non-economic work,< 3 months,467
Khotang,Male,35 - 39 Years,Non-economic work,3 - 5 months, 314
Khotang,Male,35 - 39 Years,Non-economic work,6 - 7 months,153
Khotang,Male,35 - 39 Years,Non-economic work,8+ months,  110
Khotang,Male,35 - 39 Years,Activity not stated,,0
Khotang,Male,40 - 44 Years,Any work total person,, 4511
Khotang,Male,40 - 44 Years,Economic,< 3 months,  23
Khotang,Male,40 - 44 Years,Economic,3 - 5 months,  77
Khotang,Male,40 - 44 Years,Economic,6 - 7 months, 493
Khotang,Male,40 - 44 Years,Economic,8+ months, 3757
Khotang,Male,40 - 44 Years,Extended economic,< 3 months, 408
Khotang,Male,40 - 44 Years,Extended economic,3 - 5 months,  185
Khotang,Male,40 - 44 Years,Extended economic,6 - 7 months, 69
Khotang,Male,40 - 44 Years,Extended economic,8+ months,  31
Khotang,Male,40 - 44 Years,Seeking economic job,< 3 months,269
Khotang,Male,40 - 44 Years,Seeking economic job,3-5 months,139
Khotang,Male,40 - 44 Years,Seeking economic job,6-7 months,  31
Khotang,Male,40 - 44 Years,Seeking economic job,8+ months, 31
Khotang,Male,40 - 44 Years,Non-economic work,< 3 months,631
Khotang,Male,40 - 44 Years,Non-economic work,3 - 5 months, 408
Khotang,Male,40 - 44 Years,Non-economic work,6 - 7 months, 92
Khotang,Male,40 - 44 Years,Non-economic work,8+ months,  146
Khotang,Male,40 - 44 Years,Activity not stated,,8
Khotang,Male,45 - 49 Years,Any work total person,, 4402
Khotang,Male,45 - 49 Years,Economic,< 3 months,0
Khotang,Male,45 - 49 Years,Economic,3 - 5 months, 123
Khotang,Male,45 - 49 Years,Economic,6 - 7 months, 393
Khotang,Male,45 - 49 Years,Economic,8+ months, 3795
Khotang,Male,45 - 49 Years,Extended economic,< 3 months, 393
Khotang,Male,45 - 49 Years,Extended economic,3 - 5 months,  230
Khotang,Male,45 - 49 Years,Extended economic,6 - 7 months, 66
Khotang,Male,45 - 49 Years,Extended economic,8+ months,0
Khotang,Male,45 - 49 Years,Seeking economic job,< 3 months,279
Khotang,Male,45 - 49 Years,Seeking economic job,3-5 months,131
Khotang,Male,45 - 49 Years,Seeking economic job,6-7 months,  16
Khotang,Male,45 - 49 Years,Seeking economic job,8+ months,  0
Khotang,Male,45 - 49 Years,Non-economic work,< 3 months,549
Khotang,Male,45 - 49 Years,Non-economic work,3 - 5 months, 369
Khotang,Male,45 - 49 Years,Non-economic work,6 - 7 months, 90
Khotang,Male,45 - 49 Years,Non-economic work,8+ months,  115
Khotang,Male,45 - 49 Years,Activity not stated,,  16
Khotang,Male,50 - 54 Years,Any work total person,, 4355
Khotang,Male,50 - 54 Years,Economic,< 3 months,  24
Khotang,Male,50 - 54 Years,Economic,3 - 5 months, 127
Khotang,Male,50 - 54 Years,Economic,6 - 7 months, 469
Khotang,Male,50 - 54 Years,Economic,8+ months, 3632
Khotang,Male,50 - 54 Years,Extended economic,< 3 months, 580
Khotang,Male,50 - 54 Years,Extended economic,3 - 5 months,  254
Khotang,Male,50 - 54 Years,Extended economic,6 - 7 months,135
Khotang,Male,50 - 54 Years,Extended economic,8+ months,  16
Khotang,Male,50 - 54 Years,Seeking economic job,< 3 months,215
Khotang,Male,50 - 54 Years,Seeking economic job,3-5 months, 64
Khotang,Male,50 - 54 Years,Seeking economic job,6-7 months,0
Khotang,Male,50 - 54 Years,Seeking economic job,8+ months,  0
Khotang,Male,50 - 54 Years,Non-economic work,< 3 months,556
Khotang,Male,50 - 54 Years,Non-economic work,3 - 5 months, 381
Khotang,Male,50 - 54 Years,Non-economic work,6 - 7 months,111
Khotang,Male,50 - 54 Years,Non-economic work,8+ months,  175
Khotang,Male,50 - 54 Years,Activity not stated,,0
Khotang,Male,55 - 59 Years,Any work total person,, 3525
Khotang,Male,55 - 59 Years,Economic,< 3 months,  24
Khotang,Male,55 - 59 Years,Economic,3 - 5 months, 121
Khotang,Male,55 - 59 Years,Economic,6 - 7 months, 387
Khotang,Male,55 - 59 Years,Economic,8+ months, 2775
Khotang,Male,55 - 59 Years,Extended economic,< 3 months, 476
Khotang,Male,55 - 59 Years,Extended economic,3 - 5 months,  210
Khotang,Male,55 - 59 Years,Extended economic,6 - 7 months, 40
Khotang,Male,55 - 59 Years,Extended economic,8+ months,8
Khotang,Male,55 - 59 Years,Seeking economic job,< 3 months,202
Khotang,Male,55 - 59 Years,Seeking economic job,3-5 months, 56
Khotang,Male,55 - 59 Years,Seeking economic job,6-7 months,0
Khotang,Male,55 - 59 Years,Seeking economic job,8+ months,  0
Khotang,Male,55 - 59 Years,Non-economic work,< 3 months,484
Khotang,Male,55 - 59 Years,Non-economic work,3 - 5 months, 395
Khotang,Male,55 - 59 Years,Non-economic work,6 - 7 months, 97
Khotang,Male,55 - 59 Years,Non-economic work,8+ months,  250
Khotang,Male,55 - 59 Years,Activity not stated,,  48
Khotang,Male,60 - 64 Years,Any work total person,, 3213
Khotang,Male,60 - 64 Years,Economic,< 3 months,  31
Khotang,Male,60 - 64 Years,Economic,3 - 5 months, 124
Khotang,Male,60 - 64 Years,Economic,6 - 7 months, 389
Khotang,Male,60 - 64 Years,Economic,8+ months, 2443
Khotang,Male,60 - 64 Years,Extended economic,< 3 months, 342
Khotang,Male,60 - 64 Years,Extended economic,3 - 5 months,  257
Khotang,Male,60 - 64 Years,Extended economic,6 - 7 months, 47
Khotang,Male,60 - 64 Years,Extended economic,8+ months,8
Khotang,Male,60 - 64 Years,Seeking economic job,< 3 months, 39
Khotang,Male,60 - 64 Years,Seeking economic job,3-5 months, 31
Khotang,Male,60 - 64 Years,Seeking economic job,6-7 months,0
Khotang,Male,60 - 64 Years,Seeking economic job,8+ months,  8
Khotang,Male,60 - 64 Years,Non-economic work,< 3 months,428
Khotang,Male,60 - 64 Years,Non-economic work,3 - 5 months, 397
Khotang,Male,60 - 64 Years,Non-economic work,6 - 7 months,179
Khotang,Male,60 - 64 Years,Non-economic work,8+ months,  288
Khotang,Male,60 - 64 Years,Activity not stated,,8
Khotang,Male,65 - 69 Years,Any work total person,, 2494
Khotang,Male,65 - 69 Years,Economic,< 3 months,  40
Khotang,Male,65 - 69 Years,Economic,3 - 5 months, 103
Khotang,Male,65 - 69 Years,Economic,6 - 7 months, 342
Khotang,Male,65 - 69 Years,Economic,8+ months, 1692
Khotang,Male,65 - 69 Years,Extended economic,< 3 months, 302
Khotang,Male,65 - 69 Years,Extended economic,3 - 5 months,  143
Khotang,Male,65 - 69 Years,Extended economic,6 - 7 months, 32
Khotang,Male,65 - 69 Years,Extended economic,8+ months,8
Khotang,Male,65 - 69 Years,Seeking economic job,< 3 months, 56
Khotang,Male,65 - 69 Years,Seeking economic job,3-5 months, 32
Khotang,Male,65 - 69 Years,Seeking economic job,6-7 months,0
Khotang,Male,65 - 69 Years,Seeking economic job,8+ months, 16
Khotang,Male,65 - 69 Years,Non-economic work,< 3 months,326
Khotang,Male,65 - 69 Years,Non-economic work,3 - 5 months, 318
Khotang,Male,65 - 69 Years,Non-economic work,6 - 7 months,143
Khotang,Male,65 - 69 Years,Non-economic work,8+ months,  365
Khotang,Male,65 - 69 Years,Activity not stated,,8
Khotang,Male,70 - 74 Years,Any work total person,, 2102
Khotang,Male,70 - 74 Years,Economic,< 3 months,  41
Khotang,Male,70 - 74 Years,Economic,3 - 5 months, 115
Khotang,Male,70 - 74 Years,Economic,6 - 7 months, 263
Khotang,Male,70 - 74 Years,Economic,8+ months, 1207
Khotang,Male,70 - 74 Years,Extended economic,< 3 months, 246
Khotang,Male,70 - 74 Years,Extended economic,3 - 5 months,66
Khotang,Male,70 - 74 Years,Extended economic,6 - 7 months,  8
Khotang,Male,70 - 74 Years,Extended economic,8+ months,0
Khotang,Male,70 - 74 Years,Seeking economic job,< 3 months, 25
Khotang,Male,70 - 74 Years,Seeking economic job,3-5 months, 16
Khotang,Male,70 - 74 Years,Seeking economic job,6-7 months,0
Khotang,Male,70 - 74 Years,Seeking economic job,8+ months,  0
Khotang,Male,70 - 74 Years,Non-economic work,< 3 months,172
Khotang,Male,70 - 74 Years,Non-economic work,3 - 5 months, 320
Khotang,Male,70 - 74 Years,Non-economic work,6 - 7 months, 74
Khotang,Male,70 - 74 Years,Non-economic work,8+ months,  591
Khotang,Male,70 - 74 Years,Activity not stated,,0
Khotang,Male,75+ Years,Any work total person,,  2593
Khotang,Male,75+ Years,Economic,< 3 months, 111
Khotang,Male,75+ Years,Economic,3 - 5 months,  77
Khotang,Male,75+ Years,Economic,6 - 7 months, 257
Khotang,Male,75+ Years,Economic,8+ months,  822
Khotang,Male,75+ Years,Extended economic,< 3 months, 205
Khotang,Male,75+ Years,Extended economic,3 - 5 months,77
Khotang,Male,75+ Years,Extended economic,6 - 7 months, 17
Khotang,Male,75+ Years,Extended economic,8+ months,9
Khotang,Male,75+ Years,Seeking economic job,< 3 months, 17
Khotang,Male,75+ Years,Seeking economic job,3-5 months, 17
Khotang,Male,75+ Years,Seeking economic job,6-7 months,0
Khotang,Male,75+ Years,Seeking economic job,8+ months,  0
Khotang,Male,75+ Years,Non-economic work,< 3 months,154
Khotang,Male,75+ Years,Non-economic work,3 - 5 months, 265
Khotang,Male,75+ Years,Non-economic work,6 - 7 months, 86
Khotang,Male,75+ Years,Non-economic work,8+ months, 1455
Khotang,Male,75+ Years,Activity not stated,,9
Khotang,Female,10 - 14 Years,Any work total person,,14626
Khotang,Female,10 - 14 Years,Economic,< 3 months, 986
Khotang,Female,10 - 14 Years,Economic,3 - 5 months, 262
Khotang,Female,10 - 14 Years,Economic,6 - 7 months,  54
Khotang,Female,10 - 14 Years,Economic,8+ months,  208
Khotang,Female,10 - 14 Years,Extended economic,< 3 months, 208
Khotang,Female,10 - 14 Years,Extended economic,3 - 5 months, 0
Khotang,Female,10 - 14 Years,Extended economic,6 - 7 months,  0
Khotang,Female,10 - 14 Years,Extended economic,8+ months,8
Khotang,Female,10 - 14 Years,Seeking economic job,< 3 months, 46
Khotang,Female,10 - 14 Years,Seeking economic job,3-5 months,  0
Khotang,Female,10 - 14 Years,Seeking economic job,6-7 months,0
Khotang,Female,10 - 14 Years,Seeking economic job,8+ months,  0
Khotang,Female,10 - 14 Years,Non-economic work,< 3 months, 31
Khotang,Female,10 - 14 Years,Non-economic work,3 - 5 months,  39
Khotang,Female,10 - 14 Years,Non-economic work,6 - 7 months, 85
Khotang,Female,10 - 14 Years,Non-economic work,8+ months,14256
Khotang,Female,10 - 14 Years,Activity not stated,,  62
Khotang,Female,15 - 19 Years,Any work total person,,13559
Khotang,Female,15 - 19 Years,Economic,< 3 months,1048
Khotang,Female,15 - 19 Years,Economic,3 - 5 months, 712
Khotang,Female,15 - 19 Years,Economic,6 - 7 months, 835
Khotang,Female,15 - 19 Years,Economic,8+ months, 1662
Khotang,Female,15 - 19 Years,Extended economic,< 3 months, 516
Khotang,Female,15 - 19 Years,Extended economic,3 - 5 months,  156
Khotang,Female,15 - 19 Years,Extended economic,6 - 7 months,  0
Khotang,Female,15 - 19 Years,Extended economic,8+ months,8
Khotang,Female,15 - 19 Years,Seeking economic job,< 3 months,115
Khotang,Female,15 - 19 Years,Seeking economic job,3-5 months, 66
Khotang,Female,15 - 19 Years,Seeking economic job,6-7 months,  33
Khotang,Female,15 - 19 Years,Seeking economic job,8+ months,  8
Khotang,Female,15 - 19 Years,Non-economic work,< 3 months,401
Khotang,Female,15 - 19 Years,Non-economic work,3 - 5 months, 802
Khotang,Female,15 - 19 Years,Non-economic work,6 - 7 months,549
Khotang,Female,15 - 19 Years,Non-economic work,8+ months,10693
Khotang,Female,15 - 19 Years,Activity not stated,, 106
Khotang,Female,20 - 24 Years,Any work total person,, 9302
Khotang,Female,20 - 24 Years,Economic,< 3 months, 280
Khotang,Female,20 - 24 Years,Economic,3 - 5 months, 601
Khotang,Female,20 - 24 Years,Economic,6 - 7 months,1638
Khotang,Female,20 - 24 Years,Economic,8+ months, 3976
Khotang,Female,20 - 24 Years,Extended economic,< 3 months, 864
Khotang,Female,20 - 24 Years,Extended economic,3 - 5 months,  247
Khotang,Female,20 - 24 Years,Extended economic,6 - 7 months, 25
Khotang,Female,20 - 24 Years,Extended economic,8+ months,  25
Khotang,Female,20 - 24 Years,Seeking economic job,< 3 months,239
Khotang,Female,20 - 24 Years,Seeking economic job,3-5 months, 82
Khotang,Female,20 - 24 Years,Seeking economic job,6-7 months,  58
Khotang,Female,20 - 24 Years,Seeking economic job,8+ months, 58
Khotang,Female,20 - 24 Years,Non-economic work,< 3 months,  1037
Khotang,Female,20 - 24 Years,Non-economic work,3 - 5 months,1663
Khotang,Female,20 - 24 Years,Non-economic work,6 - 7 months,963
Khotang,Female,20 - 24 Years,Non-economic work,8+ months, 3276
Khotang,Female,20 - 24 Years,Activity not stated,,  49
Khotang,Female,25 - 29 Years,Any work total person,, 7186
Khotang,Female,25 - 29 Years,Economic,< 3 months, 119
Khotang,Female,25 - 29 Years,Economic,3 - 5 months, 580
Khotang,Female,25 - 29 Years,Economic,6 - 7 months,1502
Khotang,Female,25 - 29 Years,Economic,8+ months, 4054
Khotang,Female,25 - 29 Years,Extended economic,< 3 months, 785
Khotang,Female,25 - 29 Years,Extended economic,3 - 5 months,  299
Khotang,Female,25 - 29 Years,Extended economic,6 - 7 months, 51
Khotang,Female,25 - 29 Years,Extended economic,8+ months,  17
Khotang,Female,25 - 29 Years,Seeking economic job,< 3 months,196
Khotang,Female,25 - 29 Years,Seeking economic job,3-5 months, 60
Khotang,Female,25 - 29 Years,Seeking economic job,6-7 months,  26
Khotang,Female,25 - 29 Years,Seeking economic job,8+ months, 34
Khotang,Female,25 - 29 Years,Non-economic work,< 3 months,  1007
Khotang,Female,25 - 29 Years,Non-economic work,3 - 5 months,1809
Khotang,Female,25 - 29 Years,Non-economic work,6 - 7 months,964
Khotang,Female,25 - 29 Years,Non-economic work,8+ months, 1152
