District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
 Siraha,,,,,,Illiterate,  Female,Others,138
 Siraha,,,,,,Illiterate,  Female,Not stated,448
 Siraha,,,,,,Literate,  Female,Parents,60141
 Siraha,,,,,,Literate,  Female,Mother,6293
 Siraha,,,,,,Literate,  Female,Father,326
 Siraha,,,,,,Literate,  Female,Father and step mother,47
 Siraha,,,,,,Literate,  Female,Mother and step father,8
 Siraha,,,,,,Literate,  Female,Other relatives,113
 Siraha,,,,,,Literate,  Female,Employer,18
 Siraha,,,,,,Literate,  Female,Others,353
 Siraha,,,,,,Literate,  Female,Not stated,365
 Siraha,,,,,,Literacy not stated,  Female,Parents,104
 Siraha,,,,,,Literacy not stated,  Female,Mother,3
 Siraha,,,,,,Literacy not stated,  Female,Father,0
 Siraha,,,,,,Literacy not stated,  Female,Father and step mother,1
 Siraha,,,,,,Literacy not stated,  Female,Mother and step father,0
 Siraha,,,,,,Literacy not stated,  Female,Other relatives,0
 Siraha,,,,,,Literacy not stated,  Female,Employer,0
 Siraha,,,,,,Literacy not stated,  Female,Others,0
 Siraha,,,,,,Literacy not stated,  Female,Not stated,1
 Dhanusa,,,,,,Illiterate,Male,Parents,24555
 Dhanusa,,,,,,Illiterate,Male,Mother,2458
 Dhanusa,,,,,,Illiterate,Male,Father,235
 Dhanusa,,,,,,Illiterate,Male,Father and step mother,106
 Dhanusa,,,,,,Illiterate,Male,Mother and step father,16
 Dhanusa,,,,,,Illiterate,Male,Other relatives,40
 Dhanusa,,,,,,Illiterate,Male,Employer,40
 Dhanusa,,,,,,Illiterate,Male,Others,40
 Dhanusa,,,,,,Illiterate,Male,Not stated,994
 Dhanusa,,,,,,Literate,Male,Parents,75646
 Dhanusa,,,,,,Literate,Male,Mother,7594
 Dhanusa,,,,,,Literate,Male,Father,379
 Dhanusa,,,,,,Literate,Male,Father and step mother,40
 Dhanusa,,,,,,Literate,Male,Mother and step father,16
 Dhanusa,,,,,,Literate,Male,Other relatives,186
 Dhanusa,,,,,,Literate,Male,Employer,8
 Dhanusa,,,,,,Literate,Male,Others,440
 Dhanusa,,,,,,Literate,Male,Not stated,1854
 Dhanusa,,,,,,Literacy not stated,Male,Parents,131
 Dhanusa,,,,,,Literacy not stated,Male,Mother,8
 Dhanusa,,,,,,Literacy not stated,Male,Father,0
 Dhanusa,,,,,,Literacy not stated,Male,Father and step mother,0
 Dhanusa,,,,,,Literacy not stated,Male,Mother and step father,0
 Dhanusa,,,,,,Literacy not stated,Male,Other relatives,0
 Dhanusa,,,,,,Literacy not stated,Male,Employer,0
 Dhanusa,,,,,,Literacy not stated,Male,Others,0
 Dhanusa,,,,,,Literacy not stated,Male,Not stated,8
 Dhanusa,,,,,,Illiterate,  Female,Parents,27666
 Dhanusa,,,,,,Illiterate,  Female,Mother,3194
 Dhanusa,,,,,,Illiterate,  Female,Father,147
 Dhanusa,,,,,,Illiterate,  Female,Father and step mother,73
 Dhanusa,,,,,,Illiterate,  Female,Mother and step father,17
 Dhanusa,,,,,,Illiterate,  Female,Other relatives,66
 Dhanusa,,,,,,Illiterate,  Female,Employer,17
 Dhanusa,,,,,,Illiterate,  Female,Others,131
 Dhanusa,,,,,,Illiterate,  Female,Not stated,1511
 Dhanusa,,,,,,Literate,  Female,Parents,64890
 Dhanusa,,,,,,Literate,  Female,Mother,7318
 Dhanusa,,,,,,Literate,  Female,Father,362
 Dhanusa,,,,,,Literate,  Female,Father and step mother,16
 Dhanusa,,,,,,Literate,  Female,Mother and step father,41
 Dhanusa,,,,,,Literate,  Female,Other relatives,165
 Dhanusa,,,,,,Literate,  Female,Employer,8
 Dhanusa,,,,,,Literate,  Female,Others,329
 Dhanusa,,,,,,Literate,  Female,Not stated,1594
 Dhanusa,,,,,,Literacy not stated,  Female,Parents,187
 Dhanusa,,,,,,Literacy not stated,  Female,Mother,32
 Dhanusa,,,,,,Literacy not stated,  Female,Father,0
 Dhanusa,,,,,,Literacy not stated,  Female,Father and step mother,0
 Dhanusa,,,,,,Literacy not stated,  Female,Mother and step father,0
 Dhanusa,,,,,,Literacy not stated,  Female,Other relatives,0
 Dhanusa,,,,,,Literacy not stated,  Female,Employer,0
 Dhanusa,,,,,,Literacy not stated,  Female,Others,8
 Dhanusa,,,,,,Literacy not stated,  Female,Not stated,33
 Mahottari,,,,,,Illiterate,Male,Parents,22374
 Mahottari,,,,,,Illiterate,Male,Mother,1821
 Mahottari,,,,,,Illiterate,Male,Father,140
 Mahottari,,,,,,Illiterate,Male,Father and step mother,34
 Mahottari,,,,,,Illiterate,Male,Mother and step father,8
 Mahottari,,,,,,Illiterate,Male,Other relatives,36
 Mahottari,,,,,,Illiterate,Male,Employer,8
 Mahottari,,,,,,Illiterate,Male,Others,109
 Mahottari,,,,,,Illiterate,Male,Not stated,293
 Mahottari,,,,,,Literate,Male,Parents,65260
 Mahottari,,,,,,Literate,Male,Mother,5891
 Mahottari,,,,,,Literate,Male,Father,328
 Mahottari,,,,,,Literate,Male,Father and step mother,66
 Mahottari,,,,,,Literate,Male,Mother and step father,0
 Mahottari,,,,,,Literate,Male,Other relatives,87
 Mahottari,,,,,,Literate,Male,Employer,18
 Mahottari,,,,,,Literate,Male,Others,470
 Mahottari,,,,,,Literate,Male,Not stated,534
 Mahottari,,,,,,Literacy not stated,Male,Parents,198
 Mahottari,,,,,,Literacy not stated,Male,Mother,8
 Mahottari,,,,,,Literacy not stated,Male,Father,0
 Mahottari,,,,,,Literacy not stated,Male,Father and step mother,0
 Mahottari,,,,,,Literacy not stated,Male,Mother and step father,0
 Mahottari,,,,,,Literacy not stated,Male,Other relatives,0
 Mahottari,,,,,,Literacy not stated,Male,Employer,0
 Mahottari,,,,,,Literacy not stated,Male,Others,0
 Mahottari,,,,,,Literacy not stated,Male,Not stated,0
 Mahottari,,,,,,Illiterate,  Female,Parents,27695
 Mahottari,,,,,,Illiterate,  Female,Mother,2189
 Mahottari,,,,,,Illiterate,  Female,Father,161
 Mahottari,,,,,,Illiterate,  Female,Father and step mother,33
 Mahottari,,,,,,Illiterate,  Female,Mother and step father,0
 Mahottari,,,,,,Illiterate,  Female,Other relatives,61
 Mahottari,,,,,,Illiterate,  Female,Employer,8
 Mahottari,,,,,,Illiterate,  Female,Others,166
 Mahottari,,,,,,Illiterate,  Female,Not stated,418
 Mahottari,,,,,,Literate,  Female,Parents,56537
 Mahottari,,,,,,Literate,  Female,Mother,4678
 Mahottari,,,,,,Literate,  Female,Father,306
 Mahottari,,,,,,Literate,  Female,Father and step mother,56
 Mahottari,,,,,,Literate,  Female,Mother and step father,0
 Mahottari,,,,,,Literate,  Female,Other relatives,116
 Mahottari,,,,,,Literate,  Female,Employer,8
 Mahottari,,,,,,Literate,  Female,Others,337
 Mahottari,,,,,,Literate,  Female,Not stated,451
 Mahottari,,,,,,Literacy not stated,  Female,Parents,221
 Mahottari,,,,,,Literacy not stated,  Female,Mother,18
 Mahottari,,,,,,Literacy not stated,  Female,Father,0
 Mahottari,,,,,,Literacy not stated,  Female,Father and step mother,0
 Mahottari,,,,,,Literacy not stated,  Female,Mother and step father,0
 Mahottari,,,,,,Literacy not stated,  Female,Other relatives,0
 Mahottari,,,,,,Literacy not stated,  Female,Employer,0
 Mahottari,,,,,,Literacy not stated,  Female,Others,0
 Mahottari,,,,,,Literacy not stated,  Female,Not stated,16
 Sarlahi,,,,,,Illiterate,Male,Parents,31852
 Sarlahi,,,,,,Illiterate,Male,Mother,924
 Sarlahi,,,,,,Illiterate,Male,Father,132
 Sarlahi,,,,,,Illiterate,Male,Father and step mother,8
 Sarlahi,,,,,,Illiterate,Male,Mother and step father,2
 Sarlahi,,,,,,Illiterate,Male,Other relatives,66
 Sarlahi,,,,,,Illiterate,Male,Employer,41
 Sarlahi,,,,,,Illiterate,Male,Others,200
 Sarlahi,,,,,,Illiterate,Male,Not stated,438
 Sarlahi,,,,,,Literate,Male,Parents,80300
 Sarlahi,,,,,,Literate,Male,Mother,2855
 Sarlahi,,,,,,Literate,Male,Father,377
 Sarlahi,,,,,,Literate,Male,Father and step mother,132
 Sarlahi,,,,,,Literate,Male,Mother and step father,8
 Sarlahi,,,,,,Literate,Male,Other relatives,247
 Sarlahi,,,,,,Literate,Male,Employer,24
 Sarlahi,,,,,,Literate,Male,Others,718
 Sarlahi,,,,,,Literate,Male,Not stated,798
 Sarlahi,,,,,,Literacy not stated,Male,Parents,112
 Sarlahi,,,,,,Literacy not stated,Male,Mother,8
 Sarlahi,,,,,,Literacy not stated,Male,Father,0
 Sarlahi,,,,,,Literacy not stated,Male,Father and step mother,0
 Sarlahi,,,,,,Literacy not stated,Male,Mother and step father,0
 Sarlahi,,,,,,Literacy not stated,Male,Other relatives,0
 Sarlahi,,,,,,Literacy not stated,Male,Employer,0
 Sarlahi,,,,,,Literacy not stated,Male,Others,0
 Sarlahi,,,,,,Literacy not stated,Male,Not stated,0
 Sarlahi,,,,,,Illiterate,  Female,Parents,38962
 Sarlahi,,,,,,Illiterate,  Female,Mother,1307
 Sarlahi,,,,,,Illiterate,  Female,Father,236
 Sarlahi,,,,,,Illiterate,  Female,Father and step mother,49
 Sarlahi,,,,,,Illiterate,  Female,Mother and step father,1
 Sarlahi,,,,,,Illiterate,  Female,Other relatives,84
 Sarlahi,,,,,,Illiterate,  Female,Employer,17
 Sarlahi,,,,,,Illiterate,  Female,Others,304
 Sarlahi,,,,,,Illiterate,  Female,Not stated,688
 Sarlahi,,,,,,Literate,  Female,Parents,66606
 Sarlahi,,,,,,Literate,  Female,Mother,2398
 Sarlahi,,,,,,Literate,  Female,Father,290
 Sarlahi,,,,,,Literate,  Female,Father and step mother,89
 Sarlahi,,,,,,Literate,  Female,Mother and step father,8
 Sarlahi,,,,,,Literate,  Female,Other relatives,192
 Sarlahi,,,,,,Literate,  Female,Employer,9
 Sarlahi,,,,,,Literate,  Female,Others,607
 Sarlahi,,,,,,Literate,  Female,Not stated,735
 Sarlahi,,,,,,Literacy not stated,  Female,Parents,95
 Sarlahi,,,,,,Literacy not stated,  Female,Mother,0
 Sarlahi,,,,,,Literacy not stated,  Female,Father,0
 Sarlahi,,,,,,Literacy not stated,  Female,Father and step mother,0
 Sarlahi,,,,,,Literacy not stated,  Female,Mother and step father,0
 Sarlahi,,,,,,Literacy not stated,  Female,Other relatives,8
 Sarlahi,,,,,,Literacy not stated,  Female,Employer,0
 Sarlahi,,,,,,Literacy not stated,  Female,Others,0
 Sarlahi,,,,,,Literacy not stated,  Female,Not stated,8
 Sindhuli,,,,,,Illiterate,Male,Parents,6760
 Sindhuli,,,,,,Illiterate,Male,Mother,533
 Sindhuli,,,,,,Illiterate,Male,Father,88
 Sindhuli,,,,,,Illiterate,Male,Father and step mother,32
 Sindhuli,,,,,,Illiterate,Male,Mother and step father,0
 Sindhuli,,,,,,Illiterate,Male,Other relatives,79
 Sindhuli,,,,,,Illiterate,Male,Employer,16
 Sindhuli,,,,,,Illiterate,Male,Others,72
 Sindhuli,,,,,,Illiterate,Male,Not stated,24
 Sindhuli,,,,,,Literate,Male,Parents,33832
 Sindhuli,,,,,,Literate,Male,Mother,2988
 Sindhuli,,,,,,Literate,Male,Father,296
 Sindhuli,,,,,,Literate,Male,Father and step mother,217
 Sindhuli,,,,,,Literate,Male,Mother and step father,16
 Sindhuli,,,,,,Literate,Male,Other relatives,430
 Sindhuli,,,,,,Literate,Male,Employer,39
 Sindhuli,,,,,,Literate,Male,Others,707
 Sindhuli,,,,,,Literate,Male,Not stated,262
 Sindhuli,,,,,,Literacy not stated,Male,Parents,16
 Sindhuli,,,,,,Literacy not stated,Male,Mother,0
 Sindhuli,,,,,,Literacy not stated,Male,Father,8
 Sindhuli,,,,,,Literacy not stated,Male,Father and step mother,0
 Sindhuli,,,,,,Literacy not stated,Male,Mother and step father,0
 Sindhuli,,,,,,Literacy not stated,Male,Other relatives,0
 Sindhuli,,,,,,Literacy not stated,Male,Employer,0
 Sindhuli,,,,,,Literacy not stated,Male,Others,0
 Sindhuli,,,,,,Literacy not stated,Male,Not stated,0
 Sindhuli,,,,,,Illiterate,  Female,Parents,8011
 Sindhuli,,,,,,Illiterate,  Female,Mother,638
 Sindhuli,,,,,,Illiterate,  Female,Father,104
 Sindhuli,,,,,,Illiterate,  Female,Father and step mother,24
 Sindhuli,,,,,,Illiterate,  Female,Mother and step father,0
 Sindhuli,,,,,,Illiterate,  Female,Other relatives,48
 Sindhuli,,,,,,Illiterate,  Female,Employer,0
 Sindhuli,,,,,,Illiterate,  Female,Others,104
 Sindhuli,,,,,,Illiterate,  Female,Not stated,40
 Sindhuli,,,,,,Literate,  Female,Parents,32684
 Sindhuli,,,,,,Literate,  Female,Mother,2907
 Sindhuli,,,,,,Literate,  Female,Father,384
 Sindhuli,,,,,,Literate,  Female,Father and step mother,144
 Sindhuli,,,,,,Literate,  Female,Mother and step father,16
 Sindhuli,,,,,,Literate,  Female,Other relatives,371
 Sindhuli,,,,,,Literate,  Female,Employer,16
 Sindhuli,,,,,,Literate,  Female,Others,833
 Sindhuli,,,,,,Literate,  Female,Not stated,199
 Sindhuli,,,,,,Literacy not stated,  Female,Parents,33
 Sindhuli,,,,,,Literacy not stated,  Female,Mother,0
 Sindhuli,,,,,,Literacy not stated,  Female,Father,0
 Sindhuli,,,,,,Literacy not stated,  Female,Father and step mother,0
 Sindhuli,,,,,,Literacy not stated,  Female,Mother and step father,0
 Sindhuli,,,,,,Literacy not stated,  Female,Other relatives,0
 Sindhuli,,,,,,Literacy not stated,  Female,Employer,0
 Sindhuli,,,,,,Literacy not stated,  Female,Others,0
 Sindhuli,,,,,,Literacy not stated,  Female,Not stated,0
 Ramechhap,,,,,,Illiterate,Male,Parents,2786
 Ramechhap,,,,,,Illiterate,Male,Mother,247
 Ramechhap,,,,,,Illiterate,Male,Father,33
 Ramechhap,,,,,,Illiterate,Male,Father and step mother,16
 Ramechhap,,,,,,Illiterate,Male,Mother and step father,0
 Ramechhap,,,,,,Illiterate,Male,Other relatives,0
 Ramechhap,,,,,,Illiterate,Male,Employer,0
 Ramechhap,,,,,,Illiterate,Male,Others,33
 Ramechhap,,,,,,Illiterate,Male,Not stated,90
 Ramechhap,,,,,,Literate,Male,Parents,22884
 Ramechhap,,,,,,Literate,Male,Mother,1892
 Ramechhap,,,,,,Literate,Male,Father,247
 Ramechhap,,,,,,Literate,Male,Father and step mother,82
 Ramechhap,,,,,,Literate,Male,Mother and step father,0
 Ramechhap,,,,,,Literate,Male,Other relatives,197
 Ramechhap,,,,,,Literate,Male,Employer,0
 Ramechhap,,,,,,Literate,Male,Others,313
 Ramechhap,,,,,,Literate,Male,Not stated,280
 Ramechhap,,,,,,Literacy not stated,Male,Parents,0
 Ramechhap,,,,,,Literacy not stated,Male,Mother,0
 Ramechhap,,,,,,Literacy not stated,Male,Father,0
 Ramechhap,,,,,,Literacy not stated,Male,Father and step mother,0
 Ramechhap,,,,,,Literacy not stated,Male,Mother and step father,0
 Ramechhap,,,,,,Literacy not stated,Male,Other relatives,0
 Ramechhap,,,,,,Literacy not stated,Male,Employer,0
 Ramechhap,,,,,,Literacy not stated,Male,Others,0
 Ramechhap,,,,,,Literacy not stated,Male,Not stated,0
 Ramechhap,,,,,,Illiterate,  Female,Parents,2886
 Ramechhap,,,,,,Illiterate,  Female,Mother,341
 Ramechhap,,,,,,Illiterate,  Female,Father,24
 Ramechhap,,,,,,Illiterate,  Female,Father and step mother,16
 Ramechhap,,,,,,Illiterate,  Female,Mother and step father,0
 Ramechhap,,,,,,Illiterate,  Female,Other relatives,0
 Ramechhap,,,,,,Illiterate,  Female,Employer,16
 Ramechhap,,,,,,Illiterate,  Female,Others,40
 Ramechhap,,,,,,Illiterate,  Female,Not stated,57
 Ramechhap,,,,,,Literate,  Female,Parents,23763
 Ramechhap,,,,,,Literate,  Female,Mother,1897
 Ramechhap,,,,,,Literate,  Female,Father,160
 Ramechhap,,,,,,Literate,  Female,Father and step mother,56
 Ramechhap,,,,,,Literate,  Female,Mother and step father,24
 Ramechhap,,,,,,Literate,  Female,Other relatives,128
 Ramechhap,,,,,,Literate,  Female,Employer,16
 Ramechhap,,,,,,Literate,  Female,Others,361
 Ramechhap,,,,,,Literate,  Female,Not stated,249
 Ramechhap,,,,,,Literacy not stated,  Female,Parents,16
 Ramechhap,,,,,,Literacy not stated,  Female,Mother,0
 Ramechhap,,,,,,Literacy not stated,  Female,Father,0
 Ramechhap,,,,,,Literacy not stated,  Female,Father and step mother,0
 Ramechhap,,,,,,Literacy not stated,  Female,Mother and step father,0
 Ramechhap,,,,,,Literacy not stated,  Female,Other relatives,0
 Ramechhap,,,,,,Literacy not stated,  Female,Employer,0
 Ramechhap,,,,,,Literacy not stated,  Female,Others,0
 Ramechhap,,,,,,Literacy not stated,  Female,Not stated,0
 Dolakha,,,,,,Illiterate,Male,Parents,2652
 Dolakha,,,,,,Illiterate,Male,Mother,191
 Dolakha,,,,,,Illiterate,Male,Father,9
 Dolakha,,,,,,Illiterate,Male,Father and step mother,24
 Dolakha,,,,,,Illiterate,Male,Mother and step father,0
 Dolakha,,,,,,Illiterate,Male,Other relatives,25
 Dolakha,,,,,,Illiterate,Male,Employer,16
 Dolakha,,,,,,Illiterate,Male,Others,34
 Dolakha,,,,,,Illiterate,Male,Not stated,4
 Dolakha,,,,,,Literate,Male,Parents,20348
 Dolakha,,,,,,Literate,Male,Mother,1639
 Dolakha,,,,,,Literate,Male,Father,285
 Dolakha,,,,,,Literate,Male,Father and step mother,103
 Dolakha,,,,,,Literate,Male,Mother and step father,18
 Dolakha,,,,,,Literate,Male,Other relatives,132
 Dolakha,,,,,,Literate,Male,Employer,12
 Dolakha,,,,,,Literate,Male,Others,244
 Dolakha,,,,,,Literate,Male,Not stated,20
 Dolakha,,,,,,Literacy not stated,Male,Parents,0
 Dolakha,,,,,,Literacy not stated,Male,Mother,1
 Dolakha,,,,,,Literacy not stated,Male,Father,0
 Dolakha,,,,,,Literacy not stated,Male,Father and step mother,0
 Dolakha,,,,,,Literacy not stated,Male,Mother and step father,0
 Dolakha,,,,,,Literacy not stated,Male,Other relatives,0
 Dolakha,,,,,,Literacy not stated,Male,Employer,0
 Dolakha,,,,,,Literacy not stated,Male,Others,0
 Dolakha,,,,,,Literacy not stated,Male,Not stated,0
 Dolakha,,,,,,Illiterate,  Female,Parents,2662
 Dolakha,,,,,,Illiterate,  Female,Mother,164
 Dolakha,,,,,,Illiterate,  Female,Father,18
 Dolakha,,,,,,Illiterate,  Female,Father and step mother,0
 Dolakha,,,,,,Illiterate,  Female,Mother and step father,8
 Dolakha,,,,,,Illiterate,  Female,Other relatives,29
 Dolakha,,,,,,Illiterate,  Female,Employer,12
 Dolakha,,,,,,Illiterate,  Female,Others,20
 Dolakha,,,,,,Illiterate,  Female,Not stated,19
 Dolakha,,,,,,Literate,  Female,Parents,20292
 Dolakha,,,,,,Literate,  Female,Mother,1814
 Dolakha,,,,,,Literate,  Female,Father,255
 Dolakha,,,,,,Literate,  Female,Father and step mother,77
 Dolakha,,,,,,Literate,  Female,Mother and step father,58
 Dolakha,,,,,,Literate,  Female,Other relatives,212
 Dolakha,,,,,,Literate,  Female,Employer,11
 Dolakha,,,,,,Literate,  Female,Others,362
 Dolakha,,,,,,Literate,  Female,Not stated,37
 Dolakha,,,,,,Literacy not stated,  Female,Parents,0
 Dolakha,,,,,,Literacy not stated,  Female,Mother,0
 Dolakha,,,,,,Literacy not stated,  Female,Father,0
 Dolakha,,,,,,Literacy not stated,  Female,Father and step mother,0
 Dolakha,,,,,,Literacy not stated,  Female,Mother and step father,0
 Dolakha,,,,,,Literacy not stated,  Female,Other relatives,0
 Dolakha,,,,,,Literacy not stated,  Female,Employer,0
 Dolakha,,,,,,Literacy not stated,  Female,Others,0
 Dolakha,,,,,,Literacy not stated,  Female,Not stated,0
 Sindhupalchok,,,,,,Illiterate,Male,Parents,4063
 Sindhupalchok,,,,,,Illiterate,Male,Mother,232
 Sindhupalchok,,,,,,Illiterate,Male,Father,96
 Sindhupalchok,,,,,,Illiterate,Male,Father and step mother,0
 Sindhupalchok,,,,,,Illiterate,Male,Mother and step father,0
 Sindhupalchok,,,,,,Illiterate,Male,Other relatives,8
 Sindhupalchok,,,,,,Illiterate,Male,Employer,0
 Sindhupalchok,,,,,,Illiterate,Male,Others,112
 Sindhupalchok,,,,,,Illiterate,Male,Not stated,24
 Sindhupalchok,,,,,,Literate,Male,Parents,30068
 Sindhupalchok,,,,,,Literate,Male,Mother,2136
 Sindhupalchok,,,,,,Literate,Male,Father,546
 Sindhupalchok,,,,,,Literate,Male,Father and step mother,72
 Sindhupalchok,,,,,,Literate,Male,Mother and step father,8
 Sindhupalchok,,,,,,Literate,Male,Other relatives,145
 Sindhupalchok,,,,,,Literate,Male,Employer,32
 Sindhupalchok,,,,,,Literate,Male,Others,546
 Sindhupalchok,,,,,,Literate,Male,Not stated,153
 Sindhupalchok,,,,,,Literacy not stated,Male,Parents,24
 Sindhupalchok,,,,,,Literacy not stated,Male,Mother,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Father,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Father and step mother,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Mother and step father,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Other relatives,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Employer,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Others,0
 Sindhupalchok,,,,,,Literacy not stated,Male,Not stated,0
 Sindhupalchok,,,,,,Illiterate,  Female,Parents,4522
 Sindhupalchok,,,,,,Illiterate,  Female,Mother,214
 Sindhupalchok,,,,,,Illiterate,  Female,Father,57
 Sindhupalchok,,,,,,Illiterate,  Female,Father and step mother,25
 Sindhupalchok,,,,,,Illiterate,  Female,Mother and step father,0
 Sindhupalchok,,,,,,Illiterate,  Female,Other relatives,25
 Sindhupalchok,,,,,,Illiterate,  Female,Employer,8
 Sindhupalchok,,,,,,Illiterate,  Female,Others,66
 Sindhupalchok,,,,,,Illiterate,  Female,Not stated,24
 Sindhupalchok,,,,,,Literate,  Female,Parents,30290
 Sindhupalchok,,,,,,Literate,  Female,Mother,2435
 Sindhupalchok,,,,,,Literate,  Female,Father,427
 Sindhupalchok,,,,,,Literate,  Female,Father and step mother,40
 Sindhupalchok,,,,,,Literate,  Female,Mother and step father,8
 Sindhupalchok,,,,,,Literate,  Female,Other relatives,176
 Sindhupalchok,,,,,,Literate,  Female,Employer,32
 Sindhupalchok,,,,,,Literate,  Female,Others,653
 Sindhupalchok,,,,,,Literate,  Female,Not stated,169
 Sindhupalchok,,,,,,Literacy not stated,  Female,Parents,8
 Sindhupalchok,,,,,,Literacy not stated,  Female,Mother,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Father,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Father and step mother,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Mother and step father,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Other relatives,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Employer,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Others,0
 Sindhupalchok,,,,,,Literacy not stated,  Female,Not stated,0
 Kavrepalanchok,,,,,,Illiterate,Male,Parents,3979
 Kavrepalanchok,,,,,,Illiterate,Male,Mother,176
 Kavrepalanchok,,,,,,Illiterate,Male,Father,37
 Kavrepalanchok,,,,,,Illiterate,Male,Father and step mother,0
 Kavrepalanchok,,,,,,Illiterate,Male,Mother and step father,8
 Kavrepalanchok,,,,,,Illiterate,Male,Other relatives,19
 Kavrepalanchok,,,,,,Illiterate,Male,Employer,1
 Kavrepalanchok,,,,,,Illiterate,Male,Others,66
 Kavrepalanchok,,,,,,Illiterate,Male,Not stated,77
 Kavrepalanchok,,,,,,Literate,Male,Parents,39873
 Kavrepalanchok,,,,,,Literate,Male,Mother,2530
 Kavrepalanchok,,,,,,Literate,Male,Father,344
 Kavrepalanchok,,,,,,Literate,Male,Father and step mother,61
 Kavrepalanchok,,,,,,Literate,Male,Mother and step father,9
 Kavrepalanchok,,,,,,Literate,Male,Other relatives,105
 Kavrepalanchok,,,,,,Literate,Male,Employer,35
 Kavrepalanchok,,,,,,Literate,Male,Others,821
 Kavrepalanchok,,,,,,Literate,Male,Not stated,412
 Kavrepalanchok,,,,,,Literacy not stated,Male,Parents,2
 Kavrepalanchok,,,,,,Literacy not stated,Male,Mother,1
 Kavrepalanchok,,,,,,Literacy not stated,Male,Father,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Father and step mother,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Mother and step father,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Other relatives,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Employer,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Others,0
 Kavrepalanchok,,,,,,Literacy not stated,Male,Not stated,0
 Kavrepalanchok,,,,,,Illiterate,  Female,Parents,3713
 Kavrepalanchok,,,,,,Illiterate,  Female,Mother,178
 Kavrepalanchok,,,,,,Illiterate,  Female,Father,68
 Kavrepalanchok,,,,,,Illiterate,  Female,Father and step mother,9
 Kavrepalanchok,,,,,,Illiterate,  Female,Mother and step father,0
 Kavrepalanchok,,,,,,Illiterate,  Female,Other relatives,17
 Kavrepalanchok,,,,,,Illiterate,  Female,Employer,11
 Kavrepalanchok,,,,,,Illiterate,  Female,Others,95
 Kavrepalanchok,,,,,,Illiterate,  Female,Not stated,87
 Kavrepalanchok,,,,,,Literate,  Female,Parents,41242
 Kavrepalanchok,,,,,,Literate,  Female,Mother,2405
 Kavrepalanchok,,,,,,Literate,  Female,Father,179
 Kavrepalanchok,,,,,,Literate,  Female,Father and step mother,86
 Kavrepalanchok,,,,,,Literate,  Female,Mother and step father,11
 Kavrepalanchok,,,,,,Literate,  Female,Other relatives,116
 Kavrepalanchok,,,,,,Literate,  Female,Employer,2
 Kavrepalanchok,,,,,,Literate,  Female,Others,934
 Kavrepalanchok,,,,,,Literate,  Female,Not stated,375
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Parents,56
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Mother,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Father,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Father and step mother,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Mother and step father,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Other relatives,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Employer,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Others,0
 Kavrepalanchok,,,,,,Literacy not stated,  Female,Not stated,0
 Lalitpur,,,,,,Illiterate,Male,Parents,1801
 Lalitpur,,,,,,Illiterate,Male,Mother,74
 Lalitpur,,,,,,Illiterate,Male,Father,42
 Lalitpur,,,,,,Illiterate,Male,Father and step mother,17
 Lalitpur,,,,,,Illiterate,Male,Mother and step father,0
 Lalitpur,,,,,,Illiterate,Male,Other relatives,0
 Lalitpur,,,,,,Illiterate,Male,Employer,42
 Lalitpur,,,,,,Illiterate,Male,Others,42
 Lalitpur,,,,,,Illiterate,Male,Not stated,109
 Lalitpur,,,,,,Literate,Male,Parents,37831
 Lalitpur,,,,,,Literate,Male,Mother,2596
 Lalitpur,,,,,,Literate,Male,Father,425
 Lalitpur,,,,,,Literate,Male,Father and step mother,75
 Lalitpur,,,,,,Literate,Male,Mother and step father,0
 Lalitpur,,,,,,Literate,Male,Other relatives,484
 Lalitpur,,,,,,Literate,Male,Employer,236
 Lalitpur,,,,,,Literate,Male,Others,1253
 Lalitpur,,,,,,Literate,Male,Not stated,584
